This	July 17, 1994	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CHAMBER, by John Grisham. (Doubleday, $24.95.) A lawyer represents a	1	6
""	racist who is on death row for his part in a 1967 bombing in Mississippi.		
""			
2	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	2	20
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
3	THE CROSSING, by Cormac McCarthy. (Knopf, $23.) A young American comes	3	4
""	of age in Mexico's sierra.		
""			
4	THE ALIENIST, by Caleb Carr. (Random House, $22.) A journalist and a	4	14
""	psychologist track down a murderer in turn-of-the-century Manhattan.		
""			
5	POLITICALLY CORRECT BEDTIME STORIES, by James Finn Garner.	10	4
""	(Macmillan, $8.95.) Classic tales respun to avoid offending current sensibilities.		
""			
6	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	6	101
""	$16.95.) A photographer and a farmer's lonely wife in Iowa.		
""			
7	REMEMBER ME, by Mary Higgins Clark. (Simon & Schuster, $23.50.) After an	9	12
""	estranged couple reconcile, they find themselves haunted by a mysterious force.		
""			
8	THE WATERWORKS, by E.L. Doctorow. (Random House, $23.) Life in the New	5	3
""	York City of 1871 as witnessed by a jaded newspaperman.		
""			
9	INCA GOLD, by Clive Cussler. (Simon & Schuster, $24.) Dirk Pitt contends with a	7	10
""	ring of thieves.		
""			
10	DOWNTOWN, by Anne Rivers Siddons. (HarperCollins, $24.) A woman learns	13	2
""	about life and the ways of men in Atlanta during the 1960's.		
""			
11	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $15.) Verse and	8	139
""	pictures.		
""			
12	THE DAY AFTER TOMORROW, by Allan Folsom. (Little, Brown, $24.95.) A	--	10
""	young doctor stumbles into a tangle of international conspiracies.		
""			
13	Q-SQUARED, by Peter David. (Pocket, $22.) All creation is at stake when an old	11	4
""	"enemy asks for help from ""Star Trek""'s Captain Picard."		
""			
14	MISTRESS, by Amanda Quick. (Bantam, $19.95.) A former schoolteacher tries to	12	5
""	unmask a blackmailer.		
""			
15	A MAP OF THE WORLD, by Jane Hamilton. (Doubleday, $22.) When a dairy	--	1
""	farmer's wife makes a fatal mistake one morning, her life falls apart.		
""			
16	BLACK BETTY, by Walter Mosley. (Norton, $19.95.) The private eye Easy	--	1
""	Rawlins in pursuit of a troublemaking woman in 1961 Los Angeles.		
This	July 17, 1994	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE AGENDA, by Bob Woodward. (Simon & Schuster, $24.) The inner workings	1	4
""	of the White House during the first year of the Clinton Administration.		
""			
2	EMBRACED BY THE LIGHT, by Betty J. Eadie with Curtis Taylor. (Gold Leaf	2	62
""	Press, $16.95.) A woman's near-death experience.		
""			
3	THE BOOK OF VIRTUES, by William J. Bennett. (Simon & Schuster, $27.50.)	3	30
""	Moral stories adapted from the Greeks, the Bible, folklore and elsewhere.		
""			
4	D-DAY, JUNE 6, 1944, by Stephen E. Ambrose. (Simon & Schuster, $30.) An	4	6
""	account of the Allied invasion of Normandy 50 years ago.		
""			
5	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	6	19
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
6	STANDING FIRM, by Dan Quayle. (HarperCollins/Zondervan, $25.) The former	5	9
""	Vice President recalls his life, especially during the Bush years.		
""			
7	ALL MY OCTOBERS, by Mickey Mantle with Mickey Herskowitz. (HarperCollins,	14	4
""	$23.) The legendary Yankee recalls the 12 World Series in which he played.		
""			
8	DAVE BARRY IS NOT MAKING THIS UP, by Dave Barry. (Crown, $20.) A	12	3
""	collection of humor pieces by the Pulitzer Prize-winning columnist.		
""			
9	LIFE OF THE PARTY, by Christopher Ogden. (Little, Brown, $24.95.) A biography	8	5
""	of Pamela Harriman, the United States Ambassador to France.		
""			
10	REBA: My Story, by Reba McEntire with Tom Carter. (Bantam, $22.95.) The	10	11
""	autobiography of the country singer.		
""			
11	SOUL MATES, by Thomas Moore. (HarperCollins, $25.) A psychotherapist	9	27
""	discusses love and relationships.		
""			
12	BEYOND PEACE, by Richard Nixon. (Random House, $23.) An agenda of foreign	7	9
""	and domestic policies for the United States to pursue in the post-cold war era.		
""			
13	MOON SHOT, by Alan Shepard and Deke Slayton with Jay Barbree and Howard	--	1
""	Benedict. (Turner, $21.95.) How Americans reached the moon in July 1969.		
""			
14	SAVED BY THE LIGHT, by Dannion Brinkley with Paul Perry. (Villard, $16.) An	13	13
""	account of two near-death experiences by a South Carolina businessman.		
""			
15	THE HALDEMAN DIARIES, by H.R. Haldeman. (Putnam, $27.50.) Notes made by	11	7
""	the man who was Richard Nixon's chief of staff from 1969 to 1973.		
