This	June 23, 1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	3	65
""	problems of finding your way through life; in verse and pictures.		
""			
2	HEIR TO THE EMPIRE, by Timothy Zahn. (Spectra/Bantam, $15.) The survival of	2	5
""	"the ""Star Wars"" galaxy is menaced by new forces."		
""			
3	LOVES MUSIC, LOVES TO DANCE, by Mary Higgins Clark. (Simon & Schuster,	1	7
""	$21.95.) Two Manhattan women, doing research into personal ads, get caught in		
""	the snare of a serial killer.		
""			
4	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that his	5	15
""	firm is engaged in secret, possibly illegal activities.		
""			
5	AS THE CROW FLIES, by Jeffrey Archer. (HarperCollins, $22.95.) A man strives	4	7
""	to create the biggest store in the world.		
""			
6	"""H"" IS FOR HOMICIDE, by Sue Grafton. (Holt, $17.95.) The private eye Kinsey"	6	8
""	Millhone on the trail of two perpetrators of an insurance scam.		
""			
7	VORTEX, by Larry Bond. (Warner, $21.95.) A war in southern Africa sometime in	8	2
""	the future involves Cuba and the United States.		
""			
8	HEARTBEAT, by Danielle Steel. (Delacorte, $21.95.) A chance meeting of a man	7	18
""	and a woman enables them to solve romantic problems.		
""			
9	IMMORTALITY, by Milan Kundera. (Grove Weidenfeld, $21.95.) Through the lives	11	4
""	of characters in 19th-century Weimar and present-day Paris, the author reflects on		
""	contemporary life.		
""			
10	THE RUSTLERS OF WEST FORK, by Louis L'Amour. (Bantam, $18.) A frontier	--	1
""	novel featuring Hopalong Cassidy, first published in 1951 and long out of print.		
""			
11	THE CROWN OF COLUMBUS, by Michael Dorris and Louise Erdrich.	9	6
""	(HarperCollins, $21.95.) A couple who have long disagreed about everything find		
""	understanding on a Caribbean research trip.		
""			
12	THE SEERESS OF KELL, by David Eddings. (Del Rey/Ballantine, $20.) The fifth	10	11
""	"volume in the ""Malloreon"" fantasy saga."		
""			
13	HOW TO MAKE AN AMERICAN QUILT, by Whitney Otto. (Villard, $18.) The	13	5
""	reminiscences of eight women, members of a quilting circle.		
""			
14	A SOLDIER OF THE GREAT WAR, by Mark Helprin. (Harcourt Brace Jovanovich,	--	1
""	$24.95.) An elderly Italian professor recalls a life spent as soldier, hero, deserter,		
""	lover and family man.		
""			
15	THE NOVEL, by James A. Michener. (Random House, $23.) Life as lived by	--	8
This	June 23, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE COMMANDERS, by Bob Woodward. (Simon & Schuster, $24.95.) How the	1	6
""	President and his high military commanders made their decisions during the first		
""	two years of the Bush Administration.		
""			
2	IRON JOHN, by Robert Bly. (Addison-Wesley, $18.95.) The passage of the male	2	31
""	from boyhood into manhood, as practiced in various cultures.		
""			
3	NANCY REAGAN, by Kitty Kelley. (Simon & Schuster, $24.95.) An unauthorized	3	9
""	biography of the former First Lady.		
""			
4	COUNSEL TO THE PRESIDENT, by Clark Clifford with Richard Holbrooke.	4	3
""	(Random House, $25.) The memoirs of the lawyer who served as adviser to		
""	several generations of Democrats.		
""			
5	WOODY ALLEN, by Eric Lax. (Knopf, $24.) The life of the film director, writer and	5	3
""	actor.		
""			
6	REAL PONIES DON'T GO OINK! by Patrick F. McManus. (Holt, $16.95.) A	6	2
""	humorist's essays about life's foibles at home and in the great outdoors.		
""			
7	FIRE IN THE BELLY, by Sam Keen. (Bantam, $19.95.) A philosopher explores the	9	6
""	changing role of the male in today's society.		
""			
8	SILENT COUP, by Len Colodny and Robert Gettlin. (St. Martin's, $24.95.) The	12	3
""	events that led to the resignation of President Richard Nixon.		
""			
9	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	--	1
""	$19.95.) A humorist's attempt to explain the Federal Government.		
""			
10	ILLIBERAL EDUCATION, by Dinesh D'Souza. (Free Press, $19.95.) A critical	13	6
""	account of the way matters of race and sex are treated on campus.		
""			
11	IF YOU REALLY LOVED ME, by Ann Rule. (Simon & Schuster, $22.95.) The	7	4
""	murder of a young Orange County, Calif., woman and the tangled family		
""	relationships that brought it about.		
""			
12	YOU'LL NEVER EAT LUNCH IN THIS TOWN AGAIN, by Julia Phillips. (Random	8	13
""	House, $22.) A producer's experiences in Hollywood.		
""			
13	MY FAVORITE SUMMER 1956, by Mickey Mantle and Phil Pepe. (Doubleday,	--	5
""	$18.95.) The recollections of the former New York Yankee.		
""			
14	CHUTZPAH, by Alan M. Dershowitz. (Little, Brown, $22.95.) A prominent law	--	1
""	professor's reflections on the lot of Jews in America, past, present and future.		
""			
15	UNDER THE INFLUENCE, by Peter Hernon and Terry Ganey. (Simon &	--	1
""	Schuster, $24.95.) An unauthorized account of the Anheuser-Busch beer dynasty.		
