This	January 3, 1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	A MAN IN FULL, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) Life in Atlanta	1	7
""	on the cusp of the millennium, as Old South values collide with a new world.		
""			
2	BAG OF BONES, by Stephen King. (Scribner, $28.) A series of terrifying events	2	13
""	besets a best-selling novelist four years after his wife's sudden death.		
""			
3	RAINBOW SIX, by Tom Clancy. (Putnam, $27.95.) John Clark, heading an	5	20
""	international task force, investigates terrorist incidents in Switzerland, Germany		
""	and Spain.		
""			
4	MIRROR IMAGE, by Danielle Steel. (Delacorte, $26.95.) Identical twin sisters	4	7
""	experience quite dissimilar lives in New York and France early in this century.		
""			
5	THE SIMPLE TRUTH, by David Baldacci. (Warner, $25.) The appeal by a man	3	5
""	serving a life sentence for murder creates chaos in Washington's legal community.		
""			
6	THE POISONWOOD BIBLE, by Barbara Kingsolver. (Harper Flamingo, $26.) Five	6	10
""	female characters, a missionary's family, narrate this novel set in the Belgian		
""	Congo during that country's fight for independence.		
""			
7	WHEN THE WIND BLOWS, by James Patterson. (Little, Brown, $25.) A young girl	7	8
""	helps a widow and an F.B.I. agent uncover a deadly plot.		
""			
8	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling. (Levine/	16	2
""	Scholastic, $16.95.) A Scottish boy, neglected by his relatives, finds his fortune		
""	attending a school of witchcraft.		
""			
9	THE VAMPIRE ARMAND, by Anne Rice. (Knopf, $26.95.) The progress of an	9	10
""	eternally young man from ancient Constantinople to contemporary New Orleans.		
""			
10	A NIGHT WITHOUT ARMOR, by Jewel Kilcher. (HarperCollins, $15.) The singer-	14	14
""	songwriter's poems.		
""			
11	ALL THROUGH THE NIGHT, by Mary Higgins Clark. (Simon & Schuster, $17.)	8	10
""	The mystery of a missing child and a missing chalice is solved in time for		
""	Christmas.		
""			
12	CHARMING BILLY, by Alice McDermott. (Farrar, Straus & Giroux, $22.) At a party	12	2
""	to celebrate a man's memory, many secrets of the past come to life.		
""			
13	MEMOIRS OF A GEISHA, by Arthur Golden. (Knopf, $25.) The life of a young	10	58
""	woman growing up in Kyoto who has to reinvent herself after World War II begins.		
""			
14	TODAY I FEEL SILLY & OTHER MOODS THAT MAKE MY DAY, by Jamie Lee	13	9
""	Curtis. Illustrated by Laura Cornell. (Cotler/HarperCollins, $15.95.) The ever-		
""	changing moods of a young girl.		
""			
15	THE LOCKET, by Richard Paul Evans. (Simon & Schuster, $15.95.) A young man	11	10
This	January 3, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	1	3
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
2	THE CENTURY, by Peter Jennings and Todd Brewster. (Doubleday, $60.) An	2	5
""	account of the 20th century, complete with photographs and first-person		
""	narratives.		
""			
3	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	3	63
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
4	BLIND MAN'S BLUFF, by Sherry Sontag and Christopher Drew with Annette	4	5
""	Lawrence Drew. (Public Affairs, $25.) American submarine espionage.		
""			
5	THE PROFESSOR AND THE MADMAN, by Simon Winchester. (HarperCollins,	5	14
""	$22.) How a murderer helped compile the Oxford English Dictionary.		
""			
6	THE AMERICAN CENTURY, by Harold Evans with Gail Buckland and Kevin	6	5
""	Baker. (Knopf, $50.) A copiously illustrated political history of the 20th century.		
""			
7	WE INTERRUPT THIS BROADCAST, by Joe Garner. (Sourcebooks, $45.) How	16	3
""	radio and television reported historic events over the past 60 years.		
""			
8	FOR THE LOVE OF THE GAME, by Michael Jordan. Edited by Mark Vancil.	8	8
""	(Crown, $50.) The N.B.A. superstar's profusely illustrated memoir.		
""			
9	THE ENDURANCE, by Caroline Alexander. (Knopf, $29.95.) Ernest Shackleton's	7	3
""	1914 Antarctic expedition.		
""			
10	A WALK IN THE WOODS, by Bill Bryson. (Broadway, $25.) A journalist hikes the	12	28
""	Appalachian Trail.		
""			
11	LINDBERGH, by A. Scott Berg. (Putnam, $30.) The checkered life of Charles A.	9	13
""	Lindbergh.		
""			
12	EVERYTHING AND A KITE, by Ray Romano. (Bantam, $22.95.) The comedian	--	1
""	"and star of the television show ""Everybody Loves Raymond"" describes his life."		
""			
13	A PIRATE LOOKS AT FIFTY, by Jimmy Buffett. (Random House, $24.95.)	14	27
""	Traveling from Florida to the Amazon, the singer-songwriter reflects on his life.		
""			
14	CONVERSATIONS WITH GOD: Book 3, by Neale Donald Walsch. (Hampton	13	7
""	Roads, $22.95.) More discussions of moral questions.		
""			
15	THE TEN COMMANDMENTS, by Laura Schlessinger and Stewart Vogel. (Cliff	10	15
""	Street/HarperCollins, $24.) The significance of the Ten Commandments today.		
