This	March 31, 1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	HEARTBEAT, by Danielle Steel. (Delacorte, $21.95.) A chance meeting of a man	1	6
""	and a woman, both with successful careers in television, enables them to solve		
""	their marital and romantic problems.		
""			
2	THE DRUID OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $19.95.) A	2	3
""	new volume in a series about the fantasy land of Shannara.		
""			
3	THE EAGLE HAS FLOWN, by Jack Higgins. (Simon & Schuster, $21.95.) A	3	3
""	German general and an I.R.A. assassin plot a daring rescue attempt during World		
""	War II.		
""			
4	COLD FIRE, by Dean R. Koontz. (Putnam, $22.95.) A despondent reporter finds	5	10
""	hope and romance while she tracks the course of a good Samaritan.		
""			
5	THE PLAINS OF PASSAGE, by Jean M. Auel. (Crown, $24.95.) A couple on	6	24
""	horseback trek across Europe in the Ice Age.		
""			
6	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that the	8	3
""	firm he recently joined is engaged in secret, possibly illegal activities.		
""			
7	MAGIC HOUR, by Susan Isaacs. (HarperCollins, $21.95.) The romantic and	7	8
""	professional lives of a homicide detective become entangled as he investigates a		
""	murder in the Hamptons.		
""			
8	FORGIVING, by LaVyrle Spencer. (Putnam, $19.95.) A young woman finds	4	7
""	familial problems and love in Dakota Territory.		
""			
9	DAMAGE, by Josephine Hart. (Knopf, $18.) A British gentleman is overwhelmed	--	1
""	and mesmerized when he meets the woman his son plans to marry.		
""			
10	CIRCLE OF FRIENDS, by Maeve Binchy. (Delacorte, $19.95.) The coming of age	9	10
""	of women in an Irish village and in Dublin's academia.		
""			
11	THE SECRET PILGRIM, by John le Carré. (Knopf, $21.95.) A member of British	10	12
""	intelligence recalls his three decades as a spy.		
""			
12	THE STORIES OF EVA LUNA, by Isabel Allende. (Atheneum, $18.95.) Twenty-	--	3
""	three short tales with a variety of themes and settings.		
""			
13	POSSESSION, by A. S. Byatt. (Random House, $22.95.) A pair of British	15	15
""	academics pursue the relationship between two Victorian poets.		
""			
14	THE WITCHING HOUR, by Anne Rice. (Knopf, $22.95.) The relationship of a	11	20
""	professional woman, the descendant of witches, and a rich man.		
""			
15	BATTLEGROUND, by W. E. B. Griffin. (Putnam, $19.95.) The experiences of	14	10
""	marines from Midway to Guadalcanal.		
This	March 31, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IRON JOHN, by Robert Bly. (Addison-Wesley, $18.95.) The passage of the male	1	19
""	from boyhood into manhood, as practiced in various cultures.		
""			
2	AND THE SEA WILL TELL, by Vincent Bugliosi with Bruce B. Henderson. (Norton,	2	7
""	$22.95.) An enigmatic 1974 murder case involving two American couples on a		
""	Pacific atoll.		
""			
3	YOU'LL NEVER EAT LUNCH IN THIS TOWN AGAIN, by Julia Phillips. (Random	--	1
""	House, $22.) Life in Hollywood as experienced by an Academy Award-winning		
""	producer.		
""			
4	YOU JUST DON'T UNDERSTAND, by Deborah Tannen. (Morrow, $18.95.) The	5	34
""	different languages men and women speak.		
""			
5	THE PRIZE, by Daniel Yergin. (Simon & Schuster, $24.95.) The role that oil has	3	9
""	played in world history from the mid-19th century to the present.		
""			
6	THE NEXT CENTURY, by David Halberstam. (Morrow, $16.95.) A journalist's	4	4
""	assessment of the prospects for various countries, judged by the temperament of		
""	their inhabitants.		
""			
7	THE CIVIL WAR, by Geoffrey C. Ward with Ric Burns and Ken Burns. (Knopf,	6	25
""	$50.) From Fort Sumter to Appomattox, in words and pictures.		
""			
8	RIDERS ON THE STORM, by John Densmore. (Delacorte, $19.95.) Memories of	9	2
""	Jim Morrison and the Doors, from the rock band's drummer.		
""			
9	A LIFE ON THE ROAD, by Charles Kuralt. (Putnam, $19.95.) The recollections of	7	20
""	the itinerant television newscaster.		
""			
10	MILLIE'S BOOK, as dictated to Barbara Bush. (Morrow, $17.95.) The White House	8	27
""	dog's memoirs.		
""			
11	THE SPIRITUAL LIFE OF CHILDREN, by Robert Coles. (Davison/Houghton	12	11
""	Mifflin, $22.95.) The nature of God and salvation as perceived by Christian, Jewish		
""	and Muslim children.		
""			
12	THE NEW RUSSIANS, by Hedrick Smith. (Random House, $24.95.) A former	11	11
""	Moscow correspondent surveys the profound changes in the Soviet Union during		
""	the past 15 years.		
""			
13	DARKNESS VISIBLE, by William Styron. (Random House, $15.95.) The novelist's	10	23
""	memoir of a period of severe depression.		
""			
14	PATRIMONY, by Philip Roth. (Simon & Schuster, $19.95.) The novelist tells of his	13	10
""	father's struggle with a fatal brain tumor.		
