This	October 15,1995	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LOST WORLD, by Michael Crichton. (Knopf, $25.95.) Scientists visit a Costa	1	2
""	"Rican jungle that is the breeding ground of dinosaurs; a sequel to ""Jurassic Park."""		
""			
2	MORNING, NOON, AND NIGHT, by Sidney Sheldon. (Morrow, $24.) The	2	4
""	mysterious drowning of a respected tycoon leads to the revelation of a tangle of		
""	scandals.		
""			
3	THE HORSE WHISPERER, by Nicholas Evans. (Delacorte, $23.95.) A troubled	3	4
""	woman seeks solace for herself, her daughter and their horse from a wrangler in		
""	Montana.		
""			
4	COMING HOME, by Rosamunde Pilcher. (Dunne/St. Martin's, $25.95.) A British	5	6
""	woman comes of age during World War II.		
""			
5	"""L"" IS FOR LAWLESS, by Sue Grafton. (Holt, $24.) Kinsey Millhone on the trail of"	4	5
""	the cash and the culprits involved in a bank heist perpetrated decades ago.		
""			
6	COME TO GRIEF, by Dick Francis. (Putnam, $23.95.) Sid Halley, champion	7	3
""	jockey turned investigator, probes the suicide of a revered racing figure's mother.		
""			
7	A PLACE CALLED FREEDOM, by Ken Follett. (Crown, $25.) Two Scots, fleeing	6	5
""	the injustices of their native land, find romance and freedom in 18th-century		
""	America.		
""			
8	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	10	85
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
9	DEAD MAN'S WALK, by Larry McMurtry. (Simon & Schuster, $26.) The	8	5
""	adventures of two Texas Rangers.		
""			
10	BEACH MUSIC, by Pat Conroy. (Talese/Doubleday, $27.50.) An American living	9	14
""	in Rome returns to South Carolina and tries to cope with his past.		
""			
11	FROM POTTER'S FIELD, by Patricia Cornwell. (Scribner, $24.) Dr. Kay Scarpetta	11	9
""	tracks a serial killer in Central Park.		
""			
12	MEMNOCH THE DEVIL, by Anne Rice. (Knopf, $25.) The vampire Lestat is	12	12
""	snatched from the world by a mysterious adversary who claims to be the Devil.		
""			
13	LIGHTNING, by Danielle Steel. (Delacorte, $24.95.) The happy marriage of a	--	11
""	lawyer and her husband is suddenly changed after she gets a routine checkup.		
""			
14	A LONG FATAL LOVE CHASE, by Louisa May Alcott. (Random House, $21.) A	--	1
""	young Englishwoman flees across Europe to escape her husband, a rapacious		
""	villain; a previously unpublished novel, written in 1866.		
""			
15	THE RAINMAKER, by John Grisham. (Doubleday, $25.95.) A young man barely	13	25
This	October 15, 1995	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MY AMERICAN JOURNEY, by Colin L. Powell with Joseph E. Persico. (Random	1	3
""	House, $25.95.) The autobiography of the former Chairman of the Joint Chiefs of		
""	Staff.		
""			
2	MY POINT ... AND I DO HAVE ONE, by Ellen DeGeneres. (Bantam, $19.95.)	2	6
""	Observations on life and the pursuit of happiness by the television star and stand-		
""	up comedian.		
""			
3	A GOOD LIFE, by Ben Bradlee. (Simon & Schuster, $27.50.) The memoirs of the	--	1
""	former executive editor of The Washington Post.		
""			
4	A GOOD WALK SPOILED, by John Feinstein. (Little, Brown, $23.95.) A	3	17
""	sportswriter reports on the P.G.A. Tour in 1993 and 1994.		
""			
5	EMOTIONAL INTELLIGENCE, by Daniel Goleman. (Bantam, $23.95.) Factors	9	2
""	other than I.Q. that contribute to a successful and happy life.		
""			
6	SISTERS. Essays by Carol Saline. Photographs by Sharon J. Wohlmuth.	10	42
""	(Running Press, $27.50.) The relationships of 36 sets of sisters of varied callings		
""	and backgrounds.		
""			
7	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	5	84
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
8	I'M ONLY ONE MAN! by Regis Philbin with Bill Zehme. (Hyperion, $22.95.) A	4	5
""	"memoir by the co-host of ""Live With Regis and Kathie Lee."""		
""			
9	NEW PASSAGES, by Gail Sheehy. (Random House, $25.) How changing social	12	17
""	conditions and longer life expectancies are affecting our lives.		
""			
10	BUFFETT, by Roger Lowenstein. (Random House, $27.50.) The life of Warren	8	6
""	Buffett and how he became one of the country's richest men.		
""			
11	MY OLD MAN AND THE SEA, by David Hays and Daniel Hays. (Algonquin,	6	10
""	$19.95.) A sailing yarn about a father-and-son voyage from Connecticut around		
""	Cape Horn.		
""			
12	SPONTANEOUS HEALING, by Andrew Weil. (Knopf, $23.) Ways in which the	7	19
""	body heals itself.		
""			
13	HIGH TIDE IN TUCSON, by Barbara Kingsolver. (HarperCollins, $22.) Essays	--	1
""	about motherhood, travel, natural history and other topics by the novelist.		
""			
14	BEYOND ALL REASON, by David Smith with Carol Calef. (Kensington, $18.95.)	14	8
""	The former husband of Susan Smith, the woman convicted of killing their two		
""	sons, tells of their life together.		
