This	October 17,1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	HARRY POTTER AND THE PRISONER OF AZKABAN, by J. K. Rowling.	1	4
""	(Levine/Scholastic, $19.95.) A British boy's life at a school for witchcraft is		
""	menaced when an infamous murderer escapes from prison.		
""			
2	HARRY POTTER AND THE CHAMBER OF SECRETS, by J. K. Rowling.	2	18
""	(Levine/Scholastic, $17.95.) A British boy finds trouble when he returns to a		
""	witchcraft school.		
""			
3	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	3	43
""	(Levine/Scholastic, $16.95.) A British boy finds his fortune attending a school for		
""	witchcraft.		
""			
4	HEARTS IN ATLANTIS, by Stephen King. (Scribner, $28.) Five long,	4	3
""	interconnected stories about an America haunted by the Vietnam War.		
""			
5	TARA ROAD, by Maeve Binchy. (Delacorte, $24.95.) Two women -- one from	5	14
""	Ireland, one from New England -- exchange houses for the summer.		
""			
6	PERSONAL INJURIES, by Scott Turow. (Farrar, Straus & Giroux, $27.) A crooked	--	1
""	lawyer joins forces with an F.B.I. agent who has secrets of her own.		
""			
7	THE ALIBI, by Sandra Brown. (Warner, $25.95.) Jealousy, intrigue and corruption	6	5
""	beset a Charleston lawyer during his pursuit of public office.		
""			
8	ASSASSINS, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $22.99.) The sixth	7	9
""	volume in a series about true believers who confront the Antichrist.		
""			
9	BLACK NOTICE, by Patricia Cornwell. (Putnam, $25.95.) Kay Scarpetta's	8	9
""	investigation of a ship's cargo gets her involved in an international conspiracy.		
""			
10	BIG TROUBLE, by Dave Barry. (Putnam, $23.95.) An outrageous chain of events	10	3
""	suddenly changes the lives of half a dozen people in Coconut Grove, Fla.		
""			
11	IN PURSUIT OF THE PROPER SINNER, by Elizabeth George. (Bantam, $25.95.)	9	5
""	Two English detectives investigate the murder of a man and a woman found near		
""	an ancient circle of stones known as Nine Sisters Henge.		
""			
12	HANNIBAL, by Thomas Harris. (Delacorte, $27.95.) Seven years after his escape,	12	17
""	the fiendish psychiatrist Hannibal Lecter is still at large.		
""			
13	THE LOOKING GLASS, by Richard Paul Evans. (Simon & Schuster, $17.95.) A	--	1
""	clergyman fleeing his past nurses an equally troubled woman back to health.		
""			
14	FAMILY HONOR, by Robert B. Parker. (Putnam, $22.95.) A policewoman turned	14	4
""	private detective is hired to find a missing teen-age girl.		
""			
15	HARD TIME, by Sara Paretsky. (Delacorte, $24.95.) V. I. Warshawski copes with	11	3
This	October 17, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	'TIS, by Frank McCourt. (Scribner, $26.) An Irish immigrant gets used to life in	1	2
""	America: the second volume of a memoir.		
""			
2	DUTCH, by Edmund Morris. (Random House, $35.) The authorized biography of	--	1
""	Ronald Reagan, bedecked with fictional passages.		
""			
3	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	2	104
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
4	FAITH OF MY FATHERS, by John McCain with Mark Salter. (Random House,	3	4
""	$25.) A family memoir by the United States Senator and former P.O.W.		
""			
5	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	4	39
""	$22.95.) What Buddhism and common sense tell us about everyday problems.		
""			
6	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	5	44
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
7	ISAAC'S STORM, by Erik Larson. (Crown, $25.) An account of America's	6	5
""	deadliest hurricane, which killed at least 6,000 people in Galveston, Tex., in 1900,		
""	and the Weather Bureau scientist who failed to forecast it.		
""			
8	THE SWORD AND THE SHIELD, by Christopher Andrew and Vasili Mitrokhin.	7	3
""	(Basic Books, $32.50.) How the K.G.B. operated in the United States and other		
""	countries during the cold war.		
""			
9	WHEN PRIDE STILL MATTERED, by David Maraniss. (Simon & Schuster, $26.)	17	2
""	The life of the football coach Vince Lombardi.		
""			
10	THE TERRIBLE HOURS, by Peter Maas. (HarperCollins, $25.) The role a United	--	1
""	States Navy officer played in rescuing the crew of a submarine in 1939.		
""			
11	SHE SAID YES, by Misty Bernall. (Plough, $17.) The life of Cassie Bernall, a 17-	10	3
""	year-old junior who was killed at Columbine High School in Littleton, Colo.		
""			
12	YESTERDAY, I CRIED, by Iyanla Vanzant. (Simon & Schuster, $22.) A counselor	8	28
""	describes how she turned painful experiences into feelings of hope.		
""			
13	ETHICS FOR THE NEW MILLENNIUM, by the Dalai Lama. (Riverhead, $24.95.)	11	9
""	The ethical system Buddhism offers us for the present and the future.		
""			
14	THE HUNGRY OCEAN, by Linda Greenlaw. (Hyperion, $22.95.) A sea captain's	12	13
""	record of her 30-day swordfishing voyage off the Northeast coast.		
""			
15	HITLER'S POPE, by John Cornwell. (Viking, $29.95.) An account of Pius XII's	--	1
""	conduct during the Holocaust and his relationship with the German dictator.		
