This	October 26, 1997	Last	Weeks
Week	Fiction	Week	On List
""			
1	FLOOD TIDE, by Clive Cussler. (Simon & Schuster, $26.) Dirk Pitt in pursuit of a	1	4
""	notorious Chinese smuggler at work in the United States.		
""			
2	COLD MOUNTAIN, by Charles Frazier. (Atlantic Monthly, $24.) A wounded	2	16
""	Confederate soldier journeys home toward the end of the Civil War.		
""			
3	THE BEST LAID PLANS, by Sidney Sheldon. (Morrow, $25.) The relationship	3	6
""	between a power-hungry governor and a beautiful woman determined to wreak		
""	revenge.		
""			
4	THE ANGEL OF DARKNESS, by Caleb Carr. (Random House, $25.95.) Dr.	4	5
""	Kreizler and his team pursue the kidnapper of a Spanish diplomat's child in 1897		
""	Manhattan.		
""			
5	10 LB. PENALTY, by Dick Francis. (Putnam, $24.95.) A politician's career is	6	3
""	imperiled by actions taken by his enemies against his son, a onetime amateur		
""	jockey.		
""			
6	UNDERWORLD, by Don DeLillo. (Scribner, $27.50.) From the Polo Grounds to	5	5
""	cyberspace: American life as lived by a man and woman during the past 50 years.		
""			
7	TIMEQUAKE, by Kurt Vonnegut. (Putnam, $23.95.) In 2001, the universe starts	7	3
""	shrinking back in time -- but decides to reverse itself when it reaches 1991.		
""			
8	TEMPLE OF THE WINDS, by Terry Goodkind. (Tor/Doherty, $26.95.) Richard	--	1
""	Cypher of the ''Sword of Truth'' fantasy series continues his battle to save the		
""	world from demons.		
""			
9	NIGHT PASSAGE, by Robert B. Parker. (Putnam, $21.95.) A discharged Los	11	3
""	Angeles cop finds unexpected challenges as police chief in a small New England		
""	town.		
""			
10	THE NOTEBOOK, by Nicholas Sparks. (Warner, $16.95.) A World War II veteran	8	53
""	meets an old flame who is about to be married.		
""			
11	THE GOD OF SMALL THINGS, by Arundhati Roy. (Random House, $23.) Death	9	11
""	and secrets haunt a once-prosperous merchant family in contemporary India.		
""			
12	DEJA DEAD, by Kathy Reichs. (Scribner, $24.) Dr. Temperance Brennan hunts a	12	7
""	serial killer at large in Montreal.		
""			
13	REIGN IN HELL, by William Diehl. (Ballantine, $25.) Martin Vail is called upon by	--	1
""	the President to save the nation from a terrorist militia group.		
""			
14	UNNATURAL EXPOSURE, by Patricia Cornwell. (Putnam, $25.95.) Dr. Kay	10	13
""	Scarpetta contends with a killer who uses a smallpox-like virus and cyberspace		
""	tricks.		
This	October 26, 1997	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROYALS, by Kitty Kelley. (Warner, $27.) Gossip about the private lives of	1	4
""	members of the House of Windsor.		
""			
2	DIANA: HER TRUE STORY -- IN HER OWN WORDS, by Andrew Morton. (Simon	--	1
""	& Schuster, $22.95.) An updated, expanded version of the 1992 best seller about		
""	the Princess of Wales.		
""			
3	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	2	58
""	recalls his childhood amid the miseries of Limerick.		
""			
4	THE MAN WHO LISTENS TO HORSES, by Monty Roberts. (Random House,	3	10
""	$23.) The memoirs of a professional horse trainer.		
""			
5	DIANA, PRINCESS OF WALES, edited by Michael O'Mara. (St. Martin's, $25.) An	12	2
""	album of nearly 200 photographs.		
""			
6	THE PERFECT STORM, by Sebastian Junger. (Norton, $23.95.) An account of	4	20
""	the nor'easter of 1991, focusing on a crew of fishermen from Gloucester, Mass.		
""			
7	INTO THIN AIR, by Jon Krakauer. (Villard, $24.95.) A journalist's account of his	6	25
""	ascent of Mount Everest in 1996, the deadliest season in history.		
""			
8	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	5	171
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
9	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	7	45
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
10	DIRTY JOKES AND BEER, by Drew Carey. (Hyperion, $22.95.) Observations on	8	3
""	his life and life in general by the comedian.		
""			
11	ROCK THIS! by Chris Rock. (Hyperion, $19.95.) Observations on life by the stand-	14	2
""	up comedian and talk show host.		
""			
12	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	--	1
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
13	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	11	40
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans discloses that		
""	they have seven characteristics in common.		
""			
14	DOGS NEVER LIE ABOUT LOVE, by Jeffrey Moussaieff Masson. (Crown, $24.) A	10	4
""	psychoanalyst's reflections on the emotional lives of dogs.		
""			
15	BOOK, by Whoopi Goldberg. (Weisbach/Morrow, $22.) Twenty-five essays on a	9	2
""	variety of subjects by the actress and comedian.		
