This	August 8, 1993	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	1	52
""	$14.95.) A photographer and a lonely farmer's wife in Iowa.		
""			
2	THE CLIENT, by John Grisham. (Doubleday, $23.50.) A deadly secret, revealed	2	21
""	by a lawyer just before he kills himself, presents problems for an 11-year-old boy.		
""			
3	THE NIGHT MANAGER, by John le Carré. (Knopf, $24.) A Zurich hotelman's life	3	4
""	in the world of arms dealers, dope smugglers and international terrorists.		
""			
4	LIKE WATER FOR CHOCOLATE, by Laura Esquivel. (Doubleday, $17.50.)	4	17
""	Frustration, love, hope -- and recipes -- sampled by a woman on a Mexican ranch.		
""			
5	HONOR AMONG THIEVES, by Jeffrey Archer. (HarperCollins, $23.) Saddam	9	4
""	Hussein plots to steal and destroy the Declaration of Independence.		
""			
6	PLEADING GUILTY, by Scott Turow. (Farrar, Straus & Giroux, $24.) A lawyer in	5	10
""	pursuit of his firm's missing partner and a multimillion-dollar fund.		
""			
7	PIGS IN HEAVEN, by Barbara Kingsolver. (HarperCollins, $22.) The stresses and	6	7
""	strains that befall a mother and her adopted Cherokee daughter.		
""			
8	CRUEL & UNUSUAL, by Patricia D. Cornwell. (Scribners, $21.) Dr. Kay Scarpetta	7	7
""	investigates mysteries involving a man executed for murder.		
""			
9	AFTER ALL THESE YEARS, by Susan Isaacs. (HarperCollins, $23.) The plight of	8	4
""	a woman whose estranged husband is found murdered in her house.		
""			
10	SAVING GRACE, by Julie Garwood. (Pocket, $22.) The romantic problems of a	12	2
""	13th-century English widow.		
""			
11	THE SCORPIO ILLUSION, by Robert Ludlum. (Bantam, $23.95.) A former naval	10	10
""	officer tracks down a terrorist conspiracy headed by a vengeful woman.		
""			
12	HILL TOWNS, by Anne Rivers Siddons. (HarperCollins, $22.) Americans on a	11	5
""	holiday in Italy learn a lot about their marriage and themselves.		
""			
13	A CASE OF NEED, by Michael Crichton writing as Jeffery Hudson. (Dutton,	15	2
""	$18.95.) A 1968 novel about the mysterious death of a surgeon's daughter on an		
""	operating table.		
""			
14	STREETS OF LAREDO, by Larry McMurtry. (Simon & Schuster, $25.) A Texas	--	1
""	bounty hunter goes south of the border in pursuit of a train robber and killer.		
""			
15	I'LL BE SEEING YOU, by Mary Higgins Clark. (Simon & Schuster, $23.) A	13	14
""	television news reporter has mystifying experiences when she covers a story.		
This	August 8, 1993	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WOMEN WHO RUN WITH THE WOLVES, by Clarissa Pinkola Estes. (Ballantine,	1	52
""	$23.) How myths and folk tales can enable women to understand their psyches.		
""			
2	THE FIFTIES, by David Halberstam. (Villard, $27.50.) A journalist's social,	3	8
""	political, economic and cultural history of the 1950's.		
""			
3	DAYS OF GRACE, by Arthur Ashe and Arnold Rampersad. (Knopf, $24.) The	4	7
""	memoirs of the late tennis star.		
""			
4	THE WAY THINGS OUGHT TO BE, by Rush H. Limbaugh 3d. (Pocket, $22.)	2	47
""	Anecdotes and opinions offered by the talk-show host.		
""			
5	LISTENING TO PROZAC, by Peter D. Kramer. (Viking, $23.) A psychiatrist	9	4
""	discusses mood-changing medications and their effects on a person's self.		
""			
6	REENGINEERING THE CORPORATION, by Michael Hammer and James	5	9
""	Champy. (Harper Business, $25.) A manifesto for business innovation.		
""			
7	EMBRACED BY THE LIGHT, by Betty J. Eadie with Curtis Taylor. (Gold Leaf	6	13
""	Press, $14.95.) A woman's near-death experience.		
""			
8	CARE OF THE SOUL, by Thomas Moore. (HarperCollins, $22.50.) A	8	34
""	psychotherapist's discussion of spirituality and everyday life.		
""			
9	MAMA MAKES UP HER MIND, by Bailey White. (Addison-Wesley, $17.95.) Life in	10	9
""	a tiny Georgia town; by a first-grade teacher and radio commentator.		
""			
10	GIRL, INTERRUPTED, by Susanna Kaysen. (Turtle Bay/Random House, $17.) A	15	4
""	memoir of a young woman's mental illness.		
""			
11	HEALING AND THE MIND, by Bill Moyers. (Doubleday, $25.) Conversations with	12	25
""	physicians and others about the relationship of sickness to thoughts and emotions.		
""			
12	A WORLD WAITING TO BE BORN, by M. Scott Peck. (Bantam, $22.95.) A call for	7	12
""	people to make civility part of their lives.		
""			
13	SECRET CEREMONIES, by Deborah Laake. (Morrow, $20.) The unhappy	11	10
""	marriages of a woman raised as a Mormon.		
""			
14	RACE MATTERS, by Cornel West. (Beacon, $15.) A Princeton professor assays	13	8
""	issues affecting black Americans.		
""			
15	THINKING OUT LOUD, by Anna Quindlen. (Random House, $22.) Essays on	--	15
""	current topics by the New York Times columnist.		
