This	November 21, 1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	HARRY POTTER AND THE PRISONER OF AZKABAN, by J. K. Rowling.	1	9
""	(Levine/Scholastic, $19.95.) A British boy's life at a school for witchcraft is		
""	menaced when an infamous murderer escapes from prison.		
""			
2	HARRY POTTER AND THE CHAMBER OF SECRETS, by J. K. Rowling.	2	23
""	(Levine/Scholastic, $17.95.) A British boy finds trouble when he returns to a		
""	witchcraft school.		
""			
3	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	4	48
""	(Levine/Scholastic, $16.95.) A British boy finds his fortune attending a school for		
""	witchcraft.		
""			
4	POP GOES THE WEASEL, by James Patterson. (Little, Brown, $26.95.) The lives	3	3
""	of Alex Cross and his fiancee are imperiled as he pursues a serial killer at large in		
""	Washington's diplomatic corps.		
""			
5	A WALK TO REMEMBER, by Nicholas Sparks. (Warner, $19.95.) In 1958, a high	5	5
""	school senior in North Carolina finds love with the daughter of a Baptist minister.		
""			
6	IRRESISTIBLE FORCES, by Danielle Steel. (Delacorte, $26.95.) The marriage of	--	1
""	a professional couple is strained by their having to live a continent apart.		
""			
7	"""O"" IS FOR OUTLAW, by Sue Grafton. (Wood/Holt, $26.) The private eye Kinsey"	6	4
""	Millhone has to reappraise her youthful values while trying to solve a murder.		
""			
8	PERSONAL INJURIES, by Scott Turow. (Farrar, Straus & Giroux, $27.) A crooked	7	6
""	lawyer joins forces with an F.B.I. agent who has secrets of her own.		
""			
9	HEARTS IN ATLANTIS, by Stephen King. (Scribner, $28.) Five long,	8	8
""	interconnected stories about an America haunted by the Vietnam War.		
""			
10	TARA ROAD, by Maeve Binchy. (Delacorte, $24.95.) Two women -- one from	9	19
""	Ireland, one from New England -- exchange houses for the summer.		
""			
11	ASSASSINS, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $22.99.) The sixth	11	14
""	volume in a series about true believers who confront the Antichrist.		
""			
12	BLUE AT THE MIZZEN, by Patrick O'Brian. (Norton, $24.) The series of historical	15	2
""	novels about the British Navy officers Jack Aubrey and Stephen Maturin		
""	continues.		
""			
13	THE LOOKING GLASS, by Richard Paul Evans. (Simon & Schuster, $17.95.) A	12	6
""	clergyman fleeing his past nurses an equally troubled woman back to health.		
""			
14	HIGH TIDE, by Jude Deveraux. (Pocket, $24.) A born-and-bred New Yorker	14	2
""	encounters danger and romance when she is sent to the Everglades on business.		
This	November 21, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	'TIS, by Frank McCourt. (Scribner, $26.) An Irish immigrant gets used to life in	1	7
""	America: the second volume of a memoir.		
""			
2	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	3	109
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
3	HAVE A NICE DAY! by Mick Foley. (ReganBooks/ HarperCollins, $25.) The	2	3
""	autobiography of a professional wrestler known as Mankind.		
""			
4	THE NEW NEW THING, by Michael Lewis. (Norton, $25.95.) The story of Jim	9	2
""	Clark, a technical and financial pioneer in the computer world.		
""			
5	A MAN NAMED DAVE, by Dave Pelzer. (Dutton, $19.95.) The concluding volume	4	5
""	"of a memoir that began with ""A Child Called 'It' ""and ""The Lost Boy."""		
""			
6	ALL THE BEST, GEORGE BUSH, by George Bush. (Drew/Scribner, $30.) The	11	5
""	former president's letters, diary entries and memos, with commentary.		
""			
7	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	10	49
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
8	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	5	44
""	$22.95.) What Buddhism and common sense tell us about everyday problems.		
""			
9	WHEN PRIDE STILL MATTERED, by David Maraniss. (Simon & Schuster, $26.)	6	7
""	The life of the football coach Vince Lombardi.		
""			
10	JOHN GLENN: A Memoir, by John Glenn with Nick Taylor. (Bantam, $27.) The	--	1
""	former astronaut and United States senator from Ohio tells his life story.		
""			
11	FAITH OF MY FATHERS, by John McCain with Mark Salter. (Random House,	8	9
""	$25.) The United States senator (and former P.O.W.) remembers his life in the		
""	Navy and that of his father and grandfather.		
""			
12	DUTCH, by Edmund Morris. (Random House, $35.) The authorized biography of	7	6
""	Ronald Reagan, bedecked with fictional passages.		
""			
13	FRIENDSHIP WITH GOD, by Neale Donald Walsch. (Putnam, $22.95.)	--	1
""	"Inspirational homilies by the author of ""Conversations With God."""		
""			
14	GALILEO'S DAUGHTER, by Dava Sobel. (Walker, $27.) The life and trials of	13	3
""	Galileo Galilei, as seen through the letters of his cloistered, illegitimate daughter.		
""			
15	LIFE: Our Century in Pictures, edited by Richard B. Stolley and Tony Chiu.	--	1
""	(Bulfinch/Little, Brown, $60.) An album of photographs from Life magazine, plus		
""	essays on the past century.		
