This	October 18,1998	Last	Weeks
Week	Fiction	Week	On List
""			
1	BAG OF BONES, by Stephen King. (Scribner, $28.) A series of terrifying events	1	2
""	besets a best-selling novelist four years after his wife's sudden death.		
""			
2	THE LOOP, by Nicholas Evans. (Delacorte, $25.95.) A biologist finds herself	2	4
""	facing professional and romantic problems while trying to protect wolves in		
""	Montana.		
""			
3	RAINBOW SIX, by Tom Clancy. (Putnam, $27.95.) John Clark, heading an	3	9
""	international task force, investigates terrorist incidents in Switzerland, Germany		
""	and Spain.		
""			
4	I KNOW THIS MUCH IS TRUE, by Wally Lamb. (Regan Books/HarperCollins,	4	16
""	$27.50.) A troubled man must care for his schizophrenic identical-twin brother and		
""	face the nightmares that have bedeviled their family.		
""			
5	TELL ME YOUR DREAMS, by Sidney Sheldon. (Morrow, $26.) A series of brutal	5	6
""	murders that may involve three young women leads to a bizarre trial.		
""			
6	MEMOIRS OF A GEISHA, by Arthur Golden. (Knopf, $25.) The life of a young	6	47
""	woman growing up in Kyoto who has to reinvent herself after World War II begins.		
""			
7	THE REEF, by Nora Roberts. (Putnam, $23.95.) Searching for a jeweled amulet in	--	1
""	the depths of the Caribbean, a woman deals with mysteries and romance.		
""			
8	SUMMER SISTERS, by Judy Blume. (Delacorte, $21.95.) Two young women from	8	20
""	very different backgrounds come of age together on Martha's Vineyard.		
""			
9	BY THE LIGHT OF MY FATHER'S SMILE, by Alice Walker. (Random House,	--	1
""	$22.95.) The members of a black American family experience spiritual and sexual		
""	enlightenment in the Sierras of Mexico.		
""			
10	FIELD OF THIRTEEN, by Dick Francis. (Putnam, $24.95.) Thirteen stories of	7	4
""	suspense that revolve around the world of horse racing.		
""			
11	MESSAGE IN A BOTTLE, by Nicholas Sparks. (Warner, $20.) After finding a	9	26
""	seaborne bottle containing an enigmatic letter, a divorced woman encounters love.		
""			
12	THE HUNDRED DAYS, by Patrick O'Brian. (Norton, $24.) In 1815, Jack Aubrey	--	1
""	and Stephen Maturin must intercept a shipment of gold intended to aid Napoleon.		
""			
13	THE FIRST EAGLE, by Tony Hillerman. (HarperCollins, $25.) Two Navajo	11	10
""	policemen pursue a mysterious killer -- a plague or a person? -- in the Southwest.		
""			
14	WELCOME TO THE WORLD, BABY GIRL! by Fannie Flagg. (Random House,	15	2
""	$25.95.) The pleasures and problems of the rising star of a 1970's television show.		
""			
15	BIRDS OF AMERICA, by Lorrie Moore. (Knopf, $23.) A dozen short stories that	14	2
This	October 18, 1998	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	2	52
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
2	THE DEATH OF OUTRAGE, by William J. Bennett. (Free Press, $20.) The former	1	6
""	Secretary of Education takes a critical view of the Clinton Presidency.		
""			
3	THE TEN COMMANDMENTS, by Laura Schlessinger and Stewart Vogel. (Cliff	3	4
""	Street/HarperCollins, $24.) The radio talk-show host and a rabbi discuss the		
""	significance of the Ten Commandments in contemporary life.		
""			
4	HIS BRIGHT LIGHT, by Danielle Steel. (Delacorte, $25.) The novelist recalls the	4	4
""	life of her son Nick Traina, who suffered from manic depression and died at 19.		
""			
5	LINDBERGH, by A. Scott Berg. (Putnam, $30.) The checkered life of Charles A.	12	2
""	Lindbergh.		
""			
6	A WALK IN THE WOODS, by Bill Bryson. (Broadway, $25.) A journalist hikes the	8	19
""	Appalachian Trail.		
""			
7	A PIRATE LOOKS AT FIFTY, by Jimmy Buffett. (Random House, $24.95.)	7	18
""	Traveling from Florida to the Amazon, the singer-songwriter reflects on his life.		
""			
8	HIGH CRIMES AND MISDEMEANORS, by Ann H. Coulter. (Regnery, $24.95.) A	5	4
""	lawyer states the case for the impeachment of President Clinton.		
""			
9	PURE DRIVEL, by Steve Martin. (Hyperion, $19.95.) Humor pieces by the actor,	--	1
""	comedian and writer.		
""			
10	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	9	96
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
11	THE DAY DIANA DIED, by Christopher Andersen. (Morrow, $27.) An account of	6	8
""	the events surrounding the death of the Princess of Wales.		
""			
12	EAT THE RICH, by P. J. O'Rourke. (Atlantic Monthly, $24.) The humorist's treatise	10	2
""	on economics and the business world.		
""			
13	ANGELA'S ASHES, by Frank McCourt. (Scribner, $25.) An Irish-American writer	11	109
""	recalls his childhood amid the miseries of Limerick.		
""			
14	WE ARE OUR MOTHERS' DAUGHTERS, by Cokie Roberts. (Morrow, $19.95.)	14	24
""	The television news anchor's personal reflections on women.		
""			
15	THE PROFESSOR AND THE MADMAN, by Simon Winchester. (HarperCollins,	15	3
""	$22.) How a murderer helped compile the Oxford English Dictionary.		
""			
16	THE GIFTS OF THE JEWS, by Thomas Cahill. (Talese/ Doubleday, $23.50.)	--	26
