This	August 24, 1997	Last	Weeks
Week	Fiction	Week	On List
""			
1	UNNATURAL EXPOSURE, by Patricia Cornwell. (Putnam, $25.95.) Dr. Kay	1	4
""	Scarpetta contends with a killer who uses a smallpox-like virus and cyberspace		
""	tricks.		
""			
2	COLD MOUNTAIN, by Charles Frazier. (Atlantic Monthly, $24.) A wounded	2	7
""	Confederate soldier journeys home toward the end of the Civil War.		
""			
3	SPECIAL DELIVERY, by Danielle Steel. (Delacorte, $16.95.) Romance comes to	3	7
""	a mature couple who disliked each other in earlier encounters.		
""			
4	PLUM ISLAND, by Nelson DeMille. (Warner, $25.) A detective probes the murder	4	12
""	of a Long Island couple who may have been involved in germ warfare research.		
""			
5	THE NOTEBOOK, by Nicholas Sparks. (Warner, $16.95.) A World War II veteran	5	44
""	meets an old flame who is about to be married.		
""			
6	IF THIS WORLD WERE MINE, by E. Lynn Harris. (Doubleday, $23.95.) The	7	4
""	bonds of four old classmates are strained when a stranger enters their lives.		
""			
7	THE PARTNER, by John Grisham. (Doubleday, $26.95.) The pursuit of $90 million	6	24
""	stolen by a lawyer who apparently died but is actually hiding in Brazil.		
""			
8	LONDON, by Edward Rutherfurd. (Crown, $25.95.) Two thousand years of life in	11	12
""	Britain's capital as seen through the eyes of six families.		
""			
9	UP ISLAND, by Anne Rivers Siddons. (HarperCollins, $24.) An Atlanta woman,	9	11
""	after a bad marriage and her mother's death, seeks a new life on Martha's		
""	Vineyard.		
""			
10	THE GOD OF SMALL THINGS, by Arundhati Roy. (Random House, $23.) Death	12	2
""	and secrets haunt a once-prosperous merchant family in contemporary India.		
""			
11	FAT TUESDAY, by Sandra Brown. (Warner, $24.) A troubled cop and the wife of a	8	9
""	sinister attorney go on a tear in New Orleans during Mardi Gras.		
""			
12	CHASING CEZANNE, by Peter Mayle. (Knopf, $23.) In search of a painting taken	13	9
""	from a house in France.		
""			
13	POWER OF A WOMAN, by Barbara Taylor Bradford. (HarperCollins, $25.) A	14	6
""	businesswoman struggles with her past after her daughter is the victim of violence.		
""			
14	DECEPTION ON HIS MIND, by Elizabeth George. (Bantam, $24.95.) Barbara	10	6
""	Havers probes the murder of a respected Asian resident of a British coastal town.		
""			
15	FATAL TERRAIN, by Dale Brown. (Putnam, $24.95.) The United States Air Force	15	5
""	contends with a Chinese Government determined to recover Asian territories.		
This	August 24, 1997	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	1	49
""	recalls his childhood amid the miseries of Limerick.		
""			
2	THE PERFECT STORM, by Sebastian Junger. (Norton, $23.95.) An account of	2	11
""	the nor'easter of 1991, focusing on a crew of fishermen from Gloucester, Mass.		
""			
3	INTO THIN AIR, by Jon Krakauer. (Villard, $24.95.) A journalist's account of his	3	16
""	ascent of Mount Everest.		
""			
4	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	6	162
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
5	THE BIBLE CODE, by Michael Drosnin. (Simon & Schuster, $25.) A journalist	4	10
""	contends that important events have been predicted in the Bible.		
""			
6	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	5	36
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
7	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	7	31
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans.		
""			
8	BRAIN DROPPINGS, by George Carlin. (Hyperion, $19.95.) Comments on life	8	12
""	and the ways of the world by the stand-up comedian.		
""			
9	CONVERSATIONS WITH GOD: Book 2, by Neale Donald Walsch. (Hampton	11	14
""	Roads, $19.95.) More discussions of moral questions.		
""			
10	THE GIFT OF FEAR, by Gavin de Becker. (Little, Brown, $22.95.) Intuitive signals	9	8
""	that can protect us from becoming the victims of violence.		
""			
11	MARTHA STEWART -- JUST DESSERTS, by Jerry Oppenheimer. (Morrow, $24.)	10	6
""	A biography of ''the doyenne of domesticity.''		
""			
12	JUST AS I AM, by Billy Graham. (HarperSanFrancisco/Zondervan, $28.50.) The	13	15
""	preacher's autobiography.		
""			
13	BILLIONS AND BILLIONS, by Carl Sagan. (Random House, $24.) The late	15	4
""	astronomer's reflections on the future, human relationships, God and other topics.		
""			
14	UNDERBOSS, by Peter Maas. (HarperCollins, $25.) Life in the Mafia as lived and	14	17
""	observed by Salvatore (Sammy the Bull) Gravano.		
""			
15	THE MAN WHO LISTENS TO HORSES, by Monty Roberts. (Random House,	--	1
""	$23.) The memoirs of a professional horse trainer.		
""			
16	THE DAY AFTER ROSWELL, by Philip J. Corso with William J. Birnes. (Pocket,	12	4
""	$24.) The 1947 crash of an unidentified aircraft in New Mexico and the		
