This	July 5, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	3	17
""	student probes the murder of two Supreme Court justices.		
""			
2	SAHARA, by Clive Cussler. (Simon & Schuster, $23.) On a mission to Africa, Dirk	2	7
""	Pitt uncovers a plot that may extinguish all life in the world's seas.		
""			
3	WAITING TO EXHALE, by Terry McMillan. (Viking, $22.) The friendships and	8	6
""	romances of four black women in Phoenix.		
""			
4	SCRUPLES TWO, by Judith Krantz. (Crown, $22.) Continuing the story of the	5	2
""	crowd that frequents an ultrachic Beverly Hills store.		
""			
5	DARK FORCE RISING, by Timothy Zahn. (Spectra/Bantam, $18.50.) An insane	4	5
""	"Jedi threatens Luke Skywalker in the second volume of a ""Star Wars"" trilogy."		
""			
6	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	1	115
""	problems of finding your way through life; in verse and pictures.		
""			
7	JEWELS, by Danielle Steel. (Delacorte, $23.) The life of a woman who becomes	6	8
""	rich by dealing in precious stones.		
""			
8	ALL AROUND THE TOWN, by Mary Higgins Clark. (Simon & Schuster, $22.) The	7	11
""	plight of a college student accused of killing her professor.		
""			
9	DOUBLE DEUCE, by Robert B. Parker. (Putnam, $19.95.) Spenser joins his old	10	3
""	friend Hawk to investigate murders in a Boston housing project.		
""			
10	POSSESSING THE SECRET OF JOY, by Alice Walker. (Harcourt Brace	11	3
""	Jovanovich, $19.95.) The struggles of an African woman to come to terms with the		
""	consequences of female circumcision.		
""			
11	THE ROAD TO OMAHA, by Robert Ludlum. (Random House, $23.95.) A retired	13	18
""	general and a lawyer scheme to take possession of Nebraska on behalf of an		
""	obscure Indian tribe.		
""			
12	ALL THE PRETTY HORSES, by Cormac McCarthy. (Knopf, $21.) The adventures	12	4
""	of a 16-year-old vaquero from Texas in the Mexico of 1950.		
""			
13	RISING SUN, by Michael Crichton. (Knopf, $22.) The mysterious death of a young	--	20
""	woman leads to an investigation in which technology and the American-Japanese		
""	rivalry play major roles.		
""			
14	THE TRAIL TO SEVEN PINES, by Louis L'Amour. (Bantam, $19.) A novel,	--	1
""	originally published in 1951, about the exploits of Hopalong Cassidy in the Old		
""	West.		
""			
15	FATHERLAND, by Robert Harris. (Random House, $21.) A thriller set in the Third	--	1
This	July 5, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DIANA: HER TRUE STORY, by Andrew Morton. (Simon & Schuster, $22.) A	--	1
""	biography of the Princess of Wales.		
""			
2	THE SILENT PASSAGE, by Gail Sheehy. (Random House, $16.) The	1	6
""	psychological and social significance of menopause for today's women.		
""			
3	TRUMAN, by David McCullough. (Simon & Schuster, $30.) A biography of the 33d	3	3
""	President.		
""			
4	SAM WALTON: MADE IN AMERICA, by Sam Walton with John Huey.	15	2
""	(Doubleday, $22.50.) The autobiography of the man who became the richest		
""	American by creating the Wal-Mart store chain.		
""			
5	DIANA IN PRIVATE, by Lady Colin Campbell. (St. Martin's, $19.95.) A biography	2	6
""	of the Princess of Wales.		
""			
6	PEROT, by Todd Mason. (Business One Irwin, $16.95.) An unauthorized	4	5
""	biography of Ross Perot, by a reporter for The Wall Street Journal.		
""			
7	HEAD TO HEAD, by Lester Thurow. (Morrow, $25.) An economist considers the	5	9
""	upcoming economic battle among Japan, Europe and the United States.		
""			
8	CHIEF, by Daryl F. Gates with Diane K. Shah. (Bantam, $22.50.) The	6	5
""	autobiography of the man who headed the Los Angeles Police Department for 14		
""	years.		
""			
9	LITTLE LEAGUE CONFIDENTIAL, by Bill Geist. (Macmillan, $17.) One Little	--	1
""	League baseball season, described by the coach of a New Jersey suburban team.		
""			
10	MIRACLE MAN, by Nolan Ryan with Jerry Jenkins. (Word Publishing, $18.99.)	--	3
""	The autobiography of the record-breaking pitcher.		
""			
11	GIVE WAR A CHANCE, by P. J. O'Rourke. (Atlantic Monthly, $20.95.) Satirical	7	11
""	essays on recent social and political developments.		
""			
12	ACQUIRED TASTES, by Peter Mayle. (Bantam, $20.) Essays on the pleasures of	12	3
""	living extravagantly during the high-flying 1980's.		
""			
13	WHO WILL TELL THE PEOPLE, by William Greider. (Simon & Schuster, $25.) A	11	9
""	journalist's account of how powerful monied interests and elite groups dominate		
""	the Federal Government.		
""			
14	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	8	23
""	reflections of a feminist on the struggle to achieve self-esteem.		
""			
15	ELEANOR ROOSEVELT, by Blanche Wiesen Cook. (Viking, $27.50.) From	10	7
""	childhood in New York to the White House: the first 49 years of a pre-eminent First		
