This	October 17,1993	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	1	62
""	$16.95.) A photographer and a lonely farmer's wife in Iowa.		
""			
2	LASHER, by Anne Rice. (Knopf, $25.) The demon Lasher pursues the witch	2	3
""	"Rowan and their child; a sequel to ""The Witching Hour."""		
""			
3	NIGHTMARES & DREAMSCAPES, by Stephen King. (Viking, $27.50.) Twenty	--	1
""	stories (mostly about the macabre), a teleplay, an essay and a poem.		
""			
4	SACRED CLOWNS, by Tony Hillerman. (HarperCollins, $23.) Two Navajo tribal	3	3
""	policemen undertake to unravel a web of politics and murder.		
""			
5	WITHOUT REMORSE, by Tom Clancy. (Putnam, $24.95.) John Kelly becomes	4	8
""	involved in a Pentagon project to rescue prisoners held in North Vietnam.		
""			
6	THE GOLDEN MEAN, by Nick Bantock. (Chronicle Books, $17.95.) A sequel to	5	6
""	"""Griffin & Sabine."""		
""			
7	LIKE WATER FOR CHOCOLATE, by Laura Esquivel. (Doubleday, $17.50.)	6	27
""	Frustration, love, hope -- and recipes -- sampled by a woman on a Mexican ranch.		
""			
8	THE CLIENT, by John Grisham. (Doubleday, $23.50.) A deadly secret, revealed	7	31
""	by a lawyer just before he kills himself, presents problems for an 11-year-old boy.		
""			
9	STRIP TEASE, by Carl Hiaasen. (Knopf, $21.) The problems, political and sexual,	9	6
""	of a Florida Congressman.		
""			
10	POT OF GOLD, by Judith Michael. (Poseidon, $23.) A single mother and her teen-	13	3
""	age daughter go on a spree after winning $60 million in a lottery.		
""			
11	VANISHED, by Danielle Steel. (Delacorte, $23.95.) The abduction of their young	8	10
""	son creates a crisis for a New York man and woman and for the woman's first		
""	lover.		
""			
12	STREETS OF LAREDO, by Larry McMurtry. (Simon & Schuster, $25.) A Texas	10	11
""	bounty hunter goes south of the border in pursuit of a train robber and killer.		
""			
13	GRIFFIN & SABINE, by Nick Bantock. (Chronicle Books, $17.95.) The romance of	11	39
""	an artist and a secret admirer, told through illustrated cards and letters.		
""			
14	PIGS IN HEAVEN, by Barbara Kingsolver. (HarperCollins, $22.) The stresses and	12	17
""	strains that befall a mother and her adopted Cherokee daughter.		
""			
15	SMILLA'S SENSE OF SNOW, by Peter Hoeg. (Farrar, Straus & Giroux, $21.) A	--	1
""	woman's effort to solve the mystery of a child's death takes her from Copenhagen		
""	to Greenland.		
This	October 17, 1993	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SEINLANGUAGE, by Jerry Seinfeld. (Bantam, $19.95.) Observations on life's	1	6
""	"pleasures and ordeals by the star of the television show ""Seinfeld."""		
""			
2	EMBRACED BY THE LIGHT, by Betty J. Eadie with Curtis Taylor. (Gold Leaf	2	23
""	Press, $14.95.) A woman's near-death experience.		
""			
3	THE HIDDEN LIFE OF DOGS, by Elizabeth Marshall Thomas. (Davison/Houghton	3	8
""	Mifflin, $18.95.) An analysis of canine behavior by a novelist and anthropologist.		
""			
4	WOULDN'T TAKE NOTHING FOR MY JOURNEY NOW, by Maya Angelou.	7	2
""	(Random House, $17.) Essays about life and death, good and evil.		
""			
5	WOMEN WHO RUN WITH THE WOLVES, by Clarissa Pinkola Estes. (Ballantine,	4	62
""	$23.) How myths and folk tales can enable women to understand their psyches.		
""			
6	LISTENING TO PROZAC, by Peter D. Kramer. (Viking, $23.) A psychiatrist	6	14
""	discusses mood-changing medications and their effects on a person's self.		
""			
7	MAYBE (MAYBE NOT), by Robert Fulghum. (Villard, $19.) Essays suggesting that	5	9
""	inspiration can be found in most unexpected ways and places.		
""			
8	REENGINEERING THE CORPORATION, by Michael Hammer and James	8	19
""	Champy. (Harper Business, $25.) A manifesto for business innovation.		
""			
9	THE FOUNTAIN OF AGE, by Betty Friedan. (Simon & Schuster, $25.) A call for	11	3
""	men and women to regard life after age 60 as an exciting adventure.		
""			
10	A MARRIAGE MADE IN HEAVEN ... OR TOO TIRED FOR AN AFFAIR, by Erma	14	2
""	Bombeck. (HarperCollins, $20.) Reflections on 43 years of marriage.		
""			
11	MORE MEMORIES, by Ralph Emery with Tom Carter. (Putnam, $21.95.) Stories	10	3
""	"about country music stars from the host of the ""Nashville Now"" television show."		
""			
12	CARE OF THE SOUL, by Thomas Moore. (HarperCollins, $22.50.) A	9	44
""	psychotherapist's discussion of spirituality and everyday life.		
""			
13	CASE CLOSED, by Gerald Posner. (Random House, $25.) A reassessment of the	13	5
""	assassination of President John F. Kennedy.		
""			
14	FURTHER ALONG THE ROAD LESS TRAVELED, by M. Scott Peck. (Simon &	12	2
""	Schuster, $21.) Discussions of love, self-esteem, relationships and spiritual		
""	growth.		
""			
15	OLD FRIENDS, by Tracy Kidder. (Todd/Houghton Mifflin, $22.95.) Life in a	--	1
""	Massachusetts nursing home.		
