This	September 23, 1990	Last	Weeks
Week	Fiction	Week	On List
""			
1	FOUR PAST MIDNIGHT, by Stephen King. (Viking, $22.95.) Four novellas about	1	2
""	horror and terror in the late-night hours.		
""			
2	MEMORIES OF MIDNIGHT, by Sidney Sheldon. (Morrow, $21.95.) The destiny of	2	5
""	an American woman is haunted by a vengeful Greek tycoon.		
""			
3	THE BURDEN OF PROOF, by Scott Turow. (Farrar, Straus & Giroux, $22.95.) An	3	15
""	attorney tries to unravel the mystery of his wife's death while defending his		
""	wheeler-dealer brother-in-law.		
""			
4	THE WOMEN IN HIS LIFE, by Barbara Taylor Bradford. (Random House, $21.95.)	4	7
""	The rise of a tycoon and his relationships with five women.		
""			
5	SPY SINKER, by Len Deighton. (Bessie/HarperCollins, $21.95.) The adventures	9	2
""	of a woman torn between love for her family and her duties as a spy for British		
""	intelligence in East Germany.		
""			
6	HOCUS POCUS, by Kurt Vonnegut. (Putnam, $21.95.) Life in the near future as	--	1
""	noted by a college professor and prison administrator in upstate New York.		
""			
7	MESSAGE FROM NAM, by Danielle Steel. (Delacorte, $21.95.) A woman	5	14
""	journalist's coming of age in the 1960's and 70's.		
""			
8	THE STAND, by Stephen King. (Doubleday, $24.95.) Doomsday brings horrors to	6	20
""	America; the uncut version of a novel first published in 1978.		
""			
9	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	7	31
""	problems of finding your way through life; in verse and pictures.		
""			
10	THE GENERAL IN HIS LABYRINTH, by Gabriel Garcia Marquez. (Knopf, $19.95.)	--	1
""	The last, sad retrospective days of the Latin American revolutionary Simon		
""	Bolivar.		
""			
11	PRIME DIRECTIVE, by Judith and Garfield Reeves-Stevens. (Pocket, $18.95.)	10	2
""	The former crew members of ''Star Trek'' 's Enterprise on a mission to discover		
""	why their careers were ruined.		
""			
12	SEPTEMBER, by Rosamunde Pilcher. (Dunne/St. Martin's, $22.95.) Guests from	8	23
""	many parts of the world at a get-together in a small Scottish town.		
""			
13	A BED BY THE WINDOW, by M. Scott Peck. (Bantam, $18.95.) A detective	14	2
""	probes the murder of a young paralytic in a Midwestern nursing home.		
""			
14	SEVENTH HEAVEN, by Alice Hoffman. (Putnam, $19.95.) A divorced woman with	13	5
""	children creates waves in a stuffy suburban town in the 1950's.		
""			
15	COYOTE WAITS, by Tony Hillerman. (HarperCollins, $19.95.) The murder of a	12	12
This	September 23, 1990	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TRUMP: Surviving at the Top, by Donald J. Trump with Charles Leerhsen.	10	4
""	(Random House, $21.95.) The New York entrepreneur reflects on his recent		
""	experiences.		
""			
2	BOOTLEGGER'S BOY, by Barry Switzer with Bud Shrake. (Morrow, $19.95.) The	2	2
""	autobiography of the former football coach at the University of Oklahoma.		
""			
3	DARKNESS VISIBLE, by William Styron. (Random House, $15.95.) The novelist's	1	3
""	memoir of a period of severe depression.		
""			
4	YOU JUST DON'T UNDERSTAND, by Deborah Tannen. (Morrow, $18.95.) The	4	8
""	different languages men and women speak.		
""			
5	THE POLITICS OF RICH AND POOR, by Kevin Phillips. (Random House,	7	8
""	$19.95.) How the rich got richer during the 1980's.		
""			
6	EVERY SPY A PRINCE, by Dan Raviv and Yossi Melman. (Jaffe/Houghton Mifflin,	5	7
""	$24.95.) A history of the Israeli intelligence community.		
""			
7	MEN AT WORK, by George F. Will. (Macmillan, $19.95.) The political pundit and	6	24
""	baseball buff describes the craft of the game.		
""			
8	DAVE BARRY TURNS 40, by Dave Barry. (Crown, $16.95.) Thoughts about the	9	17
""	crises of middle age from the syndicated humorist.		
""			
9	BARBARIANS AT THE GATE, by Bryan Burrough and John Helyar. (Harper	8	35
""	Collins, $22.95.) The 1988 battle for control of RJR Nabisco.		
""			
10	TOM LANDRY, by Tom Landry with Gregg Lewis. (Zondervan/HarperCollins,	3	5
""	$18.95.) The autobiography of the former coach of the Dallas Cowboys.		
""			
11	MEGATRENDS 2000, by John Naisbitt and Patricia Aburdene. (Morrow, $21.95.)	11	35
""	Prognostications for the next decade.		
""			
12	NOW YOU KNOW, by Kitty Dukakis with Jane Scovell. (Simon & Schuster,	--	1
""	$19.95.) A self-portrait of the wife of the 1988 Democratic Presidential nominee.		
""			
13	INSIDE JOB, by Stephen Pizzo, Mary Fricker and Paul Muolo. (McGraw-Hill,	12	6
""	$19.95.) How America's savings and loans were looted of billions of dollars.		
""			
14	A NATURAL HISTORY OF THE SENSES, by Diane Ackerman. (Random House,	13	8
""	$19.95.) How our ability to taste, touch, smell, hear and see affects our lives.		
""			
15	GET TO THE HEART, by Barbara Mandrell with George Vecsey. (Bantam,	--	1
""	$19.95.) The autobiography of the country-music singer.		
