This	August 19, 1990	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BURDEN OF PROOF, by Scott Turow. (Farrar, Straus & Giroux, $22.95.) An	1	10
""	attorney tries to unravel the mystery of his wife's death while defending his		
""	wheeler-dealer brother-in-law.		
""			
2	MESSAGE FROM NAM, by Danielle Steel. (Delacorte, $21.95.) A woman	2	9
""	journalist's coming of age in the 1960's and 70's.		
""			
3	THE WOMEN IN HIS LIFE, by Barbara Taylor Bradford. (Random House, $21.95.)	5	2
""	The rise of a billionaire tycoon, from Nazi Berlin to London and New York, and his		
""	relationships with five women.		
""			
4	COYOTE WAITS, by Tony Hillerman. (HarperCollins, $19.95.) The murder of a	3	7
""	Navajo tribal policeman involves an ancient artifact.		
""			
5	GET SHORTY, by Elmore Leonard. (Delacorte, $18.95.) A Miami crook goes to	11	2
""	Hollywood, where he finds that his life is the stuff of which motion pictures are		
""	made.		
""			
6	THE STAND, by Stephen King. (Doubleday, $24.95.) Doomsday brings horrors to	6	15
""	America; the uncut version of a novel first published in 1978.		
""			
7	SEPTEMBER, by Rosamunde Pilcher. (Dunne/St. Martin's, $22.95.) Guests from	4	18
""	many parts of the world at a get-together in a small Scottish town.		
""			
8	STARDUST, by Robert B. Parker. (Putnam, $18.95.) A host of problems besets	8	4
""	the private eye Spenser when he protects a glamorous star.		
""			
9	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	7	26
""	problems of finding your way through life; in verse and pictures.		
""			
10	HAMMERHEADS, by Dale Brown. (Donald I. Fine, $19.95.) A Coast Guard unit	14	3
""	wages war against the South American drug cartel.		
""			
11	AN INCONVENIENT WOMAN, by Dominick Dunne. (Crown, $19.95.) Manners,	9	15
""	morals and murder in Los Angeles's high society.		
""			
12	THE BOURNE ULTIMATUM, by Robert Ludlum. (Random House, $21.95.) Jason	12	23
""	Bourne plans to infiltrate the ruthless Medusa Brigade.		
""			
13	DRAGON, by Clive Cussler. (Simon & Schuster, $21.95.) In 1993, Dirk Pitt moves	10	15
""	fast to save America from a Japanese extremist.		
""			
14	KILLING MISTER WATSON, by Peter Matthiessen. (Random House, $21.95.)	15	4
""	How the career of a turn-of-the-century Florida plantation owner evolved into an		
""	enduring legend.		
""			
15	DARK ANGEL, by Sally Beauman. (Bantam, $19.95.) The rise of an enigmatic	--	1
This	August 19, 1990	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MEN AT WORK, by George F. Will. (Macmillan, $19.95.) The political pundit and	1	19
""	baseball buff describes the craft of the game as practiced by three players and a		
""	manager.		
""			
2	DAVE BARRY TURNS 40, by Dave Barry. (Crown, $16.95.) Reflections on the	3	12
""	crises of middle age by the syndicated humorist.		
""			
3	THE POLITICS OF RICH AND POOR, by Kevin Phillips. (Random House,	2	3
""	$19.95.) How the rich got richer during the 1980's and what may lie ahead for		
""	American society.		
""			
4	BARBARIANS AT THE GATE, by Bryan Burrough and John Helyar. (Harper	4	30
""	Collins, $22.95.) The 1988 battle for control of RJR Nabisco.		
""			
5	YOU JUST DON'T UNDERSTAND, by Deborah Tannen. (Morrow, $18.95.) The	8	3
""	different languages men and women speak and how the sexes can understand		
""	each other better.		
""			
6	MEGATRENDS 2000, by John Naisbitt and Patricia Aburdene. (Morrow, $21.95.)	5	30
""	Prognostications for the next decade.		
""			
7	FATHER, SON & CO., by Thomas J. Watson Jr. and Peter Petre. (Bantam,	7	11
""	$22.95.) The autobiography of the man who headed I.B.M.		
""			
8	INSIDE JOB, by Stephen Pizzo, Mary Fricker and Paul Muolo. (McGraw-Hill,	--	1
""	$19.95.) How America's savings and loans were looted of billions of dollars during		
""	the 1980's.		
""			
9	EVERY SPY A PRINCE, by Dan Raviv and Yossi Melman. (Jaffe/Houghton Mifflin,	15	2
""	$24.95.) A history of the Israeli intelligence community.		
""			
10	DON'T SHOOT, IT'S ONLY ME, by Bob Hope with Melville Shavelson. (Putnam,	12	11
""	$19.95.) The comedian reminisces about his career.		
""			
11	CAPTAIN SIR RICHARD FRANCIS BURTON, by Edward Rice. (Scribners, $35.)	9	7
""	The strange and remarkable career of the British explorer.		
""			
12	IT WAS ON FIRE WHEN I LAY DOWN ON IT, by Robert Fulghum. (Villard,	6	48
""	$17.95.) A new collection of inspirational essays.		
""			
13	A NATURAL HISTORY OF THE SENSES, by Diane Ackerman. (Random House,	11	3
""	$19.95.) How our ability to taste, touch, smell, hear and see affects our lives.		
""			
14	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	14	93
""	Fulghum. (Villard, $17.95.) Inspirational essays.		
""			
15	LIAR'S POKER, by Michael Lewis. (Norton, $19.95.) Wall Street's tumultuous	13	41
