This	May 3, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	1	8
""	student seeks to discover the truth about the murder of two Supreme Court		
""	justices.		
""			
2	ALL AROUND THE TOWN, by Mary Higgins Clark. (Simon & Schuster, $22.) The	3	2
""	plight of a college student accused of killing her professor, and the part a		
""	childhood experience plays in it.		
""			
3	"""I"" IS FOR INNOCENT, by Sue Grafton. (Holt, $18.95.) Kinsey Millhone"	2	2
""	investigates the case of a man once charged with murdering his rich wife.		
""			
4	JAZZ, by Toni Morrison. (Knopf, $21.) A couple in the Harlem of the 1920's learn	5	3
""	again and again that life does not keep its promises.		
""			
5	RISING SUN, by Michael Crichton. (Knopf, $22.) The mysterious death of a young	4	12
""	woman leads to an investigation in which technology and the American-Japanese		
""	rivalry play major roles.		
""			
6	FOR LOVE ALONE, by Ivana Trump. (Pocket, $22.) The experiences of a	6	2
""	Czechoslovak-born skier married to a wealthy entrepreneur from an old New York		
""	family.		
""			
7	DISNEY'S BEAUTY AND THE BEAST. (Gallery Books/Penguin USA, $6.98.) A	9	19
""	retelling of the classic fairy tale in words and pictures.		
""			
8	THE ELF QUEEN OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $22.)	7	8
""	The third volume in a series about a fantasy land.		
""			
9	THE ROAD TO OMAHA, by Robert Ludlum. (Random House, $23.95.) A retired	8	10
""	general and a lawyer scheme to take possession of Nebraska on behalf of an		
""	obscure Indian tribe.		
""			
10	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) Verse	12	106
""	and pictures.		
""			
11	VOX, by Nicholson Baker. (Random House, $15.) A man and a woman learn	10	11
""	"about each other through a telephone conversation on an ""adult party line."""		
""			
12	ACTS OF FAITH, by Erich Segal. (Bantam, $23.) The stories of three Brooklyn	11	5
""	natives, one of whom rises high in the Roman Catholic hierarchy, two who break		
""	with their traditional Jewish heritage.		
""			
13	"SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to ""Gone With the"	14	30
""	"Wind."""		
""			
14	SILENT PREY, by John Sandford. (Putnam, $21.95.) A retired cop and a New	--	2
""	York policewoman join hands to track down an escaped serial killer.		
This	May 3, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	1	14
""	reflections of a feminist on the struggle to achieve self-esteem.		
""			
2	ROGUE WARRIOR, by Richard Marcinko with John Weisman. (Pocket, $22.) The	4	7
""	memoirs of the retired commander of a counterterrorist unit.		
""			
3	GIVE WAR A CHANCE, by P. J. O'Rourke. (Atlantic Monthly, $20.95.) Satirical	7	2
""	essays on recent social and political developments.		
""			
4	DOUBLE CROSS, by Sam Giancana and Chuck Giancana. (Warner, $22.95.)	3	9
""	Two relatives of the late Sam Giancana recall his life in the Mafia.		
""			
5	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist describes a war against	2	24
""	women's rights.		
""			
6	HIGH TREASON 2, by Harrison Edward Livingstone. (Carroll & Graf, $25.95.)	12	2
""	Charges of a cover-up after the death of John F. Kennedy.		
""			
7	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) Plunderers on	6	29
""	Wall Street.		
""			
8	REINVENTING GOVERNMENT, by David Osborne and Ted Gaebler.	9	4
""	(Patrick/Addison-Wesley, $22.95.) How government should operate.		
""			
9	THE DISUNITING OF AMERICA, by Arthur M. Schlesinger Jr. (Norton, $14.95.) A	8	5
""	historian considers the current emphasis on ethnicity.		
""			
10	MOLLY IVINS CAN'T SAY THAT, CAN SHE? by Molly Ivins. (Random House,	10	24
""	$23.) Political essays.		
""			
11	TWO NATIONS, by Andrew Hacker. (Scribners, $24.95.) A political scientist	--	1
""	discusses the way racism affects American life, keeping blacks and whites		
""	separate, hostile and unequal.		
""			
12	MAUS II, by Art Spiegelman. (Pantheon, $18.) An Auschwitz survivor's story, in	16	13
""	comic-book form.		
""			
13	BARCELONA, by Robert Hughes. (Knopf, $27.50.) The story of the Spanish city	14	3
""	through 15 centuries.		
""			
14	MEMORIES, by Ralph Emery with Tom Carter. (Macmillan, $19.95.) The	11	22
""	autobiography of a country-music broadcaster.		
""			
15	EARTH IN THE BALANCE, by Al Gore. (Houghton Mifflin, $22.95.) The	15	5
""	Tennessee Senator discusses factors affecting the environment.		
""			
16	THE TEXAS CONNECTION, by Craig I. Zirbel. (Texas Connection/Ingram,	--	9
