This	April 25, 1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	BITTERSWEET, by Danielle Steel. (Delacorte, $26.95.) A woman copes with a	2	2
""	midlife crisis: should she continue to raise a family or should she pursue her old		
""	career?		
""			
2	THE GIRL WHO LOVED TOM GORDON, by Stephen King. (Scribner, $16.95.)	--	1
""	When a young girl gets lost in the woods, she is saved by her spiritual association		
""	with a relief pitcher for the Boston Red Sox.		
""			
3	THE TESTAMENT, by John Grisham. (Doubleday, $27.95.) A reclusive billionaire,	1	10
""	a burned-out lawyer and a missionary are brought together by a startling secret.		
""			
4	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	7	18
""	(Levine/Scholastic, $16.95.) A British boy finds his fortune attending a school of		
""	witchcraft.		
""			
5	VITTORIO, THE VAMPIRE, by Anne Rice. (Knopf, $19.95.) A supernatural siren	3	4
""	seduces a teen-age boy.		
""			
6	TARA ROAD, by Maeve Binchy. (Delacorte, $24.95.) Two women exchange	4	6
""	houses for the summer.		
""			
7	WHAT'S HEAVEN? by Maria Shriver. Illustrated by Sandra Speidel. (Golden	5	3
""	Books, $15.) When little Kate's great-grandmother dies, her mother consoles her.		
""			
8	A NEW SONG, by Jan Karon. (Viking, $24.95.) A clergyman and his wife move	--	1
""	600 miles from home, creating new friendships and maintaining old ones.		
""			
9	I THEE WED, by Amanda Quick. (Bantam, $23.95.) After finding a job as a lady's	--	1
""	maid on an English estate, a woman discovers surprising challenges and		
""	romance.		
""			
10	ABIDE WITH ME, by E. Lynn Harris. (Doubleday, $24.95.) The friendships and	9	4
""	sexual relationships of young people whose careers are beginning to blossom.		
""			
11	SINGLE & SINGLE, by John le Carré. (Scribner, $26.) A British bank becomes	8	6
""	involved in money laundering for drug merchants from the former Soviet Union.		
""			
12	THE POISONWOOD BIBLE, by Barbara Kingsolver. (Harper Flamingo, $26.) Five	12	26
""	female characters narrate this novel set in the Belgian Congo.		
""			
13	RIVER'S END, by Nora Roberts. (Putnam, $23.95.) The daughter of a Hollywood	6	6
""	couple must cope with the past.		
""			
14	APOLLYON, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $19.97.) After the	13	9
""	rapture of the saved, the world's remaining believers confront the Antichrist.		
""			
15	ASHES TO ASHES, by Tami Hoag. (Bantam, $24.95.) Kate Conlan, a former	11	6
This	April 25, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL TOO HUMAN, by George Stephanopoulos. (Little, Brown, $27.95.) The	1	5
""	former adviser to President Clinton recalls his years in the White House.		
""			
2	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	2	19
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
3	YESTERDAY, I CRIED, by Iyanla Vanzant. (Simon & Schuster, $22.) A counselor	3	4
""	recalls how she turned painful experiences into feelings of hope.		
""			
4	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	4	79
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
5	BUSINESS @ THE SPEED OF THOUGHT, by Bill Gates with Collins Hemingway.	5	3
""	(Warner, $30.) The chairman of Microsoft discusses how new technology is		
""	changing the ways business is done.		
""			
6	THE CENTURY, by Peter Jennings and Todd Brewster. (Doubleday, $60.) An	7	21
""	account of the 20th century.		
""			
7	BELLA TUSCANY, by Frances Mayes. (Broadway, $25.) An American writer	--	1
""	recalls a spring and summer spent in the romantic sections of Italy.		
""			
8	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	8	14
""	$22.95.) What Buddhism and common sense tell us about everyday problems.		
""			
9	THE MAJORS, by John Feinstein. (Little, Brown, $25.) A journalist reports on the	12	2
""	1998 Masters, U.S. Open, British Open and P.G.A. golf tournaments.		
""			
10	TRAVELING MERCIES, by Anne Lamott. (Pantheon, $23.) A chronicle of the	15	11
""	author's journey toward faith and spirituality.		
""			
11	UNCOVERING CLINTON, by Michael Isikoff. (Crown, $25.) A journalist's account	--	1
""	of scandals in the Clinton White House and his role in reporting them.		
""			
12	BLACK HAWK DOWN, by Mark Bowden. (Atlantic Monthly, $24.) The bloody	11	4
""	battle between American forces and Somali street fighters in Mogadishu in 1993.		
""			
13	MONICA'S STORY, by Andrew Morton. (St. Martin's, $24.95.) A biography of	9	6
""	Monica Lewinsky.		
""			
14	BLIND MAN'S BLUFF, by Sherry Sontag and Christopher Drew with Annette	10	21
""	Lawrence Drew. (Public Affairs, $25.) American submarine espionage.		
""			
15	REACHING TO HEAVEN, by James Van Praagh. (Dutton, $22.95.) Death, the	13	7
""	spirit world and reincarnation.		
