This	February 23, 1997	Last	Weeks
Week	Fiction	Week	On List
""			
1	HORNET'S NEST, by Patricia Cornwell. (Putnam, $25.95.) The experiences of	1	4
""	two policewomen and a reporter as they patrol the streets of Charlotte, N.C.		
""			
2	TOTAL CONTROL, by David Baldacci. (Warner, $25.) A woman's effort to find her	2	4
""	husband, who has disappeared, discloses many of big business's current ways.		
""			
3	SMALL TOWN GIRL, by LaVyrle Spencer. (Putnam, $23.95.) A country music	8	2
""	star, returning to her Missouri hometown, finds a new self and a new life.		
""			
4	SOLE SURVIVOR, by Dean Koontz. (Knopf, $25.95.) A crime reporter searches	--	1
""	for a woman who claims to know a secret about the plane crash that killed his wife		
""	and daughters.		
""			
5	SILENT WITNESS, by Richard North Patterson. (Knopf, $25.95.) Two murder	3	5
""	cases change the lives of men and women who grew up in a Midwestern town.		
""			
6	AIRFRAME, by Michael Crichton. (Knopf, $26.) A young woman investigates a	5	10
""	near disaster that befell a plane on its way from Hong Kong to Denver.		
""			
7	THE NOTEBOOK, by Nicholas Sparks. (Warner, $16.95.) A World War II veteran	6	18
""	meets an old flame who is about to be married.		
""			
8	THE DEEP END OF THE OCEAN, by Jacquelyn Mitchard. (Viking, $23.95.) The	7	22
""	disappearance of a 3-year-old brings a family anguish and redemption.		
""			
9	VENDETTA: LUCKY'S REVENGE, by Jackie Collins. (Regan Books/ Harper	12	2
""	Collins, $25.) Lucky Santangelo fights to retain control of her Hollywood studio.		
""			
10	THE CLINIC, by Jonathan Kellerman. (Bantam, $24.95.) Alex Delaware	4	6
""	investigates the murder of a woman who wrote a best-selling indictment of men.		
""			
11	THE CAT WHO TAILED A THIEF, by Lilian Jackson Braun. (Putnam, $22.95.) Jim	11	2
""	Qwilleran and his two feline sleuths battle a crime wave in a small town.		
""			
12	DRUMS OF AUTUMN, by Diana Gabaldon. (Delacorte, $24.95.) The travails of a	10	6
""	Scottish couple cast ashore in North Carolina on the brink of the American		
""	Revolution.		
""			
13	THE UNLIKELY SPY, by Daniel Silva. (Villard, $25.) An attractive widow and an	13	5
""	absent-minded professor play the roles of spy and counterspy in London during		
""	World War II.		
""			
14	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	14	150
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
15	DRAGONSEYE, by Anne McCaffrey. (Del Rey/Ballantine, $24.) Continuing the	--	1
""	''Dragonriders of Pern'' fantasy saga.		
This	February 23, 1997	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PERSONAL HISTORY, by Katharine Graham. (Knopf, $29.95.) The	10	2
""	autobiography of the former publisher of The Washington Post and capital grande		
""	dame.		
""			
2	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	1	23
""	recalls his childhood amid the miseries of Limerick.		
""			
3	A REPORTER'S LIFE, by Walter Cronkite. (Knopf, $26.95.) The autobiography of	3	10
""	the television anchorman.		
""			
4	THE GIFT OF PEACE, by Joseph Cardinal Bernardin. (Loyola Press, $17.95.)	2	3
""	Reflections on the last three years of his life by the late Archbishop of Chicago.		
""			
5	EVIDENCE DISMISSED, by Tom Lange and Philip Vannatter as told to Dan E.	6	2
""	Moldea. (Pocket, $24.) Two police detectives report on the O. J. Simpson case.		
""			
6	CONVERSATIONS WITH GOD, by Neale Donald Walsch. (Putnam, $19.95.) The	5	10
""	author addresses questions of life and love, good and evil, guilt and sin.		
""			
7	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	9	5
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans.		
""			
8	MY SERGEI, by Ekaterina Gordeeva with E. M. Swift. (Warner, $18.95.) A memoir	4	15
""	of the Russian ice skater Sergei Grinkov by his longtime partner and wife.		
""			
9	JOURNEY INTO DARKNESS, by John Douglas and Mark Olshaker.	7	2
""	(Drew/Scribner, $25.) A former F.B.I. profiler describes the nature of vicious serial		
""	criminals.		
""			
10	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	15	136
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
11	THE SOUL'S CODE, by James Hillman. (Random House, $23.) A psychologist	8	14
""	analyzes the elements that make up each person's essence.		
""			
12	THE DILBERT PRINCIPLE, by Scott Adams. (Harper Business, $22.) A satirical	--	42
""	look, in words and cartoons, at the current foibles of business and management.		
""			
13	BEHIND THE OVAL OFFICE, by Dick Morris. (Random House, $25.95.) President	11	3
""	Clinton's former chief political strategist reports on the 1996 campaign.		
""			
14	DOGBERT'S TOP SECRET MANAGEMENT HANDBOOK, by Scott Adams.	--	17
""	(Harper Business, $16.) More observations on the foibles of the business world.		
""			
15	UNDAUNTED COURAGE, by Stephen E. Ambrose. (Simon & Schuster, $27.50.)	13	47
""	The story of how Thomas Jefferson sponsored Lewis and Clark's exploration.		
