This	September 19, 1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE ALIBI, by Sandra Brown. (Warner, $25.95.) Jealousy, intrigue and corruption	--	1
""	beset a Charleston lawyer during his pursuit of public office.		
""			
2	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	1	39
""	(Levine/Scholastic, $16.95.) A British boy, neglected by his relatives, finds his		
""	fortune attending a school for witchcraft.		
""			
3	HARRY POTTER AND THE CHAMBER OF SECRETS, by J. K. Rowling.	3	14
""	(Levine/Scholastic, $17.95.) A British boy finds trouble when he returns to a		
""	witchcraft school.		
""			
4	BLACK NOTICE, by Patricia Cornwell. (Putnam, $25.95.) Kay Scarpetta's	2	5
""	investigation of a ship's cargo gets her involved in an international conspiracy.		
""			
5	ASSASSINS, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $22.99.) The sixth	4	5
""	volume in a series about true believers who confront the Antichrist.		
""			
6	DARK LADY, by Richard North Patterson. (Knopf, $25.95.) Stella Marz, a driven	6	2
""	county prosecutor, pursues criminals infesting a struggling Midwestern city.		
""			
7	IN PURSUIT OF THE PROPER SINNER, by Elizabeth George. (Bantam, $25.95.)	--	1
""	Two English detectives investigate the murder of a man and a woman found near		
""	an ancient circle of stones known as Nine Sisters Henge.		
""			
8	HANNIBAL, by Thomas Harris. (Delacorte, $27.95.) Seven years after his escape,	5	13
""	the fiendish psychiatrist Hannibal Lecter is still at large.		
""			
9	THE KILLING GAME, by Iris Johansen. (Bantam, $23.95.) A forensic sculptor who	--	1
""	hopes to find her murdered daughter's remains is tormented by a psychopath.		
""			
10	GRANNY DAN, by Danielle Steel. (Delacorte, $19.95.) A woman learns the	9	10
""	secrets of her grandmother's past in czarist Russia.		
""			
11	THE EDGE, by Catherine Coulter. (Putnam, $22.95.) An F.B.I. agent searches for	7	5
""	his sister, whose disappearance is intertwined with baffling crimes.		
""			
12	APOLLYON, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $19.97.) After the	12	12
""	rapture of the saved, the world's remaining believers confront the Antichrist.		
""			
13	WHITE OLEANDER, by Janet Fitch. (Little, Brown, $24.) The ordeals of growing	11	18
""	up as experienced by a teen-age girl whose single mother murders a lover.		
""			
14	THE GIRLS' GUIDE TO HUNTING AND FISHING, by Melissa Bank. (Viking,	10	14
""	$23.95.) The progress of a young New York woman through the terrain of sex and		
""	love.		
""			
15	ENDER'S SHADOW, by Orson Scott Card. (Tor/Doherty, $24.95.) Brilliant children	--	1
This	September 19, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	1	100
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
2	YESTERDAY, I CRIED, by Iyanla Vanzant. (Simon & Schuster, $22.) A counselor	2	24
""	describes how she turned painful experiences into feelings of hope.		
""			
3	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	3	35
""	$22.95.) What Buddhism and common sense tell us about everyday problems.		
""			
4	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	4	40
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
5	DIANA IN SEARCH OF HERSELF, by Sally Bedell Smith. (Times Books/Random	5	3
""	House, $25.) A biography of the late Princess of Wales.		
""			
6	THE HUNGRY OCEAN, by Linda Greenlaw. (Hyperion, $22.95.) A sea captain's	6	9
""	account of her 30-day swordfishing voyage off the Northeast coast.		
""			
7	ETHICS FOR THE NEW MILLENNIUM, by the Dalai Lama. (Riverhead, $24.95.)	7	5
""	The ethical system Buddhism offers us for the present and the future.		
""			
8	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	9	127
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
9	BILL AND HILLARY, by Christopher Andersen. (Morrow, $27.50.) A journalist's	8	5
""	account of the marriage of the President and the First Lady.		
""			
10	ISAAC'S STORM, by Erik Larson. (Crown, $25.) An account of America's	--	1
""	deadliest hurricane, which killed at least 6,000 people in Galveston, Tex., in 1900,		
""	and the Weather Bureau scientist who failed to forecast it.		
""			
11	SHADOW, by Bob Woodward. (Simon & Schuster, $27.50.) How the Watergate	10	12
""	scandal affected the Administrations of Richard Nixon's five successors.		
""			
12	BLIND EYE, by James B. Stewart. (Simon & Schuster, $25.) The story of a	15	2
""	physician who is under investigation for killing patients, and why he was		
""	inadequately supervised.		
""			
13	THE FIRST WORLD WAR, by John Keegan. (Knopf, $35.) A historian recounts	11	11
""	the 1914-18 conflict from the viewpoint of the strategists and the men in the		
""	trenches.		
""			
14	BELLA TUSCANY, by Frances Mayes. (Broadway, $25.) An American writer	13	22
""	remembers a spring and summer spent in the romantic sections of Italy.		
""			
15	THE LEXUS AND THE OLIVE TREE, by Thomas L. Friedman. (Farrar, Straus &	14	17
