This	June 8, 1997	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PARTNER, by John Grisham. (Doubleday, $26.95.) The pursuit of $90 million	2	13
""	stolen by a lawyer who apparently died but is actually hiding in Brazil.		
""			
2	PRETEND YOU DON'T SEE HER, by Mary Higgins Clark. (Simon & Schuster,	1	7
""	$25.) A chance witness to a murder is obliged to live anonymously to save her life.		
""			
3	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $16.) Verse and	4	156
""	pictures.		
""			
4	MASON & DIXON, by Thomas Pynchon. (Holt, $27.50.) The story of the two	5	4
""	British surveyors who drew the boundary between the North and the South in the		
""	1700's.		
""			
5	THE PRESIDENT'S DAUGHTER, by Jack Higgins. (Putnam, $23.95.) The	--	1
""	President of the United States copes with kidnappers who threaten to kill his love		
""	child.		
""			
6	THE RANCH, by Danielle Steel. (Delacorte, $25.95.) Three women who were	3	8
""	college roommates come to terms with themselves at a Wyoming resort.		
""			
7	THE NOTEBOOK, by Nicholas Sparks. (Warner, $16.95.) A World War II veteran	6	33
""	meets an old flame who is about to be married.		
""			
8	SNOW IN AUGUST, by Pete Hamill. (Little, Brown, $23.95.) The friendship of an	11	3
""	Irish Catholic boy and a Czechoslovak rabbi in Brooklyn during the late 1940's.		
""			
9	PLUM ISLAND, by Nelson DeMille. (Warner, $25.) A detective probes the murder	--	1
""	of a Long Island couple who may have been involved in germ warfare research.		
""			
10	THE TENTH JUSTICE, by Brad Meltzer. (Weisbach/ Morrow, $23.) A young	8	2
""	Supreme Court clerk inadvertently reveals a forthcoming Court decision.		
""			
11	OUT TO CANAAN, by Jan Karon. (Viking, $23.95.) The fourth volume of ''The	7	6
""	Mitford Years,'' a series about life in a small North Carolina town.		
""			
12	THE GOSPEL ACCORDING TO THE SON, by Norman Mailer. (Random House,	9	5
""	$22.) The life of Jesus, narrated in the first person.		
""			
13	THE NIGHT CREW, by John Sandford. (Putnam, $23.95.) A video crew patrolling	12	7
""	the streets of Los Angeles for news is beset by a series of violent deaths.		
""			
14	LONDON, by Edward Rutherfurd. (Crown, $25.95.) Two thousand years of life in	--	1
""	Britain's capital as seen through the eyes of six families.		
""			
15	THE GENESIS CODE, by John Case. (Fawcett Columbine, $24.95.) A detective's	--	1
""	sister and nephew are two of the victims in a series of mysterious deaths.		
This	June 8, 1997	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	INTO THIN AIR, by Jon Krakauer. (Villard, $24.95.) A journalist's account of his	2	5
""	ascent of Mount Everest in 1996, the deadliest season in history.		
""			
2	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	4	38
""	recalls his childhood amid the miseries of Limerick.		
""			
3	WITHOUT A DOUBT, by Marcia Clark with Teresa Carpenter. (Viking, $25.95.)	1	3
""	The prosecution of O. J. Simpson as seen by the former deputy district attorney.		
""			
4	JUST AS I AM, by Billy Graham. (HarperSanFrancisco/Zondervan, $28.50.) The	3	4
""	autobiography of the crusading preacher.		
""			
5	UNDERBOSS, by Peter Maas. (HarperCollins, $25.) Life in the Mafia as lived and	5	6
""	observed by Salvatore (Sammy the Bull) Gravano.		
""			
6	INTO THE STORM, by Tom Clancy with Fred Franks Jr. (Putnam, $27.50.) The	--	1
""	battle against Iraq during the gulf war, as experienced by a general who		
""	commanded armor and infantry.		
""			
7	THE DILBERT FUTURE, by Scott Adams. (Harper Business, $25.) Satirical	10	2
""	speculations, in words and cartoons, about what the 21st century holds in store.		
""			
8	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	6	151
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
9	CONVERSATIONS WITH GOD: Book 2, by Neale Donald Walsch. (Hampton	8	4
""	Roads, $19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
10	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	9	25
""	$19.95.) More discussions of moral questions.		
""			
11	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	11	20
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans.		
""			
12	LOCKED IN THE CABINET, by Robert B. Reich. (Knopf, $25.) Washington life as	12	6
""	experienced and observed by the former Secretary of Labor.		
""			
13	BRAIN DROPPINGS, by George Carlin. (Hyperion, $19.95.) Comments on life	--	1
""	and the ways of the world by the stand-up comedian.		
""			
14	MOTHERS & DAUGHTERS, by Carol Saline and Sharon J. Wohlmuth.	7	6
""	(Doubleday, $24.95.) The bond between women and their daughters, celebrated		
""	in essays and photographs.		
""			
15	THE HEART OF A WOMAN, by Maya Angelou. (Random House, $20.) Volume 4	--	1
""	of the poet's autobiography takes her to New York in the 50's and 60's.		
