This	March 29, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	1	3
""	student seeks to discover the truth about the murder of two Supreme Court justices.		
""			
2	RISING SUN, by Michael Crichton. (Knopf, $22.) The mysterious death of a young	3	7
""	woman leads to an investigation in which technology and the American-Japanese		
""	rivalry play major roles.		
""			
3	THE ROAD TO OMAHA, by Robert Ludlum. (Random House, $23.95.) A retired	2	5
""	general and a lawyer scheme to take possession of the state of Nebraska on behalf		
""	of an obscure Indian tribe.		
""			
4	THE ELF QUEEN OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $22.) The	4	3
""	third volume in a series about a fantasy land.		
""			
5	VOX, by Nicholson Baker. (Random House, $15.) A man and a woman learn about	5	6
""	"each other through a telephone conversation on an ""adult party line."""		
""			
6	"PROBE, by Margaret Wander Bonanno. (Pocket, $18.95.) The crew of ""Star Trek"" 's"	11	2
""	Enterprise confronts a force that threatens galactic peace.		
""			
7	DISNEY'S BEAUTY AND THE BEAST. (Gallery Books/Penguin USA, $6.98.) A	6	14
""	retelling of the classic fairy tale in words and pictures.		
""			
8	"SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to ""Gone With the"	7	25
""	"Wind."""		
""			
9	TREASURES, by Belva Plain. (Delacorte, $21.) The loyalties of a brother and two	8	3
""	sisters are tested by the changing values of the past two decades.		
""			
10	OUTERBRIDGE REACH, by Robert Stone. (Ticknor & Fields, $21.95.) A man tries	14	3
""	to relieve the frustrations of his lifetime by participating in a solo sailing race.		
""			
11	THE CAT WHO MOVED A MOUNTAIN, by Lilian Jackson Braun. (Putnam, $18.95.)	9	3
""	Jim Qwilleran tracks down the murderer of a millionaire developer in rustic mountain		
""	country.		
""			
12	BYGONES, by LaVyrle Spencer. (Putnam, $21.95.) A dinner party, attended by a	10	7
""	woman, her former husband and their two grown children, reveals family strains and		
""	love.		
""			
13	HIDEAWAY, by Dean R. Koontz. (Putnam, $22.95.) A man miraculously	12	10
""	resuscitated after he has technically died is haunted by visions of evil.		
""			
14	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) Verse and	--	101
""	pictures.		
""			
15	TRIAL BY FIRE, by Harold Coyle. (Simon & Schuster, $22.) The United States	--	1
This	March 29, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	1	9
""	reflections of a leading feminist on her own and other people's struggles to		
""	achieve self-esteem.		
""			
2	DOUBLE CROSS, by Sam Giancana and Chuck Giancana. (Warner, $22.95.)	2	4
""	Two relatives of the late Sam Giancana recall his life in the Mafia.		
""			
3	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist contends that the media	3	19
""	and political groups are staging a war against women's rights.		
""			
4	ROGUE WARRIOR, by Richard Marcinko with John Weisman. (Pocket, $22.) The	5	2
""	autobiography of the retired commander of a Navy counterterrorist unit.		
""			
5	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) How Ivan	4	24
""	Boesky, Michael Milken, Martin Siegel and Dennis Levine plundered and created		
""	havoc on Wall Street.		
""			
6	UNTO THE SONS, by Gay Talese. (Knopf, $25.) A journalist traces his heritage	8	5
""	through three generations, from Italy to Ocean City, N.J.		
""			
7	MEMORIES, by Ralph Emery with Tom Carter. (Macmillan, $19.95.) The	6	17
""	autobiography of a country-music broadcaster.		
""			
8	THE TEXAS CONNECTION, by Craig I. Zirbel. (Texas Connection/Ingram,	9	5
""	$21.95.) A Scottsdale, Ariz., attorney argues that Lyndon Johnson was involved in		
""	the assassination of John F. Kennedy.		
""			
9	THE OVERWORKED AMERICAN, by Juliet B. Schor. (Basic, $21.) An economist	10	4
""	argues that in the past 20 years Americans' leisure time has greatly diminished,		
""	with foreboding consequences.		
""			
10	BROTHER EAGLE, SISTER SKY: A Message From Chief Seattle, illustrated by	7	13
""	Susan Jeffers. (Dial, $14.95.) An environmental warning.		
""			
11	MOLLY IVINS CAN'T SAY THAT, CAN SHE? by Molly Ivins. (Random House,	--	19
""	$23.) Essays about the current political and cultural scene.		
""			
12	PLAUSIBLE DENIAL, by Mark Lane. (Thunder's Mouth/Publishers Group West,	12	11
""	$22.95.) The case for C.I.A. involvement in the death of J.F.K.		
""			
13	ME: Stories of My Life, by Katharine Hepburn. (Knopf, $25.) The actress's	15	28
""	memoirs.		
""			
14	THE END OF HISTORY AND THE LAST MAN, by Francis Fukuyama. (Free	14	3
""	Press, $24.95.) A political philosopher considers where two powerful historical		
""	forces are now leading us.		
