This	May 17, 1998	Last	Weeks
Week	Fiction	Week	On List
""			
1	YOU BELONG TO ME, by Mary Higgins Clark. (Simon & Schuster, $25.) A	1	3
""	popular radio talk-show host finds herself endangered when she undertakes to		
""	expose a killer who targets lonely women on cruise ships.		
""			
2	''N'' IS FOR NOOSE, by Sue Grafton. (Wood/Holt, $25.) Kinsey Millhone pursues	2	2
""	the facts behind the sudden, strange death of a cop in a California town.		
""			
3	BLACK AND BLUE, by Anna Quindlen. (Random House, $23.) After her husband	5	14
""	turns violent, a woman flees to Florida with her young son to start a new life.		
""			
4	MESSAGE IN A BOTTLE, by Nicholas Sparks. (Warner, $20.) After finding a	4	4
""	seaborne bottle containing an enigmatic letter, a divorced woman encounters love.		
""			
5	THE LONG ROAD HOME, by Danielle Steel. (Delacorte, $25.95.) A woman who	3	5
""	grew up in a fractured family tries to find the courage to confront the past.		
""			
6	THE STREET LAWYER, by John Grisham. (Doubleday, $27.95.) A young lawyer	6	13
""	comes to terms with himself after discovering his prestigious firm's dirty secret.		
""			
7	A PATCHWORK PLANET, by Anne Tyler. (Knopf, $24.) Estranged from his	9	3
""	affluent Baltimore family, a self-destructive, voyeuristic underachiever tries to cope		
""	with life and love.		
""			
8	COLD MOUNTAIN, by Charles Frazier. (Atlantic Monthly, $24.) A wounded	8	45
""	Confederate soldier journeys home toward the end of the Civil War.		
""			
9	PANDORA, by Anne Rice. (Knopf, $19.95.) A 2,000-year-old vampire recounts her	7	8
""	experiences, from imperial Rome to 20th-century Paris and New Orleans.		
""			
10	MEMOIRS OF A GEISHA, by Arthur Golden. (Knopf, $25.) The life of a young	10	26
""	woman growing up in Kyoto who has to reinvent herself after World War II begins.		
""			
11	A WIDOW FOR ONE YEAR, by John Irving. (Random House, $27.95.) Three	--	1
""	looks at the complex emotional life of a writer and single mother.		
""			
12	SWIMMING TO CATALINA, by Stuart Woods. (HarperCollins, $25.) Stone	11	2
""	Barrington probes the disappearance of a movie star's bride, who was once		
""	Stone's own love.		
""			
13	DAMASCUS GATE, by Robert Stone. (Houghton Mifflin, $26.) Two Americans, a	--	1
""	journalist and a singer, get entangled in a plot to blow up holy places in Jerusalem.		
""			
14	AN INSTANCE OF THE FINGERPOST, by Iain Pears. (Riverhead, $27.) The	14	6
""	mysterious murder of an Oxford don in the 17th century.		
""			
15	PARADISE, by Toni Morrison. (Knopf, $25.) A small black utopia in rural	12	17
""	Oklahoma experiences tragedy and regeneration when it encounters the ''real''		
This	May 17, 1998	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	1	30
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
2	WE ARE OUR MOTHERS' DAUGHTERS, by Cokie Roberts. (Morrow, $19.95.)	14	2
""	The television news anchor's personal reflections on women in politics and		
""	business and as mothers, wives, sisters and friends.		
""			
3	THE GIFTS OF THE JEWS, by Thomas Cahill. (Talese/ Doubleday, $23.50.)	4	5
""	What Western civilization owes an ancient nomadic tribe.		
""			
4	ANGELA'S ASHES, by Frank McCourt. (Scribner, $25.) An Irish-American writer	3	87
""	recalls his childhood amid the miseries of Limerick.		
""			
5	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	2	69
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans.		
""			
6	TRIUMPH OF JUSTICE, by Daniel Petrocelli with Peter Knobler. (Crown, $25.95.)	--	1
""	The lawyer who represented the Goldmans in the O. J. Simpson civil trial explains		
""	what it told him about Simpson and our legal system.		
""			
7	TALKING TO HEAVEN, by James Van Praagh. (Dutton, $22.95.) A ''world-famous	5	19
""	medium'' discusses communication with the other side.		
""			
8	APHRODITE, by Isabel Allende. (Harper Flamingo, $26.) A novelist celebrates the	8	4
""	pleasures of food and sex.		
""			
9	AMAZING GRACE, by Kathleen Norris. (Riverhead, $24.95.) A poet reflects on	6	4
""	her discovery of religious faith and the meaning of its language.		
""			
10	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	7	74
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
11	THE MAN WHO LISTENS TO HORSES, by Monty Roberts. (Random House,	10	39
""	$23.) The memoirs of a professional horse trainer.		
""			
12	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	9	200
""	House, $25.) The mysterious death of a young man in Savannah, Ga.		
""			
13	STILL ME, by Christopher Reeve. (Random House, $25.) The stage and film actor	--	1
""	looks back at his life, especially since his crippling accident three years ago.		
""			
14	CONSILIENCE, by Edward O. Wilson. (Knopf, $26.) The biologist argues that a	12	4
""	few fundamental natural laws govern the principles of every branch of learning.		
""			
15	THE PERFECT STORM, by Sebastian Junger. (Norton, $23.95.) The story of the	11	49
""	nor'easter of 1991, focusing on a crew of fishermen from Gloucester, Mass.		
