This	July 26, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	GERALD'S GAME, by Stephen King. (Viking, $23.50.) Twenty-eight hours of	1	2
""	horror suffered by a woman chained to a bedpost after her husband has a heart		
""	attack.		
""			
2	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	2	20
""	student seeks to discover the truth about the murder of two Supreme Court		
""	justices.		
""			
3	WAITING TO EXHALE, by Terry McMillan. (Viking, $22.) The friendships and	3	9
""	romances of four black women in Phoenix.		
""			
4	SCRUPLES TWO, by Judith Krantz. (Crown, $22.) Continuing the story of the	4	5
""	crowd that frequents an ultrachic Beverly Hills store.		
""			
5	DARK FORCE RISING, by Timothy Zahn. (Spectra/Bantam, $18.50.) An insane	5	8
""	"Jedi threatens Luke Skywalker in the second volume of a ""Star Wars"" trilogy."		
""			
6	POSSESSING THE SECRET OF JOY, by Alice Walker. (Harcourt Brace	6	6
""	Jovanovich, $19.95.) The struggles of an African woman to come to terms with the		
""	consequences of female circumcision.		
""			
7	IMZADI, by Peter David. (Pocket, $20.) The U.S.S. Enterprise's Comdr. William	--	1
""	"Riker discovers a new form of love in a ""Star Trek"" adventure."		
""			
8	SAHARA, by Clive Cussler. (Simon & Schuster, $23.) On a mission to Africa, Dirk	9	10
""	Pitt uncovers a plot that may extinguish all life in the world's seas.		
""			
9	FATHERLAND, by Robert Harris. (Random House, $21.) A thriller set in the Third	8	3
""	Reich 20 years after Hitler wins World War II.		
""			
10	COLONY, by Anne Rivers Siddons. (HarperCollins, $20.) A 90-year-old South	14	2
""	Carolina woman recalls what she saw while becoming the doyenne of a Maine		
""	summer retreat.		
""			
11	JEWELS, by Danielle Steel. (Delacorte, $23.) The life of a woman who becomes	7	11
""	rich by dealing in precious stones.		
""			
12	JAZZ, by Toni Morrison. (Knopf, $21.) A couple in the Harlem of the 1920's learn	--	13
""	again and again that life does not keep its promises.		
""			
13	ALL AROUND THE TOWN, by Mary Higgins Clark. (Simon & Schuster, $22.) The	12	14
""	plight of a college student accused of killing her professor.		
""			
14	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) Verse	11	118
""	and pictures.		
""			
15	EYE OF THE STORM, by Jack Higgins. (Putnam, $22.95.) An American is hired	13	2
This	July 26, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DIANA: HER TRUE STORY, by Andrew Morton. (Simon & Schuster, $22.) A	1	4
""	biography of the Princess of Wales.		
""			
2	THE SILENT PASSAGE, by Gail Sheehy. (Random House, $16.) The	2	9
""	psychological and social significance of menopause for today's women.		
""			
3	TRUMAN, by David McCullough. (Simon & Schuster, $30.) A biography of the 33d	3	6
""	President.		
""			
4	SAM WALTON: MADE IN AMERICA, by Sam Walton with John Huey.	4	5
""	(Doubleday, $22.50.) The autobiography of the man who became the richest		
""	American by creating the Wal-Mart store chain.		
""			
5	EARTH IN THE BALANCE, by Al Gore. (Houghton Mifflin, $22.95.) The Vice-	--	7
""	Presidential candidate discusses factors affecting the environment and what must		
""	be done to save it.		
""			
6	DIANA IN PRIVATE, by Lady Colin Campbell. (St. Martin's, $19.95.) A biography	5	9
""	of the Princess of Wales.		
""			
7	A BRILLIANT MADNESS, by Patty Duke and Gloria Hochman. (Bantam, $22.50.)	6	4
""	The actress tells how she learned to live with manic-depressive illness.		
""			
8	HEAD TO HEAD, by Lester Thurow. (Morrow, $25.) The upcoming economic	7	12
""	battle among Japan, Europe and the United States.		
""			
9	LINCOLN AT GETTYSBURG, by Garry Wills. (Simon & Schuster, $23.) The	10	2
""	address delivered on Nov. 19, 1863, and how it has affected American life.		
""			
10	PEROT, by Todd Mason. (Business One Irwin, $16.95.) An unauthorized	8	8
""	biography of Ross Perot.		
""			
11	ACQUIRED TASTES, by Peter Mayle. (Bantam, $20.) Essays on the pleasures of	9	6
""	living extravagantly during the high-flying 1980's.		
""			
12	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	13	26
""	reflections of a feminist on the struggle to achieve self-esteem.		
""			
13	GIVE WAR A CHANCE, by P. J. O'Rourke. (Atlantic Monthly, $20.95.) Satirical	14	14
""	essays on recent social and political developments.		
""			
14	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist contends that the media	--	34
""	and political groups are staging a war against women's rights.		
""			
15	THE HAPPY ISLES OF OCEANIA, by Paul Theroux. (Putnam, $24.95.) An 18-	12	2
""	month exploration of the South Pacific in a kayak.		
