This	May 5, 1996	Last	Weeks
Week	Fiction	Week	On List
""			
1	MOONLIGHT BECOMES YOU, by Mary Higgins Clark. (Simon & Schuster, $24.)	1	3
""	A fashion photographer, investigating the mysterious death of a friend, finds		
""	herself a target of the killer.		
""			
2	MALICE, by Danielle Steel. (Delacorte, $24.95.) A woman struggles to overcome	2	2
""	memories of betrayals and assaults.		
""			
3	PRIMARY COLORS, by Anonymous. (Random House, $24.) The progress of a	3	13
""	certain Southern governor and his wife on their way to the White House.		
""			
4	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	6	114
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
5	SHADOWS OF THE EMPIRE, by Steve Perry. (Spectra/Bantam, $22.95.) A	6	3
""	"criminal organization undertakes to obtain control of the ""Star Wars"" empire."		
""			
6	THE HORSE WHISPERER, by Nicholas Evans. (Delacorte, $23.95.) A troubled	7	33
""	woman seeks solace for herself, her daughter and their horse from a wrangler.		
""			
7	NEANDERTHAL, by John Darnton. (Random House, $24.) The discovery in	--	1
""	northern Asia of a species of primitive protohumans that has existed for 40,000		
""	years.		
""			
8	ABSOLUTE POWER, by David Baldacci. (Warner, $22.95.) Political intrigue, sex	11	13
""	and murder in Washington's high circles.		
""			
9	IN THE PRESENCE OF THE ENEMY, by Elizabeth George. (Bantam, $23.95.)	10	7
""	Two British celebrities contend with the kidnappers of their secret love child.		
""			
10	FIRST KING OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $23.50.) War	8	5
""	"between the Druids and the monsters; a prelude to ""The Sword of Shannara."""		
""			
11	TIMEPIECE, by Richard Paul Evans. (Simon & Schuster, $18.) By sharing grief	--	1
""	over the death of their only child, a couple learn about love and forgiveness.		
""			
12	SPRING COLLECTION, by Judith Krantz. (Crown, $24.) Family secrets, intrigue	5	5
""	and rivalry in the fashion world on the runways of New York and Paris.		
""			
13	MONTANA SKY, by Nora Roberts. (Putnam, $23.95.) Tensions, barbaric acts and	9	6
""	romance beset three half sisters who must live together for one year before they		
""	can inherit their father's multimillion-dollar ranch.		
""			
14	AND THIS TOO SHALL PASS, by E. Lynn Harris. (Doubleday, $23.95.) A Chicago	13	9
""	lawyer defends a star football player falsely accused of sexual assault.		
""			
15	THE RETURN, by William Shatner with Judith and Garfield Reeves-Stevens.	12	6
""	"(Pocket, $22.) Captain Kirk of ""Star Trek"" returns to take part in a cosmic war."		
This	May 5, 1996	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IN CONTEMPT, by Christopher A. Darden with Jess Walter. (Regan Books/	1	5
""	HarperCollins, $26.) The life of a member of the O. J. Simpson prosecution team,		
""	and his view of the trial.		
""			
2	BLOOD SPORT, by James B. Stewart. (Simon & Schuster, $25.) A journalist	2	6
""	reviews the Whitewater case and the roles of President and Mrs. Clinton.		
""			
3	THE SEARCH FOR JUSTICE, by Robert L. Shapiro with Larkin Warren. (Warner,	5	4
""	$24.95.) The trial of O. J. Simpson as seen by one of his lawyers.		
""			
4	UNDAUNTED COURAGE, by Stephen E. Ambrose. (Simon & Schuster, $27.50.)	3	9
""	The story of how Thomas Jefferson sponsored Lewis and Clark's exploration.		
""			
5	RUSH LIMBAUGH IS A BIG FAT IDIOT, by Al Franken. (Delacorte, $21.95.) A	4	14
""	television comedian's comments on the current political scene.		
""			
6	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	6	105
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
7	HITLER'S WILLING EXECUTIONERS, by Daniel Jonah Goldhagen. (Knopf, $30.)	12	3
""	A political scientist says ordinary Germans cooperated in conducting the		
""	Holocaust.		
""			
8	THE DILBERT PRINCIPLE, by Scott Adams. (Harper Business, $20.) A satirical	--	1
""	look, in words and cartoons, at the current foibles of business and management.		
""			
9	EMOTIONAL INTELLIGENCE, by Daniel Goleman. (Bantam, $23.95.) Factors	8	31
""	other than I.Q. that contribute to a successful and happy life.		
""			
10	THE RANTS, by Dennis Miller. (Doubleday, $21.95.) Monologues on current	11	4
""	topics by the television star and stand-up comedian.		
""			
11	HOW COULD YOU DO THAT?! by Laura Schlessinger. (HarperCollins, $22.) Self-	7	13
""	indulgent morality, and ways to overcome it.		
""			
12	YOU'LL NEVER MAKE LOVE IN THIS TOWN AGAIN, by Robin, Liza, Linda and	9	10
""	Tiffany, as told to Jennie Louise Frankel, Terrie Maxine Frankel and Joanne		
""	Parrent. (Dove, $22.95.) Hollywood prostitutes reminisce.		
""			
13	IT TAKES A VILLAGE, by Hillary Rodham Clinton. (Simon & Schuster, $20.) The	10	15
""	First Lady's quest for ways to help create a better society for children.		
""			
14	MOUNTAIN, GET OUT OF MY WAY, by Montel Williams with Daniel Paisner.	13	5
""	(Warner, $16.95.) A memoir by the talk show host.		
""			
15	LET'S BE HEARD, by Bob Grant. (Pocket, $22.) The political and social views of	--	1
""	the conservative radio talk show personality.		
