This	March 25, 1990	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BOURNE ULTIMATUM, by Robert Ludlum. (Random House, $21.95.) A	1	2
""	professor's past association with Vietnamese terrorists catches up with him, with		
""	dramatic consequences.		
""			
2	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	2	5
""	problems of finding your way through life, as depicted in verse and pictures.		
""			
3	DEVICES AND DESIRES, by P. D. James. (Knopf, $19.95.) Adam Dalgitesh	3	9
""	puzzles over a series of killings on the windy Norfolk coast.		
""			
4	CLEAR AND PRESENT DANGER, by Tom Clancy (Putnam, $21.95.) The C.I.A.'s	5	30
""	Jack Ryan fights Colombian drug lords.		
""			
5	THE BAD PLACE by Dean R. Koontz (Putnam, $10.95.) A troubled sleepwalker	4	9
""	hires a detective team to discover the causes and consequences of his behavior.		
""			
6	BITTER SWEET by LaVyrie Spencer. (Putnam, $18.95.) A widow's ordeal after	7	4
""	meeting her high school flame, now a less than happily married man.		
""			
7	THE SCIONS OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $19.95.)	6	3
""	The adventures of two brothers who practice magic in a fantasy land where its use		
""	is forbidden.		
""			
8	A RULING PASSION, by Judith Michael (Poseidon, $19.95.) A young widow's	9	10
""	entry into the world of television brings her adventures fraught with love, intrigue,		
""	revenge and murder.		
""			
9	VINELAND, by Thomas Pynchon (Little, Brown ($19.95.) The passions of the	11	10
""	1960's continue to rule the lives of members of a community in Northern		
""	California.		
""			
10	COUNTERATTACK, by W. E. B. Griffin. (Putnam, $16.95.) The Marines in action,	8	8
""	"from Pearl Harbor to Guadalcanal, third volume in ""The Corps"" series."		
""			
11	COLD HARBOUR, by Jack Higgins (Simon & Schuster, $19.95.) The O.S.S. agent	12	10
""	Craig Osbourne on a perilous mission during World War II.		
""			
12	DADDY, by Danielle Steel (Delacorte, $19.95.) Unexpected crises wreck the safe,	13	19
""	predictable world a man has built for himself and his family.		
""			
13	CARIBBEAN, by James A. Michener (Random House, $22.95.) The history of the	10	19
""	sea islands told in fictional form.		
""			
14	TALES FROM MARGARITAVILLE, by Jimmy Buffett. (Harcourt Brace Jovanovich	--	22
""	$16.95.) Short stories set on a mythical Caribbean island.		
""			
15	HARMFUL INTENT, by Robin Cook. (Putnam, $18.95.) A physician struggles to	--	8
This	March 25, 1990	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MEGATRENDS 2000, by John Naisbitt and Patricia Aburdene (Morrow, $21.95.)	1	9
""	Prognostications about political, economic and social developments in the next		
""	decade.		
""			
2	BARBARIANS AT THE GATE, by Bryan Burrough and John Helyar (Harper &	2	9
""	Row, $22.95.) The 1988 battle for control of RJR Nabisco.		
""			
3	LIAR'S POKER, by Michael Lewis (Norton, $18.95.) Wall Street's tumultuous	3	20
""	1980's, as witnessed by a young bond trader.		
""			
4	WHAT I SAW AT THE REVOLUTION, by Peggy Noonan. (Random House,	4	5
""	$19.95.) The memoirs of a speechwriter for Ronald Reagan and George Bush.		
""			
5	MEANS OF ASCENT, by Robert A. Caro. (Knopf, $24.95.) Lyndon Johnson's	--	1
""	seven-year pursuit of a seat in the Senate, won in 1948 by 87 votes.		
""			
6	IT WAS ON FIRE WHEN I LAY DOWN ON IT, by Robert Fulghum (Villard,	5	27
""	$17.95.) A new collection of inspirational essays.		
""			
7	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	7	73
""	Fulghum. (Villard, $17.95.) Inspirational essays about everyday matters.		
""			
8	THE CUCKOO'S EGG, by Clifford Stoll. (Doubleday, $19.95.) An astrophysicist	6	8
""	tells how he stalked a computer hacker from California across America to West		
""	Germany.		
""			
9	A BRIEF HISTORY OF TIME, by Stephen W. Hawking (Bantam, $18.95.) A	8	101
""	scientist views efforts to create a unified theory of the universe.		
""			
10	THE TEMPTING OF AMERICA, by Robert M. Bork (Free Press, $22.50.) A	11	15
""	critique of the relationship between politics and the law by Ronald Reagan's		
""	Supreme Court nominee.		
""			
11	THE EMPEROR'S NEW MIND, by Roger Penrose (Oxford University, $24.95.) A	12	9
""	physicist maintains that computers will never replace human thinking.		
""			
12	THE SECOND WORLD WAR, by John Keegan. (Viking, $29.95.) A military	13	6
""	history.		
""			
13	HEAD FIRST, by Norman Cousins. (Dutton, $19.95.) How the brain affects the	14	8
""	endocrine and immune systems.		
""			
14	THE SPY WENT DANCING, by Aline, Countess of Romanones. (Putnam,	10	2
""	$19.95.) A World War II O.S.S. operative resumes her investigations during the		
""	'60's.		
""			
15	AMONG SCHOOLCHILDREN, by Tracy Kidder. (Todd/Houghton Mifflin, $19.95.)	--	29
