This	March 1, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	RISING SUN, by Michael Crichton. (Knopf, $22.) The mysterious death of a young	2	3
""	woman leads to an investigation in which technology and the American-Japanese		
""	rivalry play major roles.		
""			
2	THE ROAD TO OMAHA, by Robert Ludlum. (Random House, $23.95.) A retired	--	1
""	general and a lawyer scheme to take possession of the state of Nebraska on		
""	behalf of an obscure Indian tribe.		
""			
3	HIDEAWAY, by Dean R. Koontz. (Putnam, $22.95.) A man miraculously	1	6
""	resuscitated after he has technically died is haunted by visions of evil.		
""			
4	"SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to ""Gone With the"	3	21
""	"Wind."""		
""			
5	BYGONES, by LaVyrle Spencer. (Putnam, $21.95.) A dinner party reveals family	5	3
""	strains and love.		
""			
6	VOX, by Nicholson Baker. (Random House, $15.) A man and a woman learn	8	2
""	"about each other and themselves through a telephone conversation on an ""adult"		
""	"party line."""		
""			
7	DISNEY'S BEAUTY AND THE BEAST. (Gallery Books/Penguin USA, $6.98.) A	4	10
""	retelling of the classic fairy tale in words and pictures.		
""			
8	FUGITIVE NIGHTS, by Joseph Wambaugh. (Perigord/Morrow, $22.) Three people	7	4
""	on the trail of a dangerous fugitive in Palm Springs, Calif.		
""			
9	NEEDFUL THINGS, by Stephen King. (Viking, $24.95.) A newcomer opens a	12	20
""	shop in Castle Rock, Me., bringing bargains as well as nightmares.		
""			
10	NO GREATER LOVE, by Danielle Steel. (Delacorte, $23.) The sinking of the	11	15
""	Titanic greatly alters the life of Edwina Winfield.		
""			
11	PRIVATE EYES, by Jonathan Kellerman. (Bantam, $21.50.) The psychologist-	9	6
""	detective Alex Delaware to the rescue of an actress.		
""			
12	"LINE OF FIRE, by W. E. B. Griffin. (Putnam, $21.95.) The fifth volume of ""The"	6	6
""	"Corps"" tells of an attempt to rescue marines during World War II."		
""			
13	GUARDIAN ANGEL, by Sara Paretsky. (Delacorte, $20.) A private eye probes a	14	3
""	case involving pet dogs and Chicago scandals.		
""			
14	THE SUM OF ALL FEARS, by Tom Clancy. (Putnam, $24.95.) Middle Eastern	13	28
""	terrorists edge the world to the brink of nuclear war.		
""			
15	GRIFFIN & SABINE, by Nick Bantock. (Chronicle Books, $16.95.) The romance of	--	3
""	an artist and a secret admirer, told through cards and letters.		
This	March 1, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	1	5
""	reflections of a leading feminist on her own and other people's struggles to		
""	achieve self-esteem.		
""			
2	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) How Ivan	2	20
""	Boesky, Michael Milken, Martin Siegel and Dennis Levine plundered and created		
""	havoc on Wall Street.		
""			
3	MEMORIES, by Ralph Emery with Tom Carter. (Macmillan, $19.95.) The	3	13
""	autobiography of a country-music broadcaster.		
""			
4	PLAUSIBLE DENIAL, by Mark Lane. (Thunder's Mouth/Publishers Group West,	6	7
""	$22.95.) A lawyer's presentation of the case for believing that the C.I.A. was		
""	involved in the death of John F. Kennedy.		
""			
5	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist contends that the media	4	15
""	and political groups are staging a war against women's rights.		
""			
6	ME: Stories of My Life, by Katharine Hepburn. (Knopf, $25.) The actress's	5	24
""	memoirs.		
""			
7	THE JORDAN RULES, by Sam Smith. (Simon & Schuster, $22.) A reporter's	7	13
""	account of an N.B.A. championship season spent with Michael Jordan and the		
""	Chicago Bulls.		
""			
8	BROTHER EAGLE, SISTER SKY: A Message From Chief Seattle, illustrated by	8	9
""	Susan Jeffers. (Dial, $14.95.) An environmental warning from the 19th-century		
""	American Indian.		
""			
9	MOLLY IVINS CAN'T SAY THAT, CAN SHE? by Molly Ivins. (Random House,	10	16
""	$23.) Essays about the current political and cultural scene.		
""			
10	THE WORLD IS MY HOME, by James A. Michener. (Random House, $25.) The	9	11
""	autobiography of the popular novelist.		
""			
11	SEIZE THE MOMENT, by Richard Nixon. (Simon & Schuster, $25.) The former	12	3
""	President defines the challenges America faces in the newly changed world and		
""	what our country should do about them.		
""			
12	MAUS II, by Art Spiegelman. (Pantheon, $18.) The story of an Auschwitz survivor	15	10
""	in the Catskills, told in comic-book form.		
""			
13	UH-OH, by Robert Fulghum. (Villard, $19.) Thoughts on life's commonplaces.	13	27
""			
14	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	11	37
""	$19.95.) A humorist's attempt to explain the Federal Government.		
