This	July 14, 1996	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RUNAWAY JURY, by John Grisham. (Doubleday, $26.95.) A woman in a	1	7
""	Mississippi Gulf Coast town sues a tobacco company for causing her husband's		
""	death.		
""			
2	HOW STELLA GOT HER GROOVE BACK, by Terry McMillan. (Viking, $23.95.) A	2	9
""	divorced black woman finds romance on a Jamaican holiday.		
""			
3	FALLING UP, by Shel Silverstein. (HarperCollins, $16.95.) Poems and drawings	3	6
""	for children and adults.		
""			
4	THE TENTH INSIGHT, by James Redfield. (Warner, $19.95.) A journey through	5	10
""	the Appalachian Mountains provides answers to life's enigmas.		
""			
5	A CROWN OF SWORDS, by Robert Jordan. (Tor/Doherty, $27.95.) Volume 7 of a	4	4
""	fantasy saga.		
""			
6	EXCLUSIVE, by Sandra Brown. (Warner, $22.95.) Should a television reporter	--	1
""	broadcast the secrets confided to her by the First Lady?		
""			
7	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	7	124
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
8	I WAS AMELIA EARHART, by Jane Mendelsohn. (Knopf, $18.) The life of the	6	10
""	famous aviator who disappeared in the Pacific in 1937; a fictional memoir.		
""			
9	ACCORDION CRIMES, by E. Annie Proulx. (Scribner, $25.) An accordion made in	11	3
""	Sicily and brought to America is passed from hand to hand, nationality to		
""	nationality.		
""			
10	MOONLIGHT BECOMES YOU, by Mary Higgins Clark. (Simon & Schuster, $24.)	10	13
""	A fashion photographer investigates the mysterious death of a friend.		
""			
11	THE FOURTH ESTATE, by Jeffrey Archer. (HarperCollins, $26.) An Australian	8	5
""	and a refugee from Nazism vie to become the world's most powerful press lord.		
""			
12	MALICE, by Danielle Steel. (Delacorte, $24.95.) A woman struggles to overcome	--	11
""	memories of assaults.		
""			
13	GODS AND GENERALS, by Jeff Shaara. (Ballantine, $25.) The progress of four	12	3
""	"military leaders on their way to Gettysburg; a prequel to ""The Killer Angels."""		
""			
14	PROMISES, by Belva Plain. (Delacorte, $24.95.) Two cousins have to make	--	1
""	heartbreaking choices as their family is strained by passion and betrayal.		
""			
15	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $16.) Verse and	9	153
""	pictures.		
This	July 14, 1996	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	OUTRAGE, by Vincent Bugliosi. (Norton, $25.) The reasons, according to the	3	4
""	former Los Angeles County prosecutor, that O. J. Simpson was found not guilty.		
""			
2	THE DILBERT PRINCIPLE, by Scott Adams. (Harper Business, $20.) A satirical	2	11
""	look, in words and cartoons, at the current foibles of business and management.		
""			
3	BAD AS I WANNA BE, by Dennis Rodman with Tim Keown. (Delacorte, $22.95.)	1	9
""	The memoirs of the flamboyant basketball player.		
""			
4	THE CHOICE, by Bob Woodward. (Simon & Schuster, $26.) A behind-the-scenes	--	1
""	account of Bill Clinton's and Bob Dole's activities over the past two years.		
""			
5	UNDAUNTED COURAGE, by Stephen E. Ambrose. (Simon & Schuster, $27.50.)	6	19
""	The story of how Thomas Jefferson sponsored Lewis and Clark's exploration.		
""			
6	IN CONTEMPT, by Christopher A. Darden with Jess Walter. (Regan Books/	4	15
""	HarperCollins, $26.) The trial of O. J. Simpson as seen by one of the prosecutors.		
""			
7	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	8	115
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
8	PARTNERS IN POWER, by Roger Morris. (Macrae/ Holt, $27.50.) A historian's	7	3
""	report on the public and private lives of Bill and Hillary Rodham Clinton.		
""			
9	NO SHIRT. NO SHOES. . . . NO PROBLEM! by Jeff Foxworthy. (Hyperion,	5	7
""	$19.95.) Observations on life by the stand-up comedian from Georgia.		
""			
10	EMOTIONAL INTELLIGENCE, by Daniel Goleman. (Bantam, $23.95.) Factors	9	41
""	other than I.Q. that contribute to a successful and happy life.		
""			
11	HOW COULD YOU DO THAT?! by Laura Schlessinger. (HarperCollins, $22.) Self-	14	23
""	indulgent morality, and ways to overcome it.		
""			
12	BLOOD SPORT, by James B. Stewart. (Simon & Schuster, $25.) A review of the	16	16
""	Whitewater case.		
""			
13	THE CLOISTER WALK, by Kathleen Norris. (Riverhead, $23.95.) A poet's	15	8
""	experiences at a monastery.		
""			
14	THE AWAKENING HEART, by Betty J. Eadie. (Pocket, $20.) The survivor of a	10	2
""	near-death experience tells of the lessons it taught her about facing life's		
""	problems.		
""			
15	JACK AND JACKIE, by Christopher Andersen. (Morrow, $24.) A portrait of the	--	1
""	marriage of John and Jacqueline Kennedy.		
""			
16	HIT AND RUN, by Nancy Griffin and Kim Masters. (Simon & Schuster, $25.) How	--	1
