This	November 8, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TALE OF THE BODY THIEF, by Anne Rice. (Knopf, $24.) To prove he is still	1	3
""	"a hero among the living dead, Lestat embarks on a dangerous enterprise; ""The"		
""	"Vampire Chronicles,"" continued."		
""			
2	THE STARS SHINE DOWN, by Sidney Sheldon. (Morrow, $23.) The fortunes of a	2	4
""	successful businesswoman are suddenly imperiled by secrets from her past and		
""	present relationships.		
""			
3	DRIVING FORCE, by Dick Francis. (Putnam, $21.95.) An ex-jockey's horse-	6	2
""	transport business is besieged by a series of mysterious deaths.		
""			
4	MOSTLY HARMLESS, by Douglas Adams. (Harmony, $20.) The fifth volume of	10	2
""	"the ""Hitchhiker's Guide to the Galaxy"" series."		
""			
5	SABINE'S NOTEBOOK, by Nick Bantock. (Chronicle Books, $17.95.) Continuing	9	4
""	"the epistolary romance begun in ""Griffin & Sabine."""		
""			
6	WAITING TO EXHALE, by Terry McMillan. (Viking, $22.) The friendships and	3	24
""	romances of four black women in Phoenix.		
""			
7	THE SHADOW RISING, by Robert Jordan. (Tor/ Doherty, $24.95.) A fantasy tale.	8	4
""			
8	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	5	35
""	student probes the murder of two Supreme Court justices.		
""			
9	GRIFFIN & SABINE, by Nick Bantock. (Chronicle Books, $17.95.) The romance of	13	10
""	an artist and a secret admirer, told through cards and letters.		
""			
10	THE SECRET HISTORY, by Donna Tartt. (Knopf, $23.) Close friends at a small	4	8
""	college must deal with the consequences of a crime they committed.		
""			
11	WHERE IS JOE MERCHANT? by Jimmy Buffett. (Harcourt Brace Jovanovich,	7	11
""	$19.95.) A couple on the trail of a dead rock star who has been sighted.		
""			
12	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	11	13
""	$14.95.) A photographer and a lonely farmer's wife in Iowa.		
""			
13	GERALD'S GAME, by Stephen King. (Viking, $23.50.) Twenty-eight hours of	12	17
""	horror suffered by a woman handcuffed to a bedpost.		
""			
14	MEXICO, by James A. Michener. (Random House, $25.) While researching the	--	1
""	lives of his ancestors, an American journalist learns about the history of the land		
""	south of the border.		
""			
15	"BEST DESTINY, by Diane Carey. (Pocket, $20.) A new ""Star Trek"" novel."	14	2
""			
16	LEAVING COLD SASSY, by Olive Ann Burns. (Ticknor & Fields, $21.) The story	15	4
This	November 8, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SEX, by Madonna. (Warner, $49.95.) Erotic photographs of the pop star by Steven	--	1
""	Meisel, and her reflections on them.		
""			
2	THE WAY THINGS OUGHT TO BE, by Rush H. Limbaugh 3d. (Pocket, $22.)	1	8
""	Anecdotes and opinions offered by the talk show host.		
""			
3	IT DOESN'T TAKE A HERO, by H. Norman Schwarzkopf with Peter Petre. (Linda	2	5
""	Grey/ Bantam, $25.) The autobiography of the general who commanded the allied		
""	forces in the gulf war.		
""			
4	I CAN'T BELIEVE I SAID THAT! by Kathie Lee Gifford with Jim Jerome. (Pocket,	10	3
""	"$22.) The autobiography of the co-host of the television show ""Live With Regis"		
""	"and Kathie Lee."""		
""			
5	THE SILENT PASSAGE, by Gail Sheehy. (Random House, $16.) The	5	24
""	psychological and social significance of menopause for today's women.		
""			
6	EVERY LIVING THING, by James Herriot. (St. Martin's, $22.95.) Continuing the	4	10
""	memoirs of the Yorkshire veterinarian.		
""			
7	EARTH IN THE BALANCE, by Al Gore. (Houghton Mifflin, $22.95.) The author	3	22
""	discusses factors affecting the environment and what must be done to save the		
""	earth.		
""			
8	THE TE OF PIGLET, by Benjamin Hoff. (Dutton, $16.) Aspects of Taoist	6	7
""	philosophy explained through the actions of an A. A. Milne character.		
""			
9	BANKRUPTCY 1995, by Harry E. Figgie Jr. with Gerald J. Swanson. (Little,	12	2
""	Brown, $19.95.) The authors predict the collapse of America under Government		
""	debt and suggest ways to cope with it.		
""			
10	WOMEN WHO RUN WITH THE WOLVES, by Clarissa Pinkola Estes. (Ballantine,	7	13
""	$20.) A Jungian analyst reinterprets myths and folk tales to enable women to		
""	understand their psyches.		
""			
11	TRUMAN, by David McCullough. (Simon & Schuster, $30.) A biography of the 33d	8	21
""	President.		
""			
12	THE SENATOR, by Richard E. Burke with William and Marilyn Hoffer. (St.	11	4
""	Martin's, $23.95.) The recollections of a man who served as an aide to Edward M.		
""	Kennedy for 10 years.		
""			
13	GENIUS, by James Gleick. (Pantheon, $27.50.) The life and achievements of	--	1
""	Richard Feynman, the Nobel Prize-winning physicist.		
""			
14	YOUNG MEN & FIRE, by Norman Maclean. (University of Chicago, $19.95.) An	9	10
""	account of a disastrous fire in a Montana forest in 1949.		
