This	August 13, 1995	Last	Weeks
Week	Fiction	Week	On List
""			
1	BEACH MUSIC, by Pat Conroy. (Talese/Doubleday, $27.50.) An American living	2	5
""	in Rome returns to South Carolina and tries to cope with his troubled past.		
""			
2	MEMNOCH THE DEVIL, by Anne Rice. (Knopf, $25.) The vampire Lestat is	1	3
""	snatched from the world by a mysterious adversary who claims to be the Devil.		
""			
3	LIGHTNING, by Danielle Steel. (Delacorte, $24.95.) The happy marriage of a	3	3
""	lawyer and her husband is suddenly changed after she gets a routine checkup.		
""			
4	THE RAINMAKER, by John Grisham. (Doubleday, $25.95.) A young man barely	4	16
""	out of law school tries to expose a corporation's multibillion-dollar scam.		
""			
5	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	5	157
""	$17.95.) A photographer and a farmer's lonely wife in Iowa.		
""			
6	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	7	76
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
7	ROSE MADDER, by Stephen King. (Viking, $25.95.) Fleeing an abusive husband,	6	7
""	a woman seeks happiness in a strange city by creating her own myth.		
""			
8	THE WITNESS, by Sandra Brown. (Warner, $21.95.) A public defender who	8	7
""	seems happy in her work and her marriage is plunged into a morass of bigotry and		
""	hate.		
""			
9	DANGEROUS TO KNOW, by Barbara Taylor Bradford. (HarperCollins, $24.) A	10	3
""	journalist investigates the death of her former husband, a philanthropist.		
""			
10	DISNEY'S POCAHONTAS. (Mouse Works, $6.98.) The romance of an American	9	5
""	Indian princess and an Englishman, told in words and pictures.		
""			
11	POLITICALLY CORRECT BEDTIME STORIES, by James Finn Garner.	12	60
""	(Macmillan, $8.95.) Classic tales respun to avoid offending current sensibilities.		
""			
12	LET ME CALL YOU SWEETHEART, by Mary Higgins Clark. (Simon & Schuster,	11	14
""	$24.) An unusual murder case haunts a prosecutor's career and her private life.		
""			
13	THE APOCALYPSE WATCH, by Robert Ludlum. (Bantam, $24.95.) Tracking a	13	11
""	neo-Nazi movement with designs on American and European officials.		
""			
14	LADDER OF YEARS, by Anne Tyler. (Knopf, $24.) At 40, a woman leaves her	15	16
""	physician husband and children to start a new life in a strange town.		
""			
15	ONCE UPON A MORE ENLIGHTENED TIME, by James Finn Garner. (Macmillan,	14	13
""	"$9.95.) Eight more ""politically correct bedtime stories."""		
This	August 13, 1995	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TO RENEW AMERICA, by Newt Gingrich. (HarperCollins, $24.) The Speaker of	1	5
""	the House describes his solutions to the country's problems.		
""			
2	NEW PASSAGES, by Gail Sheehy. (Random House, $25.) How changing social	2	8
""	conditions and longer life expectancies are affecting our lives.		
""			
3	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	3	75
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
4	A GOOD WALK SPOILED, by John Feinstein. (Little, Brown, $23.95.) A	4	8
""	sportswriter reports on the P.G.A. Tour in 1993 and 1994.		
""			
5	SPONTANEOUS HEALING, by Andrew Weil. (Knopf, $23.) A physician explains	5	10
""	the ways in which the body heals itself.		
""			
6	BEYOND ALL REASON, by David Smith with Carol Calef. (Kensington, $18.95.)	--	1
""	The estranged husband of Susan Smith, the woman convicted of killing their two		
""	sons, tells of their life together.		
""			
7	SLEEPERS, by Lorenzo Carcaterra. (Ballantine, $23.) The true story, the narrator	7	3
""	claims, of four boys in a reformatory and the revenge they later take.		
""			
8	SISTERS. Essays by Carol Saline. Photographs by Sharon J. Wohlmuth.	6	33
""	(Running Press, $27.50.) The relationships of 36 sets of sisters.		
""			
9	DAVE BARRY'S COMPLETE GUIDE TO GUYS, by Dave Barry. (Random House,	8	11
""	$21.) Humor.		
""			
10	THE DEATH OF COMMON SENSE, by Philip K. Howard. (Random House, $18.)	9	26
""	How governmental rules and regulations are fettering the lives of all Americans.		
""			
11	WHEN ELEPHANTS WEEP, by Jeffrey Moussaieff Masson and Susan McCarthy.	10	5
""	(Delacorte, $23.95.) The emotional lives of animals.		
""			
12	THE EAGLE AND THE ROSE, by Rosemary Altea. (Warner, $19.95.) An English	11	3
""	psychic's story.		
""			
13	THE BOOK OF VIRTUES, by William J. Bennett. (Simon & Schuster, $30.) Moral	14	86
""	stories adapted from the Greeks, the Bible, folklore and elsewhere.		
""			
14	THE LANGUAGE OF LIFE, by Bill Moyers. Edited by James Haba. (Doubleday,	12	2
""	$29.95.) Conversations with 34 American poets about their lives and work.		
""			
15	MY OLD MAN AND THE SEA, by David Hays and Daniel Hays. (Algonquin,	--	1
""	$19.95.) A sailing yarn about a father-and-son voyage from Connecticut around		
""	Cape Horn.		
