This	March 14, 1999	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TESTAMENT, by John Grisham. (Doubleday, $27.95.) A reclusive billionaire,	1	4
""	a burned-out lawyer and a missionary are brought together by a startling secret.		
""			
2	APOLLYON, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $19.97.) After the	7	3
""	rapture of the saved, the world's remaining believers confront the Antichrist.		
""			
3	SOUTHERN CROSS, by Patricia Cornwell. (Putnam, $25.95.) A former police	2	7
""	chief finds herself summoned to Richmond to clean up scandalous conditions.		
""			
4	BE COOL, by Elmore Leonard. (Delacorte, $24.95.) The former mobster Chili	9	3
""	Palmer tries to make a movie.		
""			
5	RANSOM, by Julie Garwood. (Pocket, $24.) In the 13th century, two Scottish	3	4
""	chieftains aid a beautiful woman.		
""			
6	A SUDDEN CHANGE OF HEART, by Barbara Taylor Bradford. (Doubleday, $24.)	10	2
""	When tragedy strikes, a woman turns to her best friend, an art dealer, for help.		
""			
7	SEND NO FLOWERS, by Sandra Brown. (Bantam, $18.95.) A young widow	4	4
""	embarks on an affair.		
""			
8	THE POISONWOOD BIBLE, by Barbara Kingsolver. (Harper Flamingo, $26.) Five	6	20
""	female characters narrate this novel set in the Belgian Congo.		
""			
9	AMY AND ISABELLE, by Elizabeth Strout. (Random House, $22.95.) A teen-	--	1
""	ager's liaison with a math teacher jeopardizes her relationship with her mother.		
""			
10	A MAN IN FULL, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) Life in Atlanta	5	17
""	on the cusp of the millennium, as Old South values collide with a new world.		
""			
11	HARRY POTTER AND THE SORCERER'S STONE, by J. K. Rowling.	8	12
""	(Levine/Scholastic, $16.95.) A British boy finds his fortune attending a school of		
""	witchcraft.		
""			
12	WHILE I WAS GONE, by Sue Miller. (Knopf, $24.) A small-town veterinarian, the	13	3
""	wife of a minister, begins a flirtation with an old friend from her bohemian past.		
""			
13	SEIZE THE NIGHT, by Dean Koontz. (Bantam, $26.95.) A man who can live only	12	9
""	at night tracks children who have mysteriously disappeared in a California town.		
""			
14	AMSTERDAM, by Ian McEwan. (Talese/Doubleday, $21.) The death of a woman	15	8
""	they both loved has far-reaching consequences for a composer and an editor.		
""			
15	THE CAT WHO SAW STARS, by Lilian Jackson Braun. (Putnam, $22.95.) A pair	--	6
""	of cats contend with U.F.O.'s.		
""			
16	IN DANGER'S PATH, by W. E. B. Griffin. (Putnam, $24.95.) Perilous missions in	11	7
This	March 14, 1999	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE GREATEST GENERATION, by Tom Brokaw. (Random House, $24.95.) The	1	13
""	lives of men and women who came of age during the Depression and World War		
""	II.		
""			
2	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	2	73
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
3	PERFECT MURDER, PERFECT TOWN, by Lawrence Schiller. (HarperCollins,	3	2
""	$26.) The death of JonBenet Ramsey and its effect on the city of Boulder, Colo.		
""			
4	BEAUTY FADES, DUMB IS FOREVER, by Judy Sheindlin. (Cliff Street/	7	4
""	HarperCollins, $22.) Judge Judy examines the problems that face women today.		
""			
5	"REACHING TO HEAVEN, by James Van Praagh. (Dutton, $22.95.) A ""renowned"	--	1
""	"medium"" discusses death, the spirit world and reincarnation."		
""			
6	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	5	8
""	$22.95.) What Buddhist doctrines and common sense tell us about dealing with		
""	everyday problems.		
""			
7	TRAVELING MERCIES, by Anne Lamott. (Pantheon, $23.) A chronicle of the	6	5
""	author's journey toward faith and spirituality.		
""			
8	BLIND MAN'S BLUFF, by Sherry Sontag and Christopher Drew with Annette	4	15
""	Lawrence Drew. (Public Affairs, $25.) American submarine espionage from the		
""	early cold war years to the present.		
""			
9	THE CENTURY, by Peter Jennings and Todd Brewster. (Doubleday, $60.) An	9	15
""	account of the 20th century, complete with photographs and first-person		
""	narratives.		
""			
10	FIRST PERSON PLURAL, by Cameron West. (Hyperion, $23.95.) A psychologist	--	1
""	describes his struggles with dissociative identity (or multiple personality) disorder.		
""			
11	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	10	114
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
12	PLAYING FOR KEEPS, by David Halberstam. (Random House, $24.95.) The life	8	5
""	and times of Michael Jordan.		
""			
13	THE PROFESSOR AND THE MADMAN, by Simon Winchester. (HarperCollins,	12	24
""	$22.) How a murderer helped compile the Oxford English Dictionary.		
""			
14	THE ENDURANCE, by Caroline Alexander. (Knopf, $29.95.) The story of Ernest	14	13
""	Shackleton's 1914 Antarctic expedition.		
""			
15	CONVERSATIONS WITH GOD: Book 3, by Neale Donald Walsch. (Hampton	13	16
