This	August 18, 1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE KITCHEN GOD'S WIFE, by Amy Tan. (Putnam, $22.95.) A Chinese-	1	8
""	American matriarch tells the harrowing story of her life.		
""			
2	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that his	2	23
""	firm is engaged in secret, possibly illegal activities.		
""			
3	MAXIMUM BOB, by Elmore Leonard. (Delacorte, $20.) A woman probation officer	9	3
""	pursues the people trying to kill a redneck Florida judge.		
""			
4	PASTIME, by Robert B. Parker. (Putnam, $19.95.) The private eye Spenser learns	8	4
""	much about his own past while helping a young man track down his mother, who		
""	has disappeared.		
""			
5	HEIR TO THE EMPIRE, by Timothy Zahn. (Spectra/Bantam, $15.) The survival of	3	13
""	"the ""Star Wars"" galaxy is menaced by new forces."		
""			
6	OUTER BANKS, by Anne Rivers Siddons. (HarperCollins, $19.95.) An interior	6	4
""	decorator comes to terms with herself at a college reunion.		
""			
7	BEAST, by Peter Benchley. (Random House, $21.) The disappearance of a	5	8
""	couple off Bermuda raises a question: is a creature from the deep responsible?		
""			
8	LOVES MUSIC, LOVES TO DANCE, by Mary Higgins Clark. (Simon & Schuster,	4	15
""	$21.95.) Two Manhattan women, doing research into personal ads, get caught in		
""	the snare of a serial killer.		
""			
9	PARADISE, by Judith McNaught. (Pocket, $19.95.) The heirs of two family	7	8
""	dynasties find true love when one of their businesses is threatened.		
""			
10	SKY MASTERS, by Dale Brown. (Fine/Putnam, $21.95.) The United States Air	14	4
""	Force comes to the aid of the Philippines in a war with China in 1994.		
""			
11	AS THE CROW FLIES, by Jeffrey Archer. (HarperCollins, $22.95.) Inspired by his	12	15
""	grandfather, a London vendor, a man strives to create the biggest store in the		
""	world.		
""			
12	TEXAS! SAGE, by Sandra Brown. (Doubleday, $18.) A young woman who has	11	2
""	always been able to wrap men around her finger meets her match on a visit to her		
""	hometown.		
""			
13	THE WILD ROSE, by Doris Mortman. (Bantam, $20.) The professional and	--	1
""	romantic life of a woman pianist in Budapest and New York.		
""			
14	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	10	73
""	problems of finding your way through life; in verse and pictures.		
""			
15	MAMISTA, by Len Deighton. (HarperCollins, $21.95.) Three Americans caught in	--	1
This	August 18, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CHUTZPAH, by Alan M. Dershowitz. (Little, Brown, $22.95.) A prominent law	2	9
""	professor's reflections on the lot of Jews in America.		
""			
2	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	3	9
""	$19.95.) A humorist's attempt to explain the Federal Government.		
""			
3	WHEN YOU LOOK LIKE YOUR PASSPORT PHOTO, IT'S TIME TO GO HOME,	5	4
""	by Erma Bombeck. (HarperCollins, $19.95.) The tribulations of travel suffered in all		
""	parts of the world.		
""			
4	IRON JOHN, by Robert Bly. (Addison-Wesley, $19.95.) The passage of the male	1	39
""	from boyhood into manhood, as practiced in various cultures.		
""			
5	TOUJOURS PROVENCE, by Peter Mayle. (Knopf, $20.) The charms of rustic	4	7
""	Provence, as savored by a London advertising man who moved there.		
""			
6	FIRE IN THE BELLY, by Sam Keen. (Bantam, $19.95.) A philosopher explores the	6	14
""	changing role of the male in today's society.		
""			
7	BOSS OF BOSSES, by Joseph F. O'Brien and Andris Kurins. (Simon & Schuster,	8	6
""	$22.95.) The downfall of the mobster Paul Castellano.		
""			
8	A QUESTION OF CHARACTER, by Thomas C. Reeves. (Free Press, $24.95.) A	7	7
""	biography of John F. Kennedy.		
""			
9	THE COMMANDERS, by Bob Woodward. (Simon & Schuster, $24.95.) How	10	14
""	President Bush and his commanders have made military decisions.		
""			
10	AND THE BEAT GOES ON, by Sonny Bono. (Pocket, $19.95.) The veteran pop	--	1
""	star and current Mayor of Palm Springs, Calif., recalls his roller-coaster career with		
""	and without Cher.		
""			
11	DAVE BARRY TALKS BACK, by Dave Barry. (Crown, $18.) A collection of	--	7
""	columns by the syndicated humorist.		
""			
12	COUNSEL TO THE PRESIDENT, by Clark Clifford with Richard Holbrooke.	12	10
""	(Random House, $25.) The memoirs of the Democratic adviser.		
""			
13	WOODY ALLEN, by Eric Lax. (Knopf, $24.) The life of the film director, writer and	9	11
""	actor.		
""			
14	UNDER THE INFLUENCE, by Peter Hernon and Terry Ganey. (Simon &	15	6
""	Schuster, $24.95.) An unauthorized account of Anheuser-Busch.		
""			
15	PETER LAWFORD, by James Spada. (Bantam, $22.50.) The life of the British-	14	3
""	born actor, Hollywood man about town and Kennedy in-law.		
