This	May 2, 1993	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	1	38
""	$14.95.) A photographer and a lonely farmer's wife in Iowa.		
""			
2	THE CLIENT, by John Grisham. (Doubleday, $23.50.) A deadly secret presents	2	7
""	serious problems for an 11-year-old boy.		
""			
3	THE LAST COMMAND, by Timothy Zahn. (Spectra/Bantam, $21.95.) The final	3	2
""	"volume of a ""Star Wars"" trilogy."		
""			
4	"""J"" IS FOR JUDGMENT, by Sue Grafton. (Holt, $21.95.) Kinsey Millhone"	4	3
""	investigates the case of a man who apparently committed suicide -- but may have		
""	returned to life to reap benefits.		
""			
5	A SEASON IN PURGATORY, by Dominick Dunne. (Crown, $22.) The political and	--	1
""	social machinations of a wealthy Irish Catholic family.		
""			
6	PERFECT, by Judith McNaught. (Pocket, $22.) A model young woman is	--	1
""	abducted by a onetime award-winning film maker who has been serving time for		
""	murdering his wife.		
""			
7	LIKE WATER FOR CHOCOLATE, by Laura Esquivel. (Doubleday, $17.50.)	10	3
""	Frustration, love, hope -- and recipes -- sampled by a woman coming of age on a		
""	Mexican ranch.		
""			
8	AMERICAN STAR, by Jackie Collins. (Simon & Schuster, $23.) The romance of	5	5
""	two teen-agers, one who grows up to be a movie star, the other a model.		
""			
9	FOR LOVE, by Sue Miller. (HarperCollins, $23.) An affair is renewed and the past	--	1
""	and future are reconsidered by people returning to their Massachusetts		
""	hometown.		
""			
10	EINSTEIN'S DREAMS, by Alan Lightman. (Pantheon, $17.) Fantasies said to be	7	11
""	dreamed by Albert Einstein in 1905, when he was a patent clerk.		
""			
11	CHARMS FOR THE EASY LIFE, by Kaye Gibbons. (Putnam, $19.95.) The	--	1
""	fortunes of three indomitable North Carolina women who have to cope with men		
""	who disappoint, disappear and die.		
""			
12	WINTER PREY, by John Sandford. (Putnam, $21.95.) Lucas Davenport in pursuit	11	3
""	of a new kind of criminal in Wisconsin's cold woods.		
""			
13	WHERE THERE'S SMOKE, by Sandra Brown. (Warner, $19.95.) A physician	6	2
""	moves to a Texas town and tries to live down her bad reputation.		
""			
14	THE TALISMANS OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $22.)	9	10
""	The fourth and concluding volume in a series about a fantasy land.		
This	May 2, 1993	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WOMEN WHO RUN WITH THE WOLVES, by Clarissa Pinkola Estes. (Ballantine,	1	38
""	$20.) A Jungian analyst reinterprets myths and folk tales to enable women to		
""	understand their psyches.		
""			
2	HEALING AND THE MIND, by Bill Moyers. (Doubleday, $25.) Conversations with	2	11
""	physicians, scientists, therapists and patients about the relationship of sickness to		
""	thoughts and emotions.		
""			
3	THE WAY THINGS OUGHT TO BE, by Rush H. Limbaugh 3d. (Pocket, $22.)	3	33
""	Anecdotes and opinions offered by the talk show host.		
""			
4	A WORLD WAITING TO BE BORN, by M. Scott Peck. (Bantam, $22.95.) A call for	5	3
""	individuals and institutions to make civility part of their lives and functions.		
""			
5	CARE OF THE SOUL, by Thomas Moore. (HarperCollins, $22.50.) A	4	20
""	psychotherapist's discussion of spirituality and everyday life.		
""			
6	REMEMBERING DENNY, by Calvin Trillin. (Farrar, Straus & Giroux, $19.) A	--	1
""	memoir of a bright young man of the 1950's -- Yale Phi Beta Kappa, Rhodes		
""	scholar, esteemed professor -- who ended his career by committing suicide.		
""			
7	PREPARING FOR THE TWENTY-FIRST CENTURY, by Paul Kennedy. (Random	7	7
""	House, $25.) A historian assays social and political forces.		
""			
8	THINKING OUT LOUD, by Anna Quindlen. (Random House, $22.) Essays on	12	2
""	current topics by the New York Times columnist.		
""			
9	AMY FISHER: My Story, by Amy Fisher with Sheila Weller. (Pocket, $22.) The	13	2
""	memoirs of the Long Island teen-ager who is now serving time for shooting the		
""	wife of a man she says was her lover.		
""			
10	BANKRUPTCY 1995, by Harry E. Figgie Jr. with Gerald J. Swanson. (Little,	6	24
""	Brown, $19.95.) The collapse of America under Government debt.		
""			
11	ASSEMBLING CALIFORNIA, by John McPhee. (Farrar, Straus & Giroux, $21.)	9	8
""	Investigations into the geological history of California.		
""			
12	MARILYN MONROE, by Donald Spoto. (HarperCollins, $25.) A biography of the	15	3
""	movie star.		
""			
13	TRUMAN, by David McCullough. (Simon & Schuster, $30.) A biography of the 33d	--	42
""	President.		
""			
14	THE TE OF PIGLET, by Benjamin Hoff. (Dutton, $16.) Aspects of Taoist	8	32
""	philosophy explained through the actions of an A. A. Milne character.		
""			
15	OFFICIAL AND CONFIDENTIAL, by Anthony Summers. (Putnam, $25.95.) The	11	9
