This	February 15, 1998	Last	Weeks
Week	Fiction	Week	On List
""			
1	PARADISE, by Toni Morrison. (Knopf, $25.) A small black utopia in rural	1	4
""	Oklahoma experiences tragedy and regeneration when it encounters the ''real''		
""	world.		
""			
2	COLD MOUNTAIN, by Charles Frazier. (Atlantic Monthly, $24.) A wounded	2	32
""	Confederate soldier journeys home toward the end of the Civil War to meet an old		
""	love and a new world.		
""			
3	FEAR NOTHING, by Dean Koontz. (Bantam, $26.95.) A man whose health makes	3	3
""	it necessary for him to live at night witnesses mysteries only he can solve.		
""			
4	A CERTAIN JUSTICE, by P. D. James. (Knopf, $25.) Adam Dalgliesh in pursuit of	4	10
""	the murderer of a celebrated and widely detested criminal lawyer.		
""			
5	THE WINNER, by David Baldacci. (Warner, $25.) The tribulations of a poor	5	9
""	woman who reluctantly participates in a scam to win the national lottery.		
""			
6	THE INVESTIGATORS, by W. E. B. Griffin. (Putnam, $24.95.) Philadelphia cops	7	3
""	probe crimes committed by people in their department and outside it.		
""			
7	MEMOIRS OF A GEISHA, by Arthur Golden. (Knopf, $25.) The life of a young	8	13
""	woman growing up in Kyoto who has to reinvent herself after World War II begins.		
""			
8	CUBA LIBRE, by Elmore Leonard. (Delacorte, $23.95.) The machinations of	13	2
""	Americans in Cuba on the eve of the Spanish-American War.		
""			
9	SHARP EDGES, by Jayne Ann Krentz. (Pocket, $24.) An art museum director,	12	3
""	cataloguing a valuable collection, becomes entangled in a web of conspirators.		
""			
10	THE GOD OF SMALL THINGS, by Arundhati Roy. (Random House, $23.) Death	9	27
""	and secrets haunt a once-prosperous merchant family in contemporary India.		
""			
11	BLACK AND BLUE, by Anna Quindlen. (Random House, $23.) After her husband	--	1
""	turns violent, a woman flees to Florida with her young son to start a new life under		
""	a new name.		
""			
12	THEN CAME HEAVEN, by LaVyrle Spencer. (Putnam, $24.95.) After the death of	10	6
""	a close friend, a nun's relationship with the widower and his family takes a new		
""	turn.		
""			
13	THE MASTERHARPER OF PERN, by Anne McCaffrey. (Del Rey/Ballantine, $25.)	15	3
""	New dangers menace the inhabitants of a beautiful world named Pern.		
""			
14	CAT & MOUSE, by James Patterson. (Little, Brown, $24.95.) Alex Cross contends	6	13
""	with two serial killers determined to take his life.		
""			
15	THE GHOST, by Danielle Steel. (Delacorte, $25.95.) On a trip to New England, a	11	13
This	February 15, 1998	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TALKING TO HEAVEN, by James Van Praagh. (Dutton, $22.95.) A ''world-famous	1	6
""	medium'' discusses communication with the other side.		
""			
2	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	2	56
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans discloses that		
""	they have seven characteristics in common.		
""			
3	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	3	74
""	recalls his childhood amid the miseries of Limerick.		
""			
4	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	4	187
""	House, $25.) The mysterious death of a young man in Savannah, Ga.		
""			
5	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	5	17
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
6	THE PERFECT STORM, by Sebastian Junger. (Norton, $23.95.) An account of	7	36
""	the nor'easter of 1991, focusing on a crew of fishermen from Gloucester, Mass.		
""			
7	THE MAN WHO LISTENS TO HORSES, by Monty Roberts. (Random House,	8	26
""	$23.) The memoirs of a professional horse trainer.		
""			
8	INTO THIN AIR, by Jon Krakauer. (Villard, $24.95.) A journalist's account of his	6	41
""	ascent of Mount Everest in 1996, the deadliest season in history.		
""			
9	CITIZEN SOLDIERS, by Stephen E. Ambrose. (Simon & Schuster, $27.50.) The	9	13
""	United States Army from Normandy to the Battle of the Bulge to Germany's		
""	surrender.		
""			
10	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	10	61
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
11	THE RAPE OF NANKING, by Iris Chang. (Basic Books, $25.) The atrocities	11	4
""	committed by Japanese soldiers against Chinese civilians in 1937.		
""			
12	JAMES CAMERON'S TITANIC, by Ed W. Marsh. Photographs by Douglas	--	2
""	Kirkland. (HarperCollins, $50.) A lavishly illustrated account of the making of the		
""	film.		
""			
13	BITTER HARVEST, by Ann Rule. (Simon & Schuster, $23.) The marriage of a	--	1
""	professional couple in Kansas ends under mysterious and violent circumstances.		
""			
14	TITANIC: Legacy of the World's Greatest Ocean Liner, by Susan Wels. (Time-Life,	16	2
""	$34.95.) An illustrated account of the disaster and of present-day explorations.		
""			
15	PILLAR OF FIRE, by Taylor Branch. (Simon & Schuster, $30.) American political	15	2
""	life from 1963 to 1965 and Martin Luther King Jr.'s role in it.		
