This	April 30, 1995	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RAINMAKER, by John Grisham. (Doubleday, $25.95.) A young man barely	--	1
""	out of law school tries to expose a corporation's multibillion-dollar scam.		
""			
2	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	1	61
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
3	POLITICALLY CORRECT BEDTIME STORIES, by James Finn Garner.	2	45
""	(Macmillan, $8.95.) Classic tales respun to avoid offending current sensibilities.		
""			
4	BORDER MUSIC, by Robert James Waller. (Warner, $17.95.) A Texas rancher,	3	10
""	trying to erase his Vietnam trauma, takes to the road with an exotic dancer.		
""			
5	LADDER OF YEARS, by Anne Tyler. (Knopf, $24.) At 40, a woman leaves her	--	1
""	physician husband and children to start a new life in a strange town.		
""			
6	CHILDREN OF THE JEDI, by Barbara Hambly. (Spectra/Bantam, $21.95.) The	--	1
""	"""Star Wars"" New Republic sends a mission to find long-lost people in a distant,"		
""	frozen world.		
""			
7	A DOG'S LIFE, by Peter Mayle. (Knopf, $20.) The memoirs of Boy, a shaggy	5	4
""	canine in Provence; with drawings by Edward Koren.		
""			
8	MOO, by Jane Smiley. (Knopf, $24.) Intrigues and machinations on the campus of	6	4
""	a Midwestern state university.		
""			
9	OUR GAME, by John le Carré. (Knopf, $24.) Espionage, larceny and murder in	4	7
""	Eastern and Western Europe in the post-cold-war era.		
""			
10	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	8	142
""	$16.95.) A photographer and a farmer's lonely wife in Iowa.		
""			
11	THE GLASS LAKE, by Maeve Binchy. (Delacorte, $23.95.) The unspoken ties that	7	8
""	bind a woman and her mother in a small Irish town.		
""			
12	PHENOMENAL WOMAN, by Maya Angelou. (Random House, $10.) Four poems	13	6
""	celebrating women.		
""			
13	THE COMMODORE, by Patrick O'Brian. (Norton, $22.50.) The fortunes of a	--	1
""	British captain and his ship's doctor, at sea and at home, in the Napoleonic Wars.		
""			
14	MUTANT MESSAGE DOWN UNDER, by Marlo Morgan. (HarperCollins, $18.) In	11	28
""	Australia's outback, an American woman learns about aboriginal philosophy.		
""			
15	DAISY-HEAD MAYZIE, by Dr. Seuss. (Random House, $15.) In words and	12	11
""	pictures, the story of a girl whose head unexpectedly sprouts a daisy.		
This	April 30, 1995	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IN RETROSPECT, by Robert S. McNamara with Brian VanDeMark. (Times	--	1
""	Books/Random House, $27.50.) The Secretary of Defense under Kennedy and		
""	Johnson ruefully recalls his role in the Vietnam War.		
""			
2	THE HOT ZONE, by Richard Preston. (Random House, $23.) The discovery of a	1	29
""	lethal virus.		
""			
3	QUIVERS, by Robin Quivers. (Regan Books/HarperCollins, $22.) The memoirs of	6	2
""	Howard Stern's sidekick.		
""			
4	THE DEATH OF COMMON SENSE, by Philip K. Howard. (Random House, $18.)	2	11
""	How governmental rules and regulations are fettering the lives of all Americans.		
""			
5	BREAKING THE SURFACE, by Greg Louganis with Eric Marcus. (Random	3	7
""	House, $23.) The memoirs of the former Olympic diving champion.		
""			
6	SISTERS, by Carol Saline. Photographs by Sharon J. Wohlmuth. (Running Press,	4	18
""	$27.50.) The relationships of 36 sets of sisters, reported in words and pictures.		
""			
7	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	5	60
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
8	THE DIARY OF A YOUNG GIRL, by Anne Frank. Edited by Otto H. Frank and	7	5
""	"Mirjam Pressler. (Doubleday, $25.) The ""definitive edition."""		
""			
9	COUPLEHOOD, by Paul Reiser. (Bantam, $19.95.) Essays on the ups and downs	8	34
""	of marriage.		
""			
10	FROM BEGINNING TO END, by Robert Fulghum. (Villard, $20.) The rituals we	12	2
""	practice and the spiritual journeys we take, from childhood to old age.		
""			
11	AN ANTHROPOLOGIST ON MARS, by Oliver Sacks. (Knopf, $24.) Seven tales	9	7
""	about people with neurological afflictions.		
""			
12	THE BOOK OF VIRTUES, by William J. Bennett. (Simon & Schuster, $30.) Moral	11	71
""	stories adapted from the Greeks, the Bible, folklore and elsewhere.		
""			
13	LIZ, by C. David Heymann. (Birch Lane/Carol, $24.95.) A biography of Elizabeth	--	1
""	Taylor.		
""			
14	MODEL, by Michael Gross. (Morrow, $25.) The growth of modeling from a small	--	1
""	business to a huge industry.		
""			
15	THE DISCIPLINE OF MARKET LEADERS, by Michael Treacy and Fred	10	10
""	Wiersema. (Addison-Wesley, $25.) A discussion of competitive business		
""	strategies.		
