This	September 15, 1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SUM OF ALL FEARS, by Tom Clancy. (Putnam, $24.95.) Middle Eastern	1	4
""	terrorists edge the world to the brink of nuclear war, and a floundering President		
""	may not be able to cope.		
""			
2	THE DOOMSDAY CONSPIRACY, by Sidney Sheldon. (Morrow, $22.) An	--	1
""	American naval officer, assigned to investigate a balloon accident in the Alps, has		
""	to contend with a mysterious force.		
""			
3	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that his	2	27
""	firm is engaged in secret, possibly illegal activities.		
""			
4	SAINT MAYBE, by Anne Tyler. (Knopf, $22.) The struggles of a young man to	4	2
""	atone for the wrong he feels he has done his older brother.		
""			
5	THE KITCHEN GOD'S WIFE, by Amy Tan. (Putnam, $22.95.) A Chinese-	3	12
""	American matriarch tells the harrowing story of her life.		
""			
6	HEIR TO THE EMPIRE, by Timothy Zahn. (Spectra/Bantam, $15.) The survival of	7	17
""	"the ""Star Wars"" galaxy is menaced by new forces."		
""			
7	FLOWERS IN THE RAIN, by Rosamunde Pilcher. (Dunne/St. Martin's, $20.) A	13	2
""	collection of short stories, many of them set in Scotland.		
""			
8	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) The	8	77
""	problems of finding your way through life; in verse and pictures.		
""			
9	LOVES MUSIC, LOVES TO DANCE, by Mary Higgins Clark. (Simon & Schuster,	5	19
""	$21.95.) Two Manhattan women, doing research into personal ads, get caught in		
""	the snare of a serial killer.		
""			
10	MAXIMUM BOB, by Elmore Leonard. (Delacorte, $20.) A woman probation officer	6	7
""	pursues the people trying to kill a redneck Florida judge.		
""			
11	OUTER BANKS, by Anne Rivers Siddons. (HarperCollins, $19.95.) An interior	9	8
""	decorator comes to terms with herself at a college reunion.		
""			
12	RUSSKA, by Edward Rutherfurd. (Crown, $25.) Eighteen centuries in the lives of	--	1
""	four families of different cultures residing in a Russian village.		
""			
13	THE GARDEN OF RAMA, by Arthur C. Clarke and Gentry Lee. (Spectra/Bantam,	15	2
""	$20.) For the third time in the 23d century, astronauts from Earth contend with		
""	alien forces.		
""			
14	PARADISE, by Judith McNaught. (Pocket, $19.95.) The heirs of two family	10	12
""	dynasties find true love when one of their businesses is threatened.		
""			
15	TEXAS! SAGE, by Sandra Brown. (Doubleday, $18.) A young woman who has	--	5
This	September 15, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	UH-OH, by Robert Fulghum. (Villard, $19.) Reflections on life's commonplaces,	1	3
""	from meat loaf to pet dogs to fireflies.		
""			
2	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	2	13
""	$19.95.) A humorist's attempt to explain the Federal Government.		
""			
3	WHEN YOU LOOK LIKE YOUR PASSPORT PHOTO, IT'S TIME TO GO HOME,	4	8
""	by Erma Bombeck. (HarperCollins, $19.95.) The tribulations of travel suffered in all		
""	parts of the world.		
""			
4	IRON JOHN, by Robert Bly. (Addison-Wesley, $19.95.) The passage of the male	3	43
""	from boyhood into manhood, as practiced in various cultures.		
""			
5	CHUTZPAH, by Alan M. Dershowitz. (Little, Brown, $22.95.) A prominent law	5	13
""	professor's reflections on the lot of Jews in America, past, present and future.		
""			
6	FIRE IN THE BELLY, by Sam Keen. (Bantam, $19.95.) A philosopher explores the	7	18
""	changing role of the male in today's society.		
""			
7	TOUJOURS PROVENCE, by Peter Mayle. (Knopf, $20.) The charms of rustic	6	11
""	Provence, as savored by a London advertising man who moved there.		
""			
8	DAVE BARRY TALKS BACK, by Dave Barry. (Crown, $18.) A collection of	10	11
""	columns by the syndicated humorist.		
""			
9	ANNE SEXTON, by Diane Wood Middlebrook. (Davison/Houghton Mifflin, $24.95.)	8	2
""	The life of a gifted poet who was hampered by mental illness.		
""			
10	A QUESTION OF CHARACTER, by Thomas C. Reeves. (Free Press, $24.95.) A	9	11
""	biography of John F. Kennedy.		
""			
11	HARD COURTS, by John Feinstein. (Villard, $22.50.) A journalist's behind-the-	--	1
""	scenes look at a year of professional tennis.		
""			
12	BOSS OF BOSSES, by Joseph F. O'Brien and Andris Kurins. (Simon & Schuster,	13	10
""	$22.95.) Two former F.B.I. agents report on the downfall of Paul Castellano, head		
""	of the Gambino crime family.		
""			
13	THE BEAUTY MYTH, by Naomi Wolf. (Morrow, $21.95.) An argument against our	--	3
""	society's emphasis on the importance of women's physical appearance.		
""			
14	THE MANSIONS OF LIMBO, by Dominick Dunne. (Crown, $22.) A collection of	14	2
""	pieces about currently celebrated people.		
""			
15	ILLIBERAL EDUCATION, by Dinesh D'Souza. (Free Press, $19.95.) A critical	16	15
""	account of the way matters of race and sex are being taught and treated on many		
""	campuses.		
