This	October 20,1991	Last	Weeks
Week	Fiction	Week	On List
""			
1	SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to Margaret	1	2
""	"Mitchell's ""Gone With the Wind."""		
""			
2	NEEDFUL THINGS, by Stephen King. (Viking, $24.95.) A newcomer opens a	--	1
""	shop in Castle Rock, Me., bringing bargains as well as nightmares and disasters		
""	to the town.		
""			
3	THE SUM OF ALL FEARS, by Tom Clancy. (Putnam, $24.95.) Middle Eastern	2	9
""	terrorists edge the world to the brink of nuclear war.		
""			
4	NIGHT OVER WATER, by Ken Follett. (Morrow, $23.) High drama on a trans-	4	3
""	Atlantic flight after the outbreak of World War II.		
""			
5	THE DOOMSDAY CONSPIRACY, by Sidney Sheldon. (Morrow, $22.) An	3	6
""	American naval officer has to contend with a mysterious force.		
""			
6	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) Verse	5	82
""	and pictures.		
""			
7	THE DECEIVER, by Frederick Forsyth. (Bantam, $22.50.) Sam McCready recalls	7	4
""	his years in the British secret service.		
""			
8	THE FIRM, by John Grisham. (Doubleday, $19.95.) A young lawyer learns that his	8	32
""	firm is engaged in secret, possibly illegal activities.		
""			
9	FLOWERS IN THE RAIN, by Rosamunde Pilcher. (Dunne/St. Martin's, $20.) A	9	7
""	collection of short stories, many of them set in Scotland.		
""			
10	SAINT MAYBE, by Anne Tyler. (Knopf, $22.) The struggles of a young man to	6	7
""	atone for the wrong he feels he has done his older brother.		
""			
11	THE DRAGON REBORN, by Robert Jordan. (Tor, $22.95.) The fate of a man	13	3
""	doomed to save and then destroy the world; part of a fantasy series.		
""			
12	THE KITCHEN GOD'S WIFE, by Amy Tan. (Putnam, $22.95.) A Chinese-	12	17
""	American matriarch tells the harrowing story of her life.		
""			
13	THE DUCHESS, by Jude Deveraux. (Pocket, $21.) An American woman, in	10	4
""	Scotland to marry a duke, finds a mysterious stranger more attractive.		
""			
14	HARLOT'S GHOST, by Norman Mailer. (Random House, $30.) The world's events	--	1
""	of the past few decades as seen by three Yankee aristocrats who work for the		
""	C.I.A.		
""			
15	IMAJICA, by Clive Barker. (HarperCollins, $23.) A fantasy in which three residents	--	3
""	of Earth seek to reunite it with four other Dominions.		
This	October 20, 1991	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ME: Stories of My Life, by Katharine Hepburn. (Knopf, $25.) The actress's	1	5
""	memoirs.		
""			
2	UH-OH, by Robert Fulghum. (Villard, $19.) Reflections on life's commonplaces.	2	8
""			
3	LA TOYA, by La Toya Jackson with Patricia Romanowski. (Dutton, $19.95.)	3	5
""	Growing up in a leading show business family.		
""			
4	IRON JOHN, by Robert Bly. (Addison-Wesley, $19.95.) The passage of the male	4	48
""	from boyhood into manhood, as practiced in various cultures.		
""			
5	J. EDGAR HOOVER, by Curt Gentry. (Norton, $29.95.) The career of the longtime	7	4
""	Director of the F.B.I.		
""			
6	FIRE IN THE BELLY, by Sam Keen. (Bantam, $19.95.) A philosopher explores the	5	23
""	changing role of the male in today's society.		
""			
7	EXPOSING MYSELF, by Geraldo Rivera with Daniel Paisner. (Bantam, $21.50.)	10	4
""	The autobiography of the television personality.		
""			
8	PARLIAMENT OF WHORES, by P. J. O'Rourke. (Entrekin/Atlantic Monthly,	6	18
""	$19.95.) A humorist's attempt to explain the Federal Government.		
""			
9	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) How Ivan	--	1
""	Boesky, Michael Milken, Martin Siegel and Dennis Levine plundered and created		
""	havoc on Wall Street.		
""			
10	TOUJOURS PROVENCE, by Peter Mayle. (Knopf, $20.) The charms of rustic	9	16
""	Provence, as savored by a London advertising man who moved there.		
""			
11	CHUTZPAH, by Alan M. Dershowitz. (Little, Brown, $22.95.) A prominent law	11	18
""	professor's reflections on the lot of Jews in America.		
""			
12	CRUEL DOUBT, by Joe McGinniss. (Simon & Schuster, $25.) The ordeal of a	--	1
""	North Carolina woman whose son was accused of planning the murder of herself		
""	and her husband.		
""			
13	WHEN YOU LOOK LIKE YOUR PASSPORT PHOTO, IT'S TIME TO GO HOME,	13	13
""	by Erma Bombeck. (HarperCollins, $19.95.) The tribulations of travel suffered in all		
""	parts of the world.		
""			
14	HARD COURTS, by John Feinstein. (Villard, $22.50.) A journalist's behind-the-	8	6
""	scenes look at a year of professional tennis.		
""			
15	ANNE SEXTON, by Diane Wood Middlebrook. (Davison/Houghton Mifflin, $24.95.)	12	7
""	The life of a gifted poet who was hampered by mental illness.		
