This	October 20,1996	Last	Weeks
Week	Fiction	Week	On List
""			
1	DESPERATION, by Stephen King. (Viking, $27.95.) Visitors to a small mining	1	2
""	town in Nevada encounter terrifying forces.		
""			
2	THE REGULATORS, by Richard Bachman. (Dutton, $24.95.) Killings and other	2	2
""	horrors disrupt a quiet suburban town in Ohio.		
""			
3	THE DEEP END OF THE OCEAN, by Jacquelyn Mitchard. (Viking, $23.95.) The	4	4
""	disappearance of a 3-year-old boy brings a family anguish and redemption.		
""			
4	EXECUTIVE ORDERS, by Tom Clancy. (Putnam, $27.95.) Vice President Jack	3	8
""	Ryan has problems after the deaths of the President and most of the Cabinet,		
""	Congress, the Joint Chiefs and the Supreme Court.		
""			
5	JACK AND JILL, by James Patterson. (Little, Brown, $24.95.) Alex Cross on the	5	5
""	trail of serial killers at large in Washington.		
""			
6	TO THE HILT, by Dick Francis. (Putnam, $24.95.) Trials and tribulations await a	6	2
""	reclusive painter summoned to the bedside of his dying stepfather.		
""			
7	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	7	138
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
8	LEGEND, by Jude Deveraux. (Pocket, $23.) A bride-to-be in modern-day Virginia	8	4
""	suddenly finds herself in 19th-century Colorado.		
""			
9	THE LAW OF LOVE, by Laura Esquivel. (Crown, $25.) In the 23d century, an	15	2
""	"""astroanalyst"" reacquaints her patients with their 14,000 previous incarnations;"		
""	accompanied by a music CD.		
""			
10	FALLING UP, by Shel Silverstein. (HarperCollins, $16.95.) Poems and drawings,	11	20
""	for children and grown-ups, celebrating strange characters and experiences.		
""			
11	THE RUNAWAY JURY, by John Grisham. (Doubleday, $26.95.) A woman in a	10	21
""	Mississippi Gulf Coast town sues a tobacco company for causing her husband's		
""	death.		
""			
12	THE LAST DON, by Mario Puzo. (Random House, $25.95.) The aging head of a	9	11
""	Mafia family makes plans for his heirs' activities in Hollywood and Las Vegas.		
""			
13	SERVANT OF THE BONES, by Anne Rice. (Knopf, $26.) A dark angel seeking	13	10
""	redemption makes a perilous journey from ancient Babylon to modern Manhattan.		
""			
14	MY MANY COLORED DAYS, by Dr. Seuss. Illustrated by Steve Johnson and Lou	14	4
""	Fancher. (Knopf, $16.) Ways of looking at feelings and moods.		
""			
15	DIRT, by Stuart Woods. (HarperCollins, $24.) A gossip columnist's travails with a	--	3
""	member of the social scene who is apparently determined to get even with her.		
This	October 20, 1996	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE DILBERT PRINCIPLE, by Scott Adams. (Harper Business, $20.) A satirical	1	25
""	look, in words and cartoons, at the current foibles of business and management.		
""			
2	THE RUN OF HIS LIFE, by Jeffrey Toobin. (Random House, $25.) An account of	2	4
""	the O. J. Simpson trial by a journalist and former prosecutor.		
""			
3	HOW GOOD DO WE HAVE TO BE? by Harold S. Kushner. (Little, Brown,	7	4
""	$21.95.) How a new understanding of guilt and forgiveness can change our lives.		
""			
4	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	9	5
""	recalls his childhood amid the miseries of Limerick.		
""			
5	SLOUCHING TOWARDS GOMORRAH, by Robert H. Bork. (Regan Books/	4	3
""	HarperCollins, $25.) An indictment of modern liberalism, by the former judge, for		
""	recent declines in American culture and social life.		
""			
6	JAMES HERRIOT'S FAVORITE DOG STORIES, by James Herriot. (St. Martin's,	6	3
""	$17.95.) Ten tales recounted by the Yorkshire veterinarian, who died last year.		
""			
7	LOVE, LUCY, by Lucille Ball with Betty Hannah Hoffman. (Putnam, $24.95.) The	11	2
""	posthumous autobiography of the television star.		
""			
8	THE SEA HUNTERS, by Clive Cussler and Craig Dirgo. (Simon & Schuster, $24.)	13	2
""	The searches made for shipwrecks that occurred during the past 150 years.		
""			
9	UNLIMITED ACCESS, by Gary Aldrich. (Regnery, $24.95.) Events in the Clinton	3	14
""	White House as reported by an F.B.I. agent formerly on duty there.		
""			
10	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	10	129
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
11	JOURNEY TO JUSTICE, by Johnnie L. Cochran Jr. with Tim Rutten. (One	--	1
""	World/Ballantine, $26.) The autobiography of the chief defense lawyer in the O. J.		
""	Simpson trial.		
""			
12	UNDAUNTED COURAGE, by Stephen E. Ambrose. (Simon & Schuster, $27.50.)	5	33
""	The story of how Thomas Jefferson sponsored Lewis and Clark's exploration.		
""			
13	HIS HOLINESS, by Carl Bernstein and Marco Politi. (Doubleday, $27.50.) The role	8	2
""	played by Pope John Paul II in the fall of Communism in Europe.		
""			
14	LEADING WITH MY CHIN, by Jay Leno with Bill Zehme. (HarperCollins, $22.) The	--	1
""	"autobiography of the host of ""The Tonight Show."""		
""			
15	DOWNSIZE THIS! by Michael Moore. (Crown, $21.) Observations on the current	--	1
""	"social and political scene by the director of ""Roger & Me."""		
