This	May 17, 1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	JEWELS, by Danielle Steel. (Delacorte, $23.) From New York schoolgirl to	--	1
""	doyenne of a French chateau: the life of a woman who becomes rich by dealing in		
""	precious stones.		
""			
2	ALL AROUND THE TOWN, by Mary Higgins Clark. (Simon & Schuster, $22.) The	2	4
""	plight of a college student accused of killing her professor.		
""			
3	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	1	10
""	student seeks to discover the truth about the murder of two Supreme Court		
""	justices.		
""			
4	"""I"" IS FOR INNOCENT, by Sue Grafton. (Holt, $18.95.) Kinsey Millhone"	3	4
""	investigates the case of a man once charged with murdering his rich wife.		
""			
5	JAZZ, by Toni Morrison. (Knopf, $21.) A couple in the Harlem of the 1920's learn	4	5
""	again and again that life does not keep its promises.		
""			
6	FRENCH SILK, by Sandra Brown. (Warner, $18.95.) The ordeal and romance of a	7	3
""	New Orleans businesswoman suspected of killing a television evangelist.		
""			
7	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $12.95.) Verse	8	108
""	and pictures.		
""			
8	RISING SUN, by Michael Crichton. (Knopf, $22.) The mysterious death of a young	5	14
""	woman leads to an investigation in which technology and the American-Japanese		
""	rivalry play major roles.		
""			
9	FOR LOVE ALONE, by Ivana Trump. (Pocket, $22.) The experiences of a	6	4
""	Czechoslovak-born skier married to a wealthy entrepreneur from an old Newport,		
""	R.I., family.		
""			
10	A THOUSAND ACRES, by Jane Smiley. (Knopf, $23.) An Iowa farmer shares his	--	2
""	heritage with three daughters.		
""			
11	AT WEDDINGS AND WAKES, by Alice McDermott. (Farrar, Straus & Giroux,	--	1
""	$19.) Growing up in an Irish Catholic family from Brooklyn, as experienced by		
""	three children.		
""			
12	THE LIVING, by Annie Dillard. (HarperCollins, $22.50.) Four decades in the lives	--	1
""	of the motley residents of the 19th-century Washington Territory.		
""			
13	THE ELF QUEEN OF SHANNARA, by Terry Brooks. (Del Rey/Ballantine, $22.)	11	10
""	The third volume in a series about a fantasy land.		
""			
14	"SCARLETT, by Alexandra Ripley. (Warner, $24.95.) The sequel to ""Gone With the"	12	32
""	"Wind."""		
This	May 17, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GIVE WAR A CHANCE, by P. J. O'Rourke. (Atlantic Monthly, $20.95.) Satirical	1	4
""	essays on recent social and political developments.		
""			
2	REVOLUTION FROM WITHIN, by Gloria Steinem. (Little, Brown, $22.95.) The	2	16
""	reflections of a feminist on the struggle to achieve self-esteem.		
""			
3	BACKLASH, by Susan Faludi. (Crown, $24.) A journalist contends that the media	4	26
""	and political groups are staging a war against women's rights.		
""			
4	ROGUE WARRIOR, by Richard Marcinko with John Weisman. (Pocket, $22.) The	3	9
""	memoirs of the retired commander of a counterterrorist unit.		
""			
5	TWO NATIONS, by Andrew Hacker. (Scribners, $24.95.) A political scientist	12	3
""	discusses the way racism affects American life.		
""			
6	HEAD TO HEAD, by Lester Thurow. (Morrow, $25.) The upcoming economic	14	2
""	battle among Japan, Europe and the United States.		
""			
7	WHO WILL TELL THE PEOPLE, by William Greider. (Simon & Schuster, $25.) A	--	2
""	journalist's account of how powerful monied interests and elite groups dominate		
""	the Federal Government.		
""			
8	REINVENTING GOVERNMENT, by David Osborne and Ted Gaebler.	8	6
""	(Patrick/Addison-Wesley, $22.95.) How government should operate.		
""			
9	THE DISUNITING OF AMERICA, by Arthur M. Schlesinger Jr. (Norton, $14.95.) A	9	7
""	historian considers the current emphasis on ethnicity.		
""			
10	DEN OF THIEVES, by James B. Stewart. (Simon & Schuster, $25.) Plunderers on	7	31
""	Wall Street.		
""			
11	THE WAY I SEE IT, by Patti Davis. (Putnam, $22.95.) The autobiography of the	--	1
""	daughter of Ronald and Nancy Reagan.		
""			
12	MOLLY IVINS CAN'T SAY THAT, CAN SHE? by Molly Ivins. (Random House,	--	25
""	$23.) Essays about the current political and cultural scene.		
""			
13	MIRACLE MAN, by Nolan Ryan with Jerry Jenkins. (Word Publishing, $18.99.)	--	1
""	The autobiography of the record-breaking pitcher.		
""			
14	DOUBLE CROSS, by Sam Giancana and Chuck Giancana. (Warner, $22.95.)	5	11
""	Two relatives of the late Sam Giancana recall his life in the Mafia.		
""			
15	MEMORIES, by Ralph Emery with Tom Carter. (Macmillan, $19.95.) The	10	24
""	autobiography of a country-music broadcaster.		
""			
16	PLAYING IN THE DARK, by Toni Morrison. (Harvard University, $14.95.) The	--	1
