This	October 19,1997	Last	Weeks
Week	Fiction	Week	On List
""			
1	FLOOD TIDE, by Clive Cussler. (Simon & Schuster, $26.) Dirk Pitt in pursuit of a	1	3
""	notorious Chinese smuggler at work in the United States.		
""			
2	COLD MOUNTAIN, by Charles Frazier. (Atlantic Monthly, $24.) A wounded	2	15
""	Confederate soldier journeys home toward the end of the Civil War to meet an old		
""	love and a new world.		
""			
3	THE BEST LAID PLANS, by Sidney Sheldon. (Morrow, $25.) The relationship	3	5
""	between a power-hungry governor and a beautiful woman determined to wreak		
""	revenge.		
""			
4	THE ANGEL OF DARKNESS, by Caleb Carr. (Random House, $25.95.) Dr.	4	4
""	Kreizler and his team pursue the kidnapper of a Spanish diplomat's child in 1897		
""	Manhattan.		
""			
5	UNDERWORLD, by Don DeLillo. (Scribner, $27.50.) From the Polo Grounds to	6	4
""	cyberspace: American life as lived by a man and woman during the past 50 years.		
""			
6	10 LB. PENALTY, by Dick Francis. (Putnam, $24.95.) A politician's career is	5	2
""	imperiled by actions taken by his enemies against his son, a onetime amateur		
""	jockey.		
""			
7	TIMEQUAKE, by Kurt Vonnegut. (Putnam, $23.95.) In 2001, the universe starts	7	2
""	shrinking back in time -- but decides to reverse itself when it reaches 1991.		
""			
8	THE NOTEBOOK, by Nicholas Sparks. (Warner, $16.95.) A World War II veteran	8	52
""	meets an old flame who is about to be married.		
""			
9	THE GOD OF SMALL THINGS, by Arundhati Roy. (Random House, $23.) Death	10	10
""	and secrets haunt a once-prosperous merchant family in contemporary India.		
""			
10	UNNATURAL EXPOSURE, by Patricia Cornwell. (Putnam, $25.95.) Dr. Kay	9	12
""	Scarpetta contends with a killer who uses a smallpox-like virus and cyberspace		
""	tricks.		
""			
11	NIGHT PASSAGE, by Robert B. Parker. (Putnam, $21.95.) A discharged Los	12	2
""	Angeles cop finds unexpected challenges as police chief in a small New England		
""	town.		
""			
12	DEJA DEAD, by Kathy Reichs. (Scribner, $24.) Dr. Temperance Brennan hunts a	11	6
""	serial killer at large in Montreal.		
""			
13	THE GRILLING SEASON, by Diane Mott Davidson. (Bantam, $22.95.) The	16	3
""	professional cook and amateur sleuth Goldy Schulz investigates the murder of her		
""	former husband's girlfriend.		
""			
14	PLUM ISLAND, by Nelson DeMille. (Warner, $25.) A detective probes the murder	14	20
This	October 19, 1997	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE ROYALS, by Kitty Kelley. (Warner, $27.) Gossip about the private lives of	1	3
""	members of the House of Windsor.		
""			
2	ANGELA'S ASHES, by Frank McCourt. (Scribner, $24.) An Irish-American writer	2	57
""	recalls his childhood amid the miseries of Limerick.		
""			
3	THE MAN WHO LISTENS TO HORSES, by Monty Roberts. (Random House,	3	9
""	$23.) The memoirs of a professional horse trainer.		
""			
4	THE PERFECT STORM, by Sebastian Junger. (Norton, $23.95.) An account of	4	19
""	the nor'easter of 1991, focusing on a crew of fishermen from Gloucester, Mass.		
""			
5	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	9	170
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
6	INTO THIN AIR, by Jon Krakauer. (Villard, $24.95.) A journalist's account of his	6	24
""	ascent of Mount Everest in 1996, the deadliest season in history.		
""			
7	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	7	44
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
8	DIRTY JOKES AND BEER, by Drew Carey. (Hyperion, $22.95.) Observations on	5	2
""	his life and life in general by the comedian.		
""			
9	BOOK, by Whoopi Goldberg. (Weisbach/Morrow, $22.) Twenty-five essays on a	--	1
""	variety of subjects by the actress and comedian.		
""			
10	DOGS NEVER LIE ABOUT LOVE, by Jeffrey Moussaieff Masson. (Crown, $24.) A	11	3
""	psychoanalyst's reflections on the emotional lives of dogs.		
""			
11	THE MILLIONAIRE NEXT DOOR, by Thomas J. Stanley and William D. Danko.	10	39
""	(Longstreet, $22.) An analysis of the lives of wealthy Americans.		
""			
12	DIANA, PRINCESS OF WALES, edited by Michael O'Mara. (St. Martin's, $25.) An	--	1
""	album of photographs.		
""			
13	BABYHOOD, by Paul Reiser. (Weisbach/Morrow, $22.) The problems and	8	7
""	pleasures of parenthood as perceived by the television star and comedian.		
""			
14	ROCK THIS! by Chris Rock. (Hyperion, $19.95.) Observations on life by the stand-	--	1
""	up comedian.		
""			
15	THE BIBLE CODE, by Michael Drosnin. (Simon & Schuster, $25.) A journalist	15	18
""	contends that important events have been predicted in the Bible.		
""			
16	THE GIFT OF FEAR, by Gavin de Becker. (Little, Brown, $22.95.) Intuitive signals	13	16
""	that can protect us from becoming the victims of violence.		
