This	December 6, 1998	Last	Weeks
Week	Fiction	Week	On List
""			
1	A MAN IN FULL, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) Life in Atlanta	1	3
""	on the cusp of the millennium, as Old South values collide with a new world.		
""			
2	MIRROR IMAGE, by Danielle Steel. (Delacorte, $26.95.) Identical twin sisters	2	3
""	experience quite dissimilar lives in New York and France early in this century.		
""			
3	WHEN THE WIND BLOWS, by James Patterson. (Little, Brown, $25.) A young girl	3	4
""	helps a widow and an F.B.I. agent uncover a deadly plot.		
""			
4	BAG OF BONES, by Stephen King. (Scribner, $28.) A series of terrifying events	5	9
""	besets a best-selling novelist four years after his wife's sudden death.		
""			
5	ALL THROUGH THE NIGHT, by Mary Higgins Clark. (Simon & Schuster, $17.)	4	6
""	The mystery of a missing child and a missing chalice is solved in time for		
""	Christmas.		
""			
6	THE POISONWOOD BIBLE, by Barbara Kingsolver. (Harper Flamingo, $26.) Five	8	6
""	female characters, a missionary's family, narrate this novel set in the Belgian		
""	Congo during that country's fight for independence.		
""			
7	THE SIMPLE TRUTH, by David Baldacci. (Warner, $25.) The appeal by a man	--	1
""	serving a life sentence for murder creates chaos in Washington's legal community.		
""			
8	RAINBOW SIX, by Tom Clancy. (Putnam, $27.95.) John Clark, heading an	9	16
""	international task force, investigates terrorist incidents in Switzerland, Germany		
""	and Spain.		
""			
9	THE VAMPIRE ARMAND, by Anne Rice. (Knopf, $26.95.) The progress of an	6	6
""	eternally young man from ancient Constantinople to contemporary New Orleans.		
""			
10	THE PATH OF DAGGERS, by Robert Jordan. (Tor/Doherty, $27.95.) The eighth	7	5
""	volume in the fantasy series ''The Wheel of Time.''		
""			
11	MEMOIRS OF A GEISHA, by Arthur Golden. (Knopf, $25.) The life of a young	13	54
""	woman growing up in Kyoto who has to reinvent herself after World War II begins.		
""			
12	TODAY I FEEL SILLY & OTHER MOODS THAT MAKE MY DAY, by Jamie Lee	14	5
""	Curtis. Illustrated by Laura Cornell. (Cotler/HarperCollins, $15.95.) The ever-		
""	changing moods of a young girl.		
""			
13	WELCOME TO THE WORLD, BABY GIRL! by Fannie Flagg. (Random House,	10	9
""	$25.95.) The pleasures and problems of a rising star in television news during the		
""	1970's.		
""			
14	THE LOCKET, by Richard Paul Evans. (Simon & Schuster, $15.95.) A young man	11	6
""	learns much about life, love and compassion while working in a nursing home.		
This	December 6, 1998	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) A sportswriter	1	59
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
2	THE CENTURY, by Peter Jennings and Todd Brewster. (Doubleday, $60.) An	--	1
""	account of the 20th century, complete with photographs and first-person		
""	narratives.		
""			
3	CONVERSATIONS WITH GOD: Book 3, by Neale Donald Walsch. (Hampton	4	3
""	Roads, $22.95.) Moral questions.		
""			
4	FOR THE LOVE OF THE GAME, by Michael Jordan. Edited by Mark Vancil.	2	4
""	(Crown, $50.) The N.B.A. superstar's profusely illustrated memoir.		
""			
5	THE PROFESSOR AND THE MADMAN, by Simon Winchester. (HarperCollins,	5	10
""	$22.) How a murderer helped compile the Oxford English Dictionary.		
""			
6	. . . AND THE HORSE HE RODE IN ON, by James Carville. (Simon & Schuster,	3	5
""	$14.95.) A critical account of Kenneth Starr and his investigation.		
""			
7	THE DEATH OF OUTRAGE, by William J. Bennett. (Free Press, $20.) The former	7	13
""	Secretary of Education takes a critical view of the Clinton Presidency.		
""			
8	BLIND MAN'S BLUFF, by Sherry Sontag and Christopher Drew with Annette	--	1
""	Lawrence Drew. (Public Affairs, $25.) American submarine espionage from the		
""	early cold war years to the present.		
""			
9	THE TEN COMMANDMENTS, by Laura Schlessinger and Stewart Vogel. (Cliff	6	11
""	Street/HarperCollins, $24.) The significance of the Ten Commandments today.		
""			
10	LINDBERGH, by A. Scott Berg. (Putnam, $30.) The checkered life of Charles A.	10	9
""	Lindbergh.		
""			
11	CONVERSATIONS WITH GOD: Book 1, by Neale Donald Walsch. (Putnam,	9	103
""	$19.95.) The author addresses questions of good and evil, guilt and sin.		
""			
12	SHAKESPEARE: The Invention of the Human, by Harold Bloom. (Riverhead,	12	4
""	$35.) The literary scholar argues that Shakespearean characters like Hamlet and		
""	Falstaff helped create new kinds of consciousness.		
""			
13	THE AMERICAN CENTURY, by Harold Evans with Gail Buckland and Kevin	--	1
""	Baker. (Knopf, $50.) A copiously illustrated political history of the 20th century that		
""	emphasizes America's role.		
""			
14	PURE DRIVEL, by Steve Martin. (Hyperion, $19.95.) Humor pieces by the actor,	14	8
""	comedian and writer.		
""			
15	DAVE BARRY TURNS 50, by Dave Barry. (Crown, $22.) The humorist reaches	11	6
