This	July 2, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RUSSIA HOUSE, by John le Carré. (Knopf, $19.95.) Espionage changes its	1	4
""	ways as glasnost begins to rust the Iron Curtain.		
""			
2	TALKING GOD, by Tony Hillerman. (Harper & Row, $17.95.) Two New Mexican	6	5
""	policemen pursue a mystery involving valuable Indian ceremonial masks.		
""			
3	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American	4	10
""	expatriate tries to thwart terrorists' attempts to prevent the signing of a		
""	disarmament pact.		
""			
4	RED PHOENIX, by Larry Bond. (Warner, $19.95.) Three American servicemen	7	5
""	and the roles they play in a second Korean war.		
""			
5	WHILE MY PRETTY ONE SLEEPS, by Mary Higgins Clark. (Simon & Schuster,	2	8
""	$19.95.) The murder of a gossip writer creates a storm in New York's high-fashion		
""	world.		
""			
6	CAPITAL CRIMES, by Lawrence Sanders. (Putnam, $19.95.) A self-anointed	5	5
""	messiah disrupts political and social life in Washington.		
""			
7	THE TEMPLE OF MY FAMILIAR, by Alice Walker. (Harcourt Brace Jovanovich,	3	9
""	$19.95.) The relations of the species, races and sexes through the past 5,000		
""	centuries.		
""			
8	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	8	13
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
9	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	9	18
""	Bombay find themselves enacting the roles of good and evil in contemporary		
""	London.		
""			
10	DAY OF THE CHEETAH, by Dale Brown (Fine, $18.95.) America's most	--	1
""	advanced weapon falls into the hands of a pilot who is a K.G.B. mole.		
""			
11	WE ARE STILL MARRIED, by Garrison Keillor. (Viking, $18.95.) Stories, poems	14	13
""	and satirical pieces, mostly reflecting life in Minnesota during the Reagan era.		
""			
12	A PRAYER FOR OWEN MEANY, by John Irving. (Morrow, $19.95.) A schoolboy	12	15
""	who accidentally killed the mother of his best friend turns into a prophet with a		
""	message for our times.		
""			
13	PLAYMATES, by Robert B. Parker. (Putnam, $17.95.) The private eye Spenser on	10	7
""	the trail of scandals in the world of college basketball.		
""			
14	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	--	41
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
This	July 2, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SUMMER OF '49, by David Halberstam. (Morrow, $21.95.) The year the Boston	3	6
""	Red Sox and the New York Yankees battled to the last game for the American		
""	League pennant.		
""			
2	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	2	35
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
3	A WOMAN NAMED JACKIE, by C. David Heymann. (Lyle Stuart, $21.95.) A	1	8
""	biography of Jacqueline Kennedy Onassis.		
""			
4	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	5	10
""	elations and frustrations of romantic relationships.		
""			
5	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	4	4
""	late comedian's memoir describes her battle with ovarian cancer.		
""			
6	THE GOOD TIMES, by Russell Baker. (Morrow, $19.95.) The New York Times	6	4
""	columnist recalls his experiences from Baltimore newsboy to Washington		
""	correspondent during the 50's and 60's.		
""			
7	PAPA, MY FATHER, by Leo Buscaglia.  (Slack, $12.95.) The celebrator of the	11	2
""	dynamics of human love recalls life with his immigrant father.		
""			
8	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	8	63
""	scientist reviews efforts to create a unified theory of the universe.		
""			
9	THE NIGHT THE BEAR ATE GOOMBAW, by Patrick F. McManus. (Holt, $15.95.)	9	8
""	Twenty-six semiautobiographical yarns by a devoted outdoorsman.		
""			
10	THE ANDY WARHOL DIARIES, edited by Pat Hackett. (Warner, $29.95.)	7	6
""	Observations and opinions dictated by the artist and celebrity from 1976 to 1987.		
""			
11	ABOUT FACE, by David H. Hackworth and Julie Sherman. (Simon & Schuster,	10	8
""	$24.95.) A career Army officer recalls his experiences in the Korean and Vietnam		
""	wars and in the Berlin wall and Cuban missile crises.		
""			
12	NOT THAT YOU ASKED . . ., by Andrew A. Rooney. (Random House, $15.95.)	--	3
""	More than 200 essays by the journalist and television personality.		
""			
13	YOGI: It Ain't Over . . ., by Yogi Berra with Tom Horton. (McGraw-Hill, $18.95.)	--	3
""	The reminiscences and witticisms of the baseball catcher, manager and coach.		
""			
14	DAVE BARRY SLEPT HERE, by Dave Barry.  (Random House, $12.95.)  A	--	1
""	humorist's account of American history.		
""			
15	CITIZENS, by Simon Schama. (Knopf, $29.95.) A history of the French	13	12
""	Revolution.		
