This	May 17, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	FINE THINGS, by Danielle Steel. (Delacorte, $18.95.) The vicissitudes of a son of	1	9
""	the 60's on his way to the 80's.		
""			
2	THE HAUNTED MESA, by Louis L'Amour. (Bantam, $18.95.) Unraveling the	--	1
""	mystery of Indian cliff dwellers who disappeared centuries ago.		
""			
3	TEXASVILLE, by Larry McMurtry. (Simon & Schuster, $18.95.) From the 50's to	4	6
""	the 80's in Thalia, Tex. - a sequel to ''The Last Picture Show.''		
""			
4	WINDMILLS OF THE GODS, by Sidney Sheldon. (Morrow, $18.95.) The	2	15
""	nightmarish experiences that befall a woman and her family after her appointment		
""	as Ambassador to Rumania.		
""			
5	THE LADIES OF MISSALONGHI, by Colleen McCullough. (Harper & Row,	3	6
""	$12.95.) Men may dominate but women rule in an Australian town at the turn of		
""	the century.		
""			
6	DESTINY, by Sally Beauman. (Bantam, $19.95.) The 30-year romance of a couple	5	8
""	with diverse backgrounds and ambitions.		
""			
7	THE EYES OF THE DRAGON, by Stephen King. (Viking, $18.95.) A fairy tale,	6	16
""	complete with an aged king, two princes, an evil wizard and a mouse.		
""			
8	BOLT, by Dick Francis. (Putnam, $17.95.) The jockey-hero of ''Break In'' has to	7	10
""	contend with a romantic crisis and an arms-selling intrigue.		
""			
9	NO DEALS, MR. BOND, by John Gardner. (Putnam, $13.95.) James Bond returns	11	4
""	to solve a case of ritual killings of amazing similarity.		
""			
10	THE THANATOS SYNDROME, by Walker Percy. (Farrar, Straus & Giroux,	8	6
""	$17.95.) The continuing battle between good and evil, seen through a		
""	psychiatrist's adventures in 1996.		
""			
11	RED STORM RISING, by Tom Clancy. (Putnam, $19.95.) The West tries to stave	9	42
""	off the Russians in World War III.		
""			
12	GUARDIANS OF THE WEST, by David Eddings. (Del Rey/Ballantine, $16.95.)	12	3
""	Kings, sorcerers, gods and men in a 7,000-year war.		
""			
13	HEIRESS, by Janet Dailey. (Little, Brown, $17.95.) Two sisters, one legitimate,	--	1
""	one not, vie for their father's affection and fortune.		
""			
14	WINTER HAWK, by Craig Thomas. (Morrow, $18.95.) Thwarting a Russian plot to	16	3
""	launch a ''Star Wars'' weapon on the eve of the signing of a disarmament treaty.		
""			
15	THE PRINCE OF TIDES, by Pat Conroy. (Houghton Mifflin, $19.95.) Complex	10	33
""	family relationships in South Carolina and New York City.		
This	May 17, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LOVE, MEDICINE & MIRACLES, by Bernie S. Siegel. (Harper & Row, $15.95.) A	3	6
""	surgeon stresses the importance of the patient's mind and emotions.		
""			
2	COMMUNION, by Whitley Strieber. (Beech Tree/ Morrow, $17.95.) A professional	1	12
""	writer tells of the visits of ''intelligent nonhumans'' to his home.		
""			
3	HOLD ON, MR. PRESIDENT! by Sam Donaldson. (Random House, $17.95.) A	2	6
""	White House television correspondent comments on his assignment.		
""			
4	A SEASON ON THE BRINK, by John Feinstein. (Macmillan, $16.95.) A chronicle	4	20
""	of one season spent with the Indiana University basketball team.		
""			
5	THE CLOSING OF THE AMERICAN MIND, by Allan Bloom. (Simon & Schuster,	10	3
""	$18.95.) A critique of liberal arts education during the past 25 years.		
""			
6	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	5	24
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
7	THIS 'N THAT, by Bette Davis with Michael Herskowitz. (Putnam, $17.95.) The	6	5
""	actress's memories and opinions.		
""			
8	GLORY DAYS, by Dave Marsh. (Pantheon, $18.95.) Bruce Springsteen in the	12	2
""	1980's.		
""			
9	BOONE, by T. Boone Pickens Jr. (Houghton Mifflin, $18.95.) The autobiography of	8	9
""	an oilman.		
""			
10	THE FITZGERALDS AND THE KENNEDYS, by Doris Kearns Goodwin. (Simon &	9	13
""	Schuster, $22.95.) Three generations of the Kennedy family.		
""			
11	HAMMER, by Armand Hammer with Neil Lyndon. (Putnam, $22.95.) The	--	1
""	autobiography of an octogenarian industrialist and philanthropist.		
""			
12	INTIMATE PARTNERS, by Maggie Scarf. (Random House, $18.95.) Changing	11	11
""	patterns in love and marriage.		
""			
13	THE FATAL SHORE, by Robert Hughes. (Knopf, $24.95.) Australia as a penal	7	14
""	colony.		
""			
14	BE TRUE TO YOUR SCHOOL, by Bob Greene. (Atheneum, $18.95.) The year	--	1
""	1964, as recorded in the diary of a high school student.		
""			
15	VANNA SPEAKS, by Vanna White with Patricia Romanowski. (Warner, $15.95.)	--	1
""	The life and times of the ''hostess'' on ''Wheel of Fortune.''		
""			
16	WHEN SOCIETY BECOMES AN ADDICT, by Anne Wilson Schaef. (Harper &	--	1
""	Row, $15.95.) Dependency on certain theories and substances as the underlying		
