This	March 5, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	STAR, by Danielle Steel. (Delacorte, $19.95.) The crossed paths of a man and a	1	2
""	woman, both destined for stardom, one in Washington and the other in Hollywood.		
""			
2	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	--	1
""	Bombay find themselves enacting the roles of good and evil in contemporary		
""	London.		
""			
3	THE EDGE, by Dick Francis. (Putnam, $18.95.) Murder and mayhem on a luxury	9	2
""	trans-Canadian train trip.		
""			
4	MIDNIGHT, by Dean R. Koontz. (Putnam, $19.95.) Inexplicable deaths and	2	6
""	strange horrors take over a once idyllic California town.		
""			
5	CAT'S EYE, by Margaret Atwood. (Doubleday, $18.95.) A woman's visit to her	6	3
""	native Toronto leads her to reflect on the changes time has wrought on the city		
""	and herself.		
""			
6	THE SANDS OF TIME, by Sidney Sheldon. (Morrow, $19.95.) Four nuns become	3	16
""	pawns in a struggle between the Spanish Army and Basque separatists.		
""			
7	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	5	31
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
8	BILLY BATHGATE, by E. L. Doctorow. (Random House, $19.95.) The life of the	--	1
""	1930's gangster Dutch Schultz, as seen by a bright youth from the Bronx.		
""			
9	THE FORTUNE, by Michael Korda. (Summit, $19.95.) A young woman's ill-fated	13	2
""	romance with the head of America's richest family.		
""			
10	RIVALS, by Janet Dailey. (Little, Brown, $18.95.) Feuding families compete in	4	7
""	business and romance.		
""			
11	A SEASON IN HELL, by Jack Higgins. (Simon & Schuster, $18.95.) A young	7	7
""	widow's quest for her stepson's killers leads to horrendous adventures.		
""			
12	MUTATION, by Robin Cook. (Putnam, $18.95.) A physician's attempt to create a	8	6
""	superior child results in a prodigy that turns into a terror.		
""			
13	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	11	24
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
14	STORMING INTREPID, by Payne Harrison. (Crown, $19.95.) Warfare waged in	--	2
""	outer space between the United States and the Soviet Union.		
""			
15	THE LYRE OF ORPHEUS, by Robertson Davies. (Viking, $19.95.) The staging of	10	8
""	an unfinished Hoffmann opera causes its participants to relive the legend of King		
""	Arthur.		
This	March 5, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	18
""	Fulghum. (Villard, $15.95.) Inspirational essays.		
""			
2	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	2	6
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
3	THE BLOODING, by Joseph Wambaugh. (Morrow, $18.95.) The murder of two	6	3
""	teen-age girls in an English village is solved through genetic clues.		
""			
4	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	3	46
""	scientist reviews efforts to create a unified theory of the universe.		
""			
5	GRACIE, by George Burns. (Putnam, $16.95.) The life of the comedian Gracie	4	16
""	Allen.		
""			
6	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	5	21
""	of the American Revolution.		
""			
7	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	9	11
""	Feynman with Ralph Leighton. (Norton, $17.95.) Memoirs of the Nobel Prize-		
""	winning physicist.		
""			
8	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	10	5
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales.		
""			
9	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) Winston	7	20
""	Churchill's life, 1932-40.		
""			
10	PARTING THE WATERS, by Taylor Branch. (Simon & Schuster, $24.95.) The rise	8	8
""	of the American civil rights movement.		
""			
11	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	15	2
""	mathematical illiteracy and its consequences for our culture.		
""			
12	CHILD STAR, by Shirley Temple Black. (McGraw- Hill, $19.95.) The former	11	17
""	actress's autobiography.		
""			
13	DON'T BEND OVER IN THE GARDEN, GRANNY, YOU KNOW THEM TATERS	14	16
""	GOT EYES, by Lewis Grizzard. (Villard, $15.95.) Humor with a Southern accent.		
""			
14	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	13	19
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
15	THE BOY WHO COULDN'T STOP WASHING, by Judith L. Rapoport. (Dutton,	12	3
""	$17.95.) A psychiatrist's account of the symptoms and treatment of an obsessive-		
""	compulsive disorder.		
