This	June 11, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RUSSIA HOUSE, by John le Carré. (Knopf, $19.95.) Espionage changes its	--	1
""	ways as glasnost begins to rust the Iron Curtain.		
""			
2	WHILE MY PRETTY ONE SLEEPS, by Mary Higgins Clark. (Simon & Schuster,	1	5
""	$19.95.) The murder of a gossip writer creates a storm in New York's high-fashion		
""	world.		
""			
3	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American	2	7
""	expatriate tries to thwart terrorists' attempts to prevent the signing of a		
""	disarmament pact.		
""			
4	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	4	10
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
5	THE TEMPLE OF MY FAMILIAR, by Alice Walker. (Harcourt Brace Jovanovich,	3	6
""	$19.95.) The relations of the species, races and sexes through the past 5,000		
""	centuries.		
""			
6	PLAYMATES, by Robert B. Parker. (Putnam, $17.95.) The private eye Spenser on	5	4
""	the trail of scandals in the world of college basketball.		
""			
7	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	6	15
""	Bombay find themselves enacting the roles of good and evil in contemporary		
""	London.		
""			
8	CAPITAL CRIMES, by Lawrence Sanders. (Putnam, $19.95.) A self-anointed	15	2
""	messiah disrupts political and social life in Washington.		
""			
9	TALKING GOD, by Tony Hillerman. (Harper & Row, $17.95.) Two New Mexican	11	2
""	policemen pursue a mystery involving valuable Indian ceremonial masks.		
""			
10	STRANGER IN SAVANNAH, by Eugenia Price. (Doubleday, $19.95.) The	8	5
""	vicissitudes of three families during the Civil War.		
""			
11	RED PHOENIX, by Larry Bond. (Warner, $19.95.) Three American servicemen	14	2
""	and the roles they play in a second Korean war.		
""			
12	A PRAYER FOR OWEN MEANY, by John Irving. (Morrow, $19.95.) A schoolboy	9	12
""	who accidentally killed the mother of his best friend turns into a prophet with a		
""	message for our times.		
""			
13	GARDEN OF LIES, by Eileen Goudge. (Viking, $19.95.) Two women - one born to	--	1
""	wealth, one to poverty - whose identities would be forever linked by a mother's		
""	reckless act.		
""			
14	WE ARE STILL MARRIED, by Garrison Keillor. (Viking, $18.95.) Stories, poems	10	10
""	and satirical pieces, mostly reflecting life in Minnesota during the Reagan era.		
This	June 11, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A WOMAN NAMED JACKIE, by C. David Heymann. (Lyle Stuart, $21.95.) A	1	5
""	biography of Jacqueline Kennedy Onassis.		
""			
2	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	2	32
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
3	SUMMER OF '49, by David Halberstam. (Morrow, $21.95.) The year the Boston	4	3
""	Red Sox and the New York Yankees battled to the last game for the American		
""	League pennant.		
""			
4	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	3	7
""	elations and frustrations of romantic relationships.		
""			
5	THE ANDY WARHOL DIARIES, edited by Pat Hackett. (Warner, $29.95.)	6	3
""	Observations and opinions dictated by the artist and celebrity from 1976 to 1987.		
""			
6	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	5	60
""	scientist reviews efforts to create a unified theory of the universe.		
""			
7	“FUNNY, YOU DON'T LOOK LIKE A GRANDMOTHER,'' by Lois Wyse. (Crown,	7	13
""	$12.95.) An advertising woman's reflections on her role as the grandparent of		
""	eight.		
""			
8	THE GOOD TIMES, by Russell Baker. (Morrow, $19.95.) The New York Times	--	1
""	columnist recalls his experiences from Baltimore newsboy to Washington		
""	correspondent during the 50's and 60's.		
""			
9	THE NIGHT THE BEAR ATE GOOMBAW, by Patrick F. McManus. (Holt, $15.95.)	9	5
""	Twenty-six semiautobiographical yarns by a devoted outdoorsman.		
""			
10	CITIZENS, by Simon Schama. (Knopf, $29.95.) A history of the French	10	9
""	Revolution.		
""			
11	ABOUT FACE, by David H. Hackworth and Julie Sherman. (Simon & Schuster,	8	5
""	$24.95.) A career Army officer recalls his experiences in the Korean and Vietnam		
""	wars and in the Berlin wall and Cuban missile crises.		
""			
12	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	13	16
""	mathematical illiteracy and its consequences for our culture.		
""			
13	GOLDWYN, by A. Scott Berg. (Knopf, $24.95.) The life of the pioneering motion	11	7
""	picture producer.		
""			
14	OUT OF THE BLUE, by Orel Hershiser with Jerry B. Jenkins. (Wolgemuth & Hyatt,	12	8
""	$17.95.) The autobiography of the Los Angeles Dodgers' pitcher.		
""			
15	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	--	1
