This	June 10, 1984	Last	Weeks
Week	Fiction	Week	On List
""			
1	FULL CIRCLE, by Danielle Steel. (Delacorte, $15.95.) The relationship of a	1	3
""	mother and daughter is altered by the changing values of the past 40 years.		
""			
2	THE AQUITAINE PROGRESSION, by Robert Ludlum. (Random House, $17.95.)	2	14
""	A lawyer is caught in a conspiracy to seize the Western world.		
""			
3	THE HAJ, by Leon Uris. (Doubleday, $17.95.) One man's experience in the bloody	4	9
""	wars of the Holy Land.		
""			
4	THE WALKING DRUM, by Louis L'Amour. (Bantam, $15.95.) A young man from	3	3
""	Brittany sets out to free his father, enslaved in 12th-century Asia.		
""			
5	THE WITCHES OF EASTWICK, by John Updike. (Knopf, $15.95.) Three witches	6	2
""	wreak havoc in a contemporary Rhode Island town.		
""			
6	THE BUTTER BATTLE BOOK, by Dr. Seuss. (Random House, $6.95.) A warning	5	13
""	about the nuclear arms race in words and pictures.		
""			
7	HERETICS OF DUNE, by Frank Herbert. (Putnam, $16.95.) The fifth volume of a	6	10
""	series about life on a faraway planet.		
""			
8	DEEP SIX, by Clive Cussler. (Simon & Schuster, $17.95.) One man copes with a	9	2
""	sinister Asian shipping family and an even more threatening Soviet plot.		
""			
9	DESCENT FROM XANADU, by Harold Robbins. (Simon & Schuster, $15.95.) A	10	6
""	man who has everything - power, money, women - seeks to obtain immortality.		
""			
10	THE WHEEL OF FORTUNE, by Susan Howatch. (Simon & Schuster, $19.95.)	15	2
""	The legends of an old manor haunt four generations of an English family.		
""			
11	WARDAY, by Whitley Strieber and James W. Kunetka. (Holt, $15.95.) What	14	7
""	follows the first nuclear war in 1988.		
""			
12	THE DANGER, by Dick Francis. (Putnam, $15.95.) A kidnapper at large in the	8	11
""	horse racing world.		
""			
13	SMART WOMEN, by Judy Blume. (Putnam, $15.95.) Three divorcees, their love	12	18
""	affairs and their kids in trendy Boulder, Colo.		
""			
14	DEMOCRACY, by Joan Didion. (Simon & Schuster, $16.95.) Love, ambition and	12	4
""	murder in Honolulu.		
""			
15	PET SEMATARY, by Stephen King. (Doubleday, $15.95.) The new family in town	11	32
""	discovers the horrors that lie in a neighboring cemetery.		
This	June 10, 1984	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MOTHERHOOD: The Second Oldest Profession, by Erma Bombeck. (McGraw-	1	38
""	Hill, $12.95.) A humorous look at the biggest on-the-job training program ever.		
""			
2	FIRST LADY FROM PLAINS, by Rosalynn Carter. (Houghton Mifflin, $17.95.)	3	5
""	Memoirs.		
""			
3	PAST IMPERFECT, by Joan Collins. (Simon & Schuster, $16.95.) The	2	7
""	autobiography of the star of the ''Dynasty'' TV series.		
""			
4	ONE WRITER'S BEGINNINGS, by Eudora Welty. (Harvard University Press, $10.)	4	14
""	The novelist recalls her childhood in Mississippi.		
""			
5	THE MARCH OF FOLLY, by Barbara W. Tuchman. (Knopf, $18.95.) The blunders	5	13
""	of government in four periods, from Troy to Vietnam.		
""			
6	BALLS, by Graig Nettles and Peter Golenbock. (Putnam, $14.95.) The San Diego	7	6
""	third baseman tells about his life with the New York Yankees.		
""			
7	THE FIRE FROM WITHIN, by Carlos Castaneda. (Simon & Schuster, $16.50.)	6	4
""	Another report on the world of magic and sorcery.		
""			
8	MAYOR, by Edward I. Koch with William Rauch. (Simon & Schuster, $17.95.) New	7	17
""	York's mayor's opinions about his job, his city and the world.		
""			
9	CAVEAT, by Alexander M. Haig Jr. (Macmillan, $17.95.) President Reagan's first	9	6
""	Secretary of State gives his views on foreign policy.		
""			
10	KNOCK WOOD, by Candice Bergen. (Linden Press/Simon & Schuster, $15.95.)	10	6
""	The autobiography of the actress, daughter of Edgar Bergen.		
""			
11	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Light verse	11	89
""	and drawings by the author.		
""			
12	NATALIE, by Lana Wood. (Putnam, $15.95.) A sister's memoir of the actress	13	3
""	Natalie Wood.		
""			
13	THE DISCOVERERS, by Daniel J. Boorstin. (Random House, $25.) Man's search	14	22
""	to know himself and the world over the centuries.		
""			
14	THE NIGHTMARE YEARS: 1930-1940, by William L. Shirer. (Little, Brown,	--	1
""	$22.50.) Second volume of the memoirs of a celebrated foreign correspondent.		
""			
15	FURTHER UP THE ORGANIZATION, by Robert Townsend. (Knopf, $15.95.)	15	9
""	Business strategies for the 1980's.		
