This	March 18, 1984	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE AQUITAINE PROGRESSION, by Robert Ludlum. (Random House, $17.95.)	1	2
""	A lawyer is caught in a conspiracy to seize the Western world.		
""			
2	PET SEMATARY, by Stephen King. (Doubleday, $15.95.) The new family in town	2	20
""	discovers the horrors that lie in a neighboring cemetery.		
""			
3	ALMOST PARADISE , by Susan Isaacs. (Harper & Row, $16.95.) Three	4	6
""	generations of show-biz people play out their destinies on two continents.		
""			
4	SMART WOMEN, by Judy Blume. (Putnam, $15.95.) Three divorcees, their love	3	6
""	affairs and their kids in trendy Boulder, Colo.		
""			
5	WHO KILLED THE ROBINS FAMILY?, created by Bill Adler and written by	5	29
""	Thomas Chastain. (Morrow, $9.95.) The publisher offers a $10,000 prize to the		
""	reader who submits the best answer.		
""			
6	POLAND, by James A. Michener. (Random House, $17.95.) Seven centuries of	6	29
""	history in fictional form.		
""			
7	THE NAME OF THE ROSE, by Umberto Eco. (Helen & Kurt Wolff/Harcourt Brace	7	39
""	Jovanovich, $15.95.) Unraveling the mystery of a murder in a 14th-century Italian		
""	monastery.		
""			
8	NIGHT SKY, by Clare Francis. (Morrow, $16.95.) Three intertwined lives in	9	5
""	occupied France during World War II.		
""			
9	THE BUTTER BATTLE BOOK, by Dr. Seuss. (Random House, $6.95.) A warning	--	1
""	about the nuclear arms race in words and pictures.		
""			
10	LORD OF THE DANCE, by Andrew M. Greeley. (Bernard Geis/Warner, $17.50.)	13	2
""	In seeking her long-lost cousin, a teen-ager probes the mysteries of life and death.		
""			
11	THE STORY OF HENRI TOD, by William F. Buckley Jr. (Doubleday, $14.95.)	8	8
""	Superspy Blackford Oakes carries out a mission in Berlin at the time The Wall		
""	goes up.		
""			
12	BERLIN GAME, by Len Deighton. (Knopf, $15.95.) Espionage on both sides of the	10	13
""	Iron Curtain.		
""			
13	THE JOURNEYER, by Gary Jennings. (Atheneum, $17.95.) Marco Polo's journey	12	6
""	to the Orient in the 13th century.		
""			
14	CHANGES, by Danielle Steel. (Delacorte, $15.95.) The crises that arise when a	11	28
""	television anchorwoman and a glamorous physician fall in love.		
""			
15	UNTO THIS HOUR, by Tom Wicker. (Viking, $19.95.) Three days in August, 1862,	--	1
""	when a battle was fought at Manassas, Va.		
This	March 18, 1984	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAYOR, by Edward I. Koch with William Rauch. (Simon & Schuster, $17.95.) New	1	5
""	York's mayor's opinions about his job, his city and the world.		
""			
2	LINES AND SHADOWS, by Joseph Wambaugh. (Perigord/Morrow, $15.95.)	5	4
""	Adventures of the San Diego police force that stalks bandits along the Mexican		
""	border.		
""			
3	MOTHERHOOD: The Second Oldest Profession, by Erma Bombeck. (McGraw-	2	26
""	Hill, $12.95.) A humorous look at the biggest on-the-job training program ever.		
""			
4	TOUGH TIMES NEVER LAST, BUT TOUGH PEOPLE DO! by Robert H. Schuller.	3	21
""	(Thomas Nelson, $12.95.) Inspiration from a California preacher.		
""			
5	ON WINGS OF EAGLES, by Ken Follett. (Morrow, $17.95.) The rescue of two	4	29
""	Americans from an Iranian prison.		
""			
6	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	6	62
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
7	THE DISCOVERERS, by Daniel J. Boorstin. (Random House, $25.) Man's search	7	11
""	to know himself and the world over the centuries.		
""			
8	THE BEST OF JAMES HERRIOT. (St. Martin's, $19.95.) Selections from the	8	27
""	writings of the Yorkshire veterinarian.		
""			
9	TOUGH-MINDED FAITH FOR TENDERHEARTED PEOPLE, by Robert H.	9	5
""	Schuller. (Thomas Nelson, $14.95.) More inspiration from a California preacher.		
""			
10	APPROACHING HOOFBEATS: HORSEMEN OF THE APOCALYPSE, by Billy	11	11
""	Graham. (Word Books, $11.95.) The evangelist's interpretation of the Book of		
""	Revelation.		
""			
11	PEOPLE OF THE LIE, by M. Scott Peck. (Simon & Schuster, $15.95.) A	10	6
""	psychiatrist's prescription for ''healing human evil.''		
""			
12	THE MARCH OF FOLLY, by Barbara W. Tuchman. (Knopf, $18.95.) The blunders	--	1
""	of government in four periods, from Troy to Vietnam.		
""			
13	FURTHER UP THE ORGANIZATION, by Robert Townsend. (Knopf, $15.95.)	--	1
""	Business strategies for the 1980’s.		
""			
14	ONE WRITER'S BEGINNINGS, by Eudora Welty. (Harvard University Press, $10.)	14	2
""	The novelist recalls her childhood in Mississippi.		
""			
15	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Light verse	13	79
""	and drawings by the author.		
