This	September 15, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Recollections of a	2	3
""	small town.		
""			
2	LUCKY, by Jackie Collins. (Simon & Schuster, $17.95.) The heiress of a crime	1	4
""	lord takes on the heiress of a shipping tycoon in fashionable settings.		
""			
3	SKELETON CREW, by Stephen King. (Putnam, $18.95.) Twenty-two tales of	3	13
""	contemporary horror.		
""			
4	THE FOURTH DEADLY SIN, by Lawrence Sanders. (Putnam, $17.95.) Which of	4	9
""	six suspects murdered a saintly New York psychiatrist?		
""			
5	THE TWO MRS. GRENVILLES, by Dominick Dunne. (Crown, $14.95.) Romance,	6	5
""	scandal and murder in New York's high society.		
""			
6	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	5	26
""	$14.95.) A Lithuanian submarine driver defects to the United States.		
""			
7	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	8	12
""	West larger than life.		
""			
8	TOO MUCH, TOO SOON, by Jacqueline Briskin. (Putnam, $17.95.) Three sisters	9	4
""	find their destinies bound by an obsession with the same man.		
""			
9	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	7	17
""	orphanage earlier in this century.		
""			
10	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) A restless explorer scouts	13	17
""	the 17th-century American wilderness.		
""			
11	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	10	34
""	destroys the crime lords who got her an undeserved prison term.		
""			
12	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	14	18
""	the family saga begun in ''A Woman of Substance.''		
""			
13	LESS THAN ZERO, by Bret Easton Ellis. (Simon & Schuster, $15.95.) The	--	1
""	hedonistic lives of Los Angeles's rich kids.		
""			
14	THE CLASS, by Erich Segal. (Bantam, $17.95.) What happened to five members	--	17
""	of the class of 1958 after they left Harvard.		
""			
15	FALL FROM GRACE, by Larry Collins. (Simon & Schuster, $17.95.) Machinations	15	9
""	by spies, double agents and a beautiful woman on the eve of D-Day.		
""			
16	A MAGGOT, by John Fowles. (Little, Brown, $19.95.) Five travelers in 18th-	--	1
""	century England have mysterious, wonderful and eerie adventures.		
This	September 15, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	1	10
""	From West Virginia hillbilly to World War II fighter pilot to the first man to fly faster		
""	than sound.		
""			
2	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	2	46
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
3	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	3	19
""	House, $19.95.) Ways to achieve distinction in management.		
""			
4	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	4	24
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
5	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	5	54
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
6	THE MICK, by Mickey Mantle with Herb Gluck. (Doubleday, $15.95.) The	6	8
""	autobiography of the Oklahoma farm boy who became a New York Yankee		
""	baseball star.		
""			
7	THE AMATEURS, by David Halberstam. (Morrow, $14.95.) Four American men	7	5
""	seek the 1984 Olympic gold medal for single sculling.		
""			
8	HAMMER OF THE GODS: The Led Zeppelin Saga, by Stephen Davis. (Morrow,	8	6
""	$15.95.) The British heavy metal group's boisterous tours of the 1970's.		
""			
9	FINAL CUT, by Steven Bach. (Morrow, $19.95.) How the making of the film	12	2
""	''Heaven's Gate'' proved the unmaking of United Artists.		
""			
10	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	10	18
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
11	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) How the	15	54
""	author of ''Jonathan Livingston Seagull'' sought a true love.		
""			
12	NUTCRACKER, by Shana Alexander. (Doubleday, $17.95.) Treachery, mystery	11	11
""	and high society in the 1978 murder of a Mormon multimillionaire.		
""			
13	THE HEART OF THE DRAGON, by Alasdair Clayre. (Houghton Mifflin, $29.95.)	--	8
""	Companion volume to the PBS television series on China.		
""			
14	MARTINA, by Martina Navratilova with George Vecsey. (Knopf, $16.95.) The	4	9
""	autobiography of the Czechoslovak-born tennis champion.		
""			
15	THE GRASSHOPPER TRAP, by Patrick F. McManus. (Holt, $13.95.) Amusing	13	5
""	pieces about pursuing pleasures in the great outdoors.		
