This	October 19,1986	Last	Weeks
Week	Fiction	Week	On List
""			
1	IT, by Stephen King. (Viking, $22.95.) Childhood horrors haunt six men and a	1	6
""	woman who grew up in a small Maine town.		
""			
2	RED STORM RISING, by Tom Clancy. (Putnam, $19.95.) Without using nuclear	2	12
""	weapons, the West staves off the Russians in World War III.		
""			
3	HOLLYWOOD HUSBANDS, by Jackie Collins. (Simon & Schuster, $18.95.) A top	--	1
""	New York model encounters three of Los Angeles's most dynamic men.		
""			
4	WANDERLUST, by Danielle Steel. (Delacorte, $17.95.) A rich orphan comes of	3	14
""	age while she travels the world.		
""			
5	THE PRINCE OF TIDES, by Pat Conroy. (Houghton Mifflin, $19.95.) The complex	6	3
""	relationships of families in New York City and South Carolina's low country.		
""			
6	THROUGH A GLASS DARKLY, by Karleen Koen. (Random House, $19.95.)	4	7
""	Romance, family conflict, power and greed mark a young woman's life in 18th-		
""	century England and France.		
""			
7	ROGER'S VERSION, by John Updike. (Knopf, $17.95.) A fiftyish professor	5	5
""	wrestles with God, sex, science, technology, mathematics and computers.		
""			
8	THE BEET QUEEN, by Louise Erdrich. (Holt, $16.95.) Forty years of life in a small	8	4
""	North Dakota town near an Indian reservation.		
""			
9	THE GOLDEN CUP, by Belva Plain. (Delacorte, $17.95.) Continuing the saga of a	9	2
""	turn-of-the-century New York family begun in ''Evergreen.''		
""			
10	A MATTER OF HONOR, by Jeffrey Archer. (Linden/Simon & Schuster, $18.95.)	7	16
""	Nazi intrigue and a family secret that could change the course of the cold war.		
""			
11	LAST OF THE BREED, by Louis L'Amour. (Bantam, $17.95.) The adventures of a	11	19
""	United States Air Force major in Siberia.		
""			
12	FOUNDATION AND EARTH, by Isaac Asimov. (Doubleday, $16.95.) In the fifth	--	1
""	volume of the ''Foundation'' series, the hero continues his search for the lost		
""	planet Earth.		
""			
13	REGRETS ONLY, by Sally Quinn. (Simon & Schuster, $18.95.) Two women, two	10	9
""	men, passion and power brokering in Washington.		
""			
14	THE GOOD MOTHER, by Sue Miller. (Harper & Row, $17.95.) A woman's	16	23
""	attachment to her daughter presents her with a dilemma.		
""			
15	THE WILD BLUE, by Walter J. Boyne and Steven L. Thompson. (Crown, $19.95.)	--	1
""	Six members of the Air Force at work, at play and in love.		
This	October 19, 1986	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	HIS WAY, by Kitty Kelley. (Bantam, $21.95.) From Hoboken to superstardom: an	1	2
""	unauthorized biography of Frank Sinatra.		
""			
2	FATHERHOOD, by Bill Cosby. (Dolphin/ Doubleday, $14.95.) Anecdotes and	2	24
""	ruminations from the television star and father of five.		
""			
3	MAYFLOWER MADAM, by Sydney Biddle Barrows with William Novak. (Arbor	3	5
""	House, $17.95.) A member of one of America's oldest families tells of the world's		
""	oldest profession.		
""			
4	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	4	32
""	the Golden Years Clinic in pictures and rhyme.		
""			
5	MCMAHON! by Jim McMahon with Bob Verdi. (Warner, $16.95.) The	10	4
""	autobiography of the quarterback for the Chicago Bears.		
""			
6	THE STORY OF ENGLISH, by Robert McCrum, William Cran and Robert	12	2
""	MacNeil. (Sifton/Viking, $24.95.) Companion volume to the PBS series about the		
""	world's most widely used language.		
""			
7	SNAKE, by Ken Stabler and Berry Stainback. (Doubleday, $15.95.) The	5	4
""	experiences of the retired Oakland Raiders quarterback.		
""			
8	ONE KNEE EQUALS TWO FEET, by John Madden with Dave Anderson. (Villard,	6	4
""	$16.95.) Observations on football by the television commentator and former		
""	Oakland Raiders coach.		
""			
9	NECESSARY LOSSES, by Judith Viorst. (Simon & Schuster, $17.95.) Life is a	8	26
""	series of losses, the author argues, and we must confront them to grow.		
""			
10	JAMES HERRIOT'S DOG STORIES, by James Herriot. (St. Martin's, $19.95.)	9	23
""	Fifty tales by a Yorkshire veterinarian about his favorite animal.		
""			
11	I, TINA, by Tina Turner with Kurt Loder. (Morrow, $16.95.) The autobiography of a	7	3
""	Tennessee sharecropper's daughter who became a rock-and-roll star.		
""			
12	EISENHOWER AT WAR 1943-1945, by David Eisenhower. (Random House,	11	3
""	$29.95.) How fighting a coalition war from 1943 to 1945 developed the general's		
""	political acumen.		
""			
13	STAR WOMAN, by Lynn V. Andrews. (Warner, $16.95.) A quest for self-discovery,	--	1
""	aided by an American Indian medicine woman.		
""			
14	THE RECKONING, by David Halberstam. (Morrow, $19.95.) The crisis in the	15	2
""	American automobile industry and Japan's role in it.		
""			
15	MY DADDY WAS A PISTOL AND I'M A SON OF A GUN, by Lewis Grizzard.	--	1
