This	March 17, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	1	8
""	destroys the crime lords who got her an undeserved prison term.		
""			
2	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	2	2
""	children cope with the crises of contemporary America.		
""			
3	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	3	6
""	melodramatic, of a cop on the lam after a murder in Miami.		
""			
4	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this novel by Stephen	10	3
""	King, a young lawyer finds his body mysteriously wasting away.		
""			
5	THE FINISHING SCHOOL, by Gail Godwin. (Viking, $16.95.) A young girl's	5	5
""	relationship with an extraordinary older woman unintentionally leads to her		
""	mentor's downfall.		
""			
6	SEE YOU LATER ALLIGATOR, by William F. Buckley Jr. (Doubleday, $15.95.)	11	4
""	John F. Kennedy sends Blackford Oakes to Havana on the eve of the missile		
""	crisis.		
""			
7	THE SICILIAN, by Mario Puzo. (Linden Press/ Simon & Schuster, $17.95.) A	4	18
""	fictionalized life of Salvatore Giuliano, the Sicilian bandit hero of the 1940's.		
""			
8	MEXICO SET, by Len Deighton. (Knopf, $16.95.) The espionage game begun in	15	3
""	''Berlin Game'' resumes in Mexico City.		
""			
9	MINDBEND, by Robin Cook. (Putnam, $15.95.) A drug company gains control of	--	1
""	the medical profession.		
""			
10	MOSCOW RULES, by Robert Moss. (Villard Books, $16.95.) A Soviet citizen,	9	6
""	angry at conditions behind the Iron Curtain, plots a new revolution.		
""			
11	THE TALISMAN, by Stephen King and Peter Straub. (Viking, $18.95.) Two parallel	6	21
""	worlds and a young boy who can travel between them.		
""			
12	THE LIFE AND HARD TIMES OF HEIDI ABROMOWITZ, by Joan Rivers.	8	18
""	(Delacorte, $8.95.) The comedienne tells the ''true story'' of her high school		
""	''friend,'' a notorious tramp.		
""			
13	VIRGIN AND MARTYR, by Andrew M. Greeley. (Bernard Geis/Warner, $17.50.)	--	1
""	The life of a Chicago-born nun who comes to a horrendous end in Central		
""	America, told as a parable.		
""			
14	HOTEL DU LAC, by Anita Brookner. (Pantheon, $13.95.) An unmarried female	--	1
""	novelist on vacation discovers a solitary life can be worth living.		
""			
15	SO LONG, AN THANKS FOR ALL THE FISH, by Douglas Adams. (Harmony,	7	14
This	March 17, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	20
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	2	3
""	autobiography of the highest ranking Soviet official ever to defect.		
""			
3	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt Rinehart & Winston,	4	29
""	$13.95.) Suggestions for ''setting our priorities right in order to enjoy life to the		
""	fullest.''		
""			
4	CITIZEN HUGHES, by Michael Drosnin. (Holt, Rinehart & Winston, $18.95.)	3	6
""	Howard Hughes's attempts to control the Government during his last years of life.		
""			
5	SON OF THE MORNING STAR, By Evan S. Connell. (North Point Press, $20.) A	6	14
""	biography of George Armstrong Custer that is also a history of the Plains Indian		
""	wars.		
""			
6	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	5	28
""	author of ''Jonathan Livingston Seagull'' tells of his search for a true love.		
""			
7	THE LIVING PLANET, by David Attenborough. (Little, Brown, $25.) The land and	--	2
""	waters of our earth and the creatures that call them home; companion to the PBS		
""	television series.		
""			
8	''SURELY YOU'RE JOKING, MR. FEYNMANN,'' by Richard P. Reynmann.	--	1
""	(Norton, $15.95.) a Nobel laureate in physics recounts his curious misadventures		
""	inside and outside his profession.		
""			
9	THE SEVEN MOUNTAINS OF THOMAS MERTON, by Michael Mott. (Houghton	10	5
""	Mifflin, $24.95.) The life of the American religious writer and poet.		
""			
10	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	8	5
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
11	MOSES THE KITTEN, by James Herriot. (St. Martin's, $9.95.) A waif kitten is	7	23
""	adopted by a pig; illustrated.		
""			
12	A LIGHT IN THE ATTIC, by Shell Silverstein. (Harper & Row, $13.50.) Light verse	9	121
""	and drawings by the author.		
""			
13	CRY OF THE KALAHARI, by Mark and Delia Owen. (Houghton Mifflin, $19.95.) A	--	1
""	young couple's experience living seven years in a southern African desert.		
""			
14	THE ABANDONMENT OF THE JEWS, by David S. Wyman. (Pantheon, $19.95.)	--	1
""	America's failure to attempt to save European Jews, 1941-45.		
