This	September 8, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	LUCKY, by Jackie Collins. (Simon & Schuster, $17.95.) The heiress of a crime	1	3
""	lord takes on the heiress of a shipping tycoon in fashionable spots all over the		
""	world.		
""			
2	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Recollections of a	7	2
""	small American town.		
""			
3	SKELETON CREW, by Stephen King. (Putnam, $18.95.) Twenty-two tales of	2	12
""	horror set in contemporary America.		
""			
4	THE FOURTH DEADLY SIN, by Lawrence Sanders. (Putnam, $17.95.) Which of	3	8
""	six suspects murdered a saintly New York psychiatrist?		
""			
5	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	4	25
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
6	THE TWO MRS. GRENVILLES, by Dominick Dunne. (Crown, $14.95.) Romance,	5	4
""	scandal and murder in New York's high society.		
""			
7	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	6	16
""	orphanage earlier in this century.		
""			
8	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	8	11
""	West seen larger than life.		
""			
9	TOO MUCH, TOO SOON, by Jacqueline Briskin. (Putnam, $17.95.) Three sisters	12	3
""	find their destinies bound by an obsession with the same man.		
""			
10	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	11	33
""	destroys the crime lords who got her an undeserved  prison term.		
""			
11	THE LOVER, by Marguerite Duras. (Pantheon, $11.95.) The sexual initiation of an	13	8
""	adolescent girl by a rich Chinese in Saigon in the 30's.		
""			
12	JIAN, by Eric Van Lustbader. (Villard, $17.95.) Martial arts, spies and	--	1
""	counterspies, and an intrigue  to control all Asia.		
""			
13	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this forerunner to the	9	16
""	17-volume Sackett saga, a restless explorer scouts the 17th-century American		
""	wilderness.		
""			
14	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	10	17
""	the family saga begun in ''A Woman of Substance.''		
""			
15	FALL FROM GRACE, by Larry Collins. (Simon & Schuster, $17.95.) Machinations	15	8
""	by spies, double agents and a beautiful woman on the eve of D-Day.		
This	September 8, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	1	9
""	From West Virginia hillbilly to World War II fighter pilot to the first man to fly faster		
""	than sound.		
""			
2	IACOCCA: An Autobiography, by Lee Iacocca  with William Novak. (Bantam,	2	45
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
3	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	4	18
""	House, $19.95.) Ways to achieve distinction in management.		
""			
4	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	3	23
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists  analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
5	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	12	53
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
6	THE MICK, by Mickey Mantle with Herb Gluck. (Doubleday, $15.95.) The	5	7
""	autobiography of the Oklahoma farm boy who became a New York Yankee		
""	baseball star.		
""			
7	THE AMATEURS, by David Halberstam. (Morrow, $14.95.) Four American men	6	4
""	seek the 1984 Olympic gold medal for single sculling.		
""			
8	HAMMER OF THE GODS: The Led Zeppelin Saga, by Stephen Davis. (Morrow,	10	5
""	$15.95.) The British heavy metal group's boisterous tours of the 1970's.		
""			
9	FUNNY MONEY, by Mark Singer. (Knopf, $15.95.) The scandal surrounding the	11	6
""	1982 collapse of the Penn Square Bank in Oklahoma City.		
""			
10	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	8	17
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
11	NUTCRACKER, by Shana Alexander.  (Doubleday, $17.95.) Treachery, mystery	9	10
""	and high society in the 1978 murder of a Mormon multimillionaire.		
""			
12	FINAL CUT, by Steven Bach.  (Morrow, $19.95.) How the making of the film	--	1
""	''Heaven's Gate'' proved the unmaking of United Artists.		
""			
13	THE GRASSHOPPER TRAP, by Patrick F. McManus. (Holt, $13.95.) Amusing	13	4
""	pieces about  pursuing pleasures in the great outdoors.		
""			
14	MARTINA, by Martina Navratilova with George Vecsey. (Knopf, $16.95.) The	7	8
""	autobiography of the Czechoslovak-born  tennis champion.		
""			
15	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) How the	14	53
""	author of  ''Jonathan Livingston Seagull'' sought a true love.		
