This	April 26, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	8	3
""	Moscow leads to a chase across two continents.		
""			
2	MASQUERADE, by Kit Williams. (Schocken Books, $9.95.) A fantastic tale about	2	15
""	the Sun, the Moon and a lost treasure.		
""			
3	THE COVENANT, by James A. Michener. (Random House, $17.95.) Fifteen	1	27
""	thousand years of South African history.		
""			
4	CREATION, by Gore Vidal. (Random House, $15.95.) A journey through that	6	4
""	greatest of all ages, the fifth century B.C., in the company of a man critical of it all.		
""			
5	REFLEX, by Dick Francis. (Putnam's, $11.95.) A British jockey copes with	10	3
""	blackmail and discovers his own missing past.		
""			
6	CENTURY, by Fred Mustard Stewart. (Morrow, $13.95.) Saga of an Italian-	3	10
""	American family.		
""			
7	THE COMPANY OF WOMEN, by Mary Gordon. (Random House, $12.95.) One	5	7
""	modern young woman's experience with the manners and mores of Roman		
""	Catholicism.		
""			
8	BRAIN, by Robin Cook. (Putnam's, $11.95.) A young physician copes with a	4	11
""	conspiracy of medical researchers who steal young women's brains to create an		
""	artificial intelligence.		
""			
9	TAR BABY, by Toni Morrison. (Knopf, $11.95.) A black fable of race and eroticism	7	2
""	set on a Caribbean island.		
""			
10	THE WHITE HOTEL, by D.M. Thomas. (Viking, $12.95.) Sigmund Freud treats a	--	1
""	young woman whose case epitomizes the neuroses of the 20th century.		
""			
11	FREE FALL IN CRIMSON, by John D. MacDonald. (Harper & Row, $10.95.)	--	1
""	Travis McGee investigates the murder of an ailing tycoon.		
""			
12	ANSWER AS A MAN, by Taylor Caldwell. (Putnam's, $12.95.) A man who has	9	18
""	made it big in early 20th-century America struggles against the corruption that		
""	engulfs his life.		
""			
13	THE DELTA DECISION, by Wilbur Smith. (Doubleday, $12.95.) A plot to unite	11	5
""	international terrorist groups into one global organization.		
""			
14	GOD EMPEROR OF DUNE, by Frank Herbert. (Putnam's, $12.95.) Leto continues	--	1
""	as guardian and savior of the human race in the fourth novel about the planet		
""	Dune.		
""			
15	THE MIDWIFE, by Gay Courter. (Houghton Mifflin, $12.95.) A Jewish midwife	--	1
This	April 26, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) Regimen for	1	12
""	exercise, diet and life style.		
""			
2	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	2	24
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
3	PAPER MONEY, by Adam Smith. (Summit, $13.95.) An economist throws light on	7	5
""	that mysterious thing, money.		
""			
4	WILLIAM E. DONOGHUE'S COMPLETE MONEY MARKET GUIDE, by William E.	6	5
""	Donoghue with Thomas Tilling. (Harper & Row, $12.95.) ''How to profit from		
""	inflation and fluctuating interest rates.''		
""			
5	THE LAST MAFIOSO, by Ovid Demaris. (Times Books, $15.) The story of Jimmy	5	11
""	Fratianno, professional hit man who turned Government witness.		
""			
6	NICE GIRLS DO, by Irene Kassorla. (Stratford Press, $9.95.) ''How women may	3	13
""	solve their own sexual problems.''		
""			
7	WEALTH AND POVERTY, by George Gilder. (Basic Books, $16.95.) The case for	15	3
""	capitalism and for a reduction in the tax rate.		
""			
8	PAVAROTTI: My Own Story, by Luciano Pavarotti with William Wright.	--	1
""	(Doubleday, $14.95.) The leading tenor, ''King of the High C's,'' talks about his life		
""	and his art.		
""			
9	ALL YOU NEED TO KNOW ABOUT THE IRS, 1981 Edition, by Paul N. Strassels	10	5
""	and Robert Wool. (Random House, $11.95.) A taxpayer's guide.		
""			
10	BEST EVIDENCE, by David S. Lifton. (Macmillan, $16.95.) An account of the	9	11
""	author's effort to prove that J.F.K.'s death was part of a plot by high-level		
""	Government conspirators.		
""			
11	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) Ways to	4	9
""	avoid conflict and get what you want.		
""			
12	BETTY CROCKER'S INTERNATIONAL COOKBOOK. (Random House, $13.95.)	8	23
""	A new collection of recipes under a long established name.		
""			
13	MARIA CALLAS, by Arianna Stassinopoulos. (Simon & Schuster, $15.95.) A	--	3
""	gossipy biography of an extraordinary singer and electrifying personality.		
""			
14	DR. ATKINS' NUTRITION BREAKTHROUGH, by Robert C. Atkins, M.D. (Morrow,	--	1
""	$10.95.) How common illnesses can be treated without drugs, but with diets		
""	supplemented by vitamins and minerals.		
""			
15	CRISIS INVESTING, by Douglas R. Casey. (Stratford Press, $12.50.)	14	34
