This	February 8, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	WINDMILLS OF THE GODS, by Sidney Sheldon. (Morrow, $18.95.) The	--	1
""	nightmarish experiences that befall a woman and her family after her appointment		
""	as Ambassador to Rumania.		
""			
2	THE EYES OF THE DRAGON, by Stephen King. (Viking, $18.95.) A fairy tale,	1	2
""	complete with an aged king, two princes, an evil wizard and a mouse.		
""			
3	RED STORM RISING, by Tom Clancy. (Putnam, $19.95.) The West tries to stave	2	28
""	off the Russians in World War III.		
""			
4	IT, by Stephen King. (Viking, $22.95.) Childhood horrors haunt six men and a	3	22
""	woman who grew up in a small Maine town.		
""			
5	NIGHT OF THE FOX, by Jack Higgins. (Simon & Schuster, $17.95.) A mission to	5	4
""	keep D-Day plans from being discovered by the Germans.		
""			
6	WHIRLWIND, by James Clavell. (Morrow, $22.95.) Iran during the month following	6	14
""	the Shah's departure.		
""			
7	BANDITS, by Elmore Leonard. (Arbor House, $17.95.) A gang of three plots to	4	4
""	heist millions being sent to the contras in Nicaragua.		
""			
8	THE PANIC OF '89, by Paul Erdman. (Doubleday, $17.95.) A financial wizard	12	3
""	undertakes to defuse the crisis besetting the American economy.		
""			
9	FLIGHT OF THE INTRUDER, by Stephen Coonts. (Naval Institute, $15.95.) Navy	8	15
""	aviators at war.		
""			
10	THE PRINCE OF TIDES, by Pat Conroy. (Houghton Mifflin, $19.95.) Complex	7	19
""	family relationships in South Carolina and New York.		
""			
11	PATIENCE OF A SAINT, by Andrew M. Greeley. (Geis/Warner, $18.95.) A hard-	--	1
""	bitten newspaperman learns a lot about his family and decency while on the trail of		
""	a wily politician.		
""			
12	THE COUNTERLIFE, by Philip Roth. (Farrar, Straus & Giroux, $18.95.) More	13	3
""	about the ambitions and anxieties of Nathan Zuckerman.		
""			
13	DEATH QUEST, by L. Ron Hubbard. (Bridge Publications, $18.95.) A hit man sets	10	3
""	out to kill Countess Krak and seal the fate of the Earth.		
""			
14	A TASTE FOR DEATH, by P. D. James. (Knopf, $18.95.) Inspector Adam	9	15
""	Dalgliesh investigates a brutal double murder.		
""			
15	HOLLYWOOD HUSBANDS, by Jackie Collins. (Simon & Schuster, $18.95.) A top	11	17
""	model encounters three of Los Angeles's most dynamic men.		
This	February 8, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A SEASON ON THE BRINK, by John Feinstein. (Macmillan, $16.95.) A chronicle	1	6
""	of one season spent with the coach Bob Knight and his Indiana University		
""	basketball team.		
""			
2	FATHERHOOD, by Bill Cosby. (Dolphin/ Doubleday, $14.95.) Anecdotes and	2	40
""	ruminations from the television star and father of five.		
""			
3	HIS WAY, by Kitty Kelley. (Bantam, $21.95.) An unauthorized biography of Frank	3	18
""	Sinatra.		
""			
4	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	4	48
""	the Golden Years Clinic in pictures and rhyme.		
""			
5	MCMAHON! by Jim McMahon with Bob Verdi. (Warner, $16.95.) The	6	20
""	autobiography of the quarterback for the Chicago Bears.		
""			
6	JAMES HERRIOT'S DOG STORIES, by James Herriot. (St. Martin's, $19.95.)	8	38
""	Fifty tales by a Yorkshire veterinarian about his favorite animal.		
""			
7	THE RECKONING, by David Halberstam. (Morrow, $19.95.) The crisis in the	5	18
""	American automobile industry and Japan's role in it.		
""			
8	THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UNIVERSE, by Jane	7	4
""	Wagner. (Harper & Row, $15.95.) Acerb observations on life today; script of the		
""	show starring Lily Tomlin.		
""			
9	DANCING ON MY GRAVE, by Gelsey Kirkland with Greg Lawrence. (Doubleday,	9	12
""	$17.95.) The ballerina recalls her checkered career.		
""			
10	ONE KNEE EQUALS TWO FEET, by John Madden with Dave Anderson. (Villard,	13	19
""	$16.95.) Observations on football.		
""			
11	ACROSS CHINA, by Peter Jenkins. (Morrow, $18.95.) The author of ''A Walk	11	6
""	Across America'' takes his wanderlust to Asia.		
""			
12	REAGAN'S AMERICA, by Garry Wills. (Doubleday, $19.95.) The President as the	--	1
""	product and embodiment of an American mythology.		
""			
13	MARILYN, by Gloria Steinem. (Holt, $24.95.) A biography of Marilyn Monroe, with	14	4
""	many photographs by her friend George Barris.		
""			
14	PAT NIXON: The Untold Story, by Julie Nixon Eisenhower. (Simon & Schuster,	--	10
""	$19.95.) The life of the wife of the 37th President, by her daughter.		
""			
15	NECESSARY LOSSES, by Judith Viorst. (Simon & Schuster, $17.95.) Life is a	--	33
""	series of losses, the author argues, and we must confront them to grow.		
