This	July 28, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	SKELETON CREW, by Stephen King. (Putnam, $18.95.) Twenty-two tales of	1	6
""	horror set in contemporary America.		
""			
2	THE FOURTH DEADLY SIN, by Lawrence Sanders. (Putnam, $17.95.) Which of	4	2
""	six suspects murdered a saintly New York psychiatrist?		
""			
3	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	2	19
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
4	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	3	10
""	orphanage earlier in this century.		
""			
5	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	5	5
""	West seen larger than life.		
""			
6	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this forerunner to the	6	10
""	17-volume Sackett saga, a restless explorer scouts the 17th-century American		
""	wilderness.		
""			
7	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	7	11
""	the family saga begun in ''A Woman of Substance.''		
""			
8	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	8	27
""	destroys the crime lords who got her an undeserved prison term.		
""			
9	FALL FROM GRACE, by Larry Collins. (Simon & Schuster, $17.95.) Machinations	12	2
""	by spies, double agents and a beautiful woman on the eve of D-Day.		
""			
10	A CATSKILL EAGLE, by Robert B. Parker. (Delacorte/Seymour Lawrence,	10	6
""	$14.95.) In his 12th case, the private eye Spenser joins hands with Federal agents		
""	to bring down a powerful scoundrel.		
""			
11	THE CLASS, by Erich Segal. (Bantam, $17.95.) What happened to five members	--	13
""	of the class of 1958 after they left Harvard Yard.		
""			
12	INSIDE, OUTSIDE, by Herman Wouk. (Little, Brown, $19.95.) A traditionalist Jew's	11	19
""	quest for identity in glittery contemporary America.		
""			
13	THE LOVER, by Marguerite Duras. (Pantheon, $11.95.) The sexual initiation of an	13	2
""	adolescent girl by a rich Chinese in Saigon in the 30's.		
""			
14	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	--	20
""	children cope with the crises of contemporary America.		
""			
15	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this pseudonymous	9	22
""	novel by Stephen King, a young lawyer finds his body mysteriously wasting away.		
This	July 28, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	1	3
""	From West Virginia hillbilly to World War II fighter pilot to first man to fly faster than		
""	sound.		
""			
2	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	2	39
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
3	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	3	12
""	House, $19.95.) Ways to achieve distinction in management.		
""			
4	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	4	17
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
5	MARTINA, by Martina Navratilova with George Vecsey. (Knopf, $16.95.) The	5	2
""	autobiography of the Czechoslovak-born tennis star.		
""			
6	NUTCRACKER, by Shana Alexander. (Doubleday, $17.95.) Treachery, mystery	7	4
""	and high society in the 1978 murder of a Mormon multimillionaire.		
""			
7	THE MICK, by Mickey Mantle with Herb Gluck. (Doubleday, $15.95.) The	--	1
""	autobiography of the Oklahoma farm boy who became a New York Yankees		
""	baseball star.		
""			
8	MY MOTHER'S KEEPER, by B. D. Hyman. (Morrow, $16.95.) A portrait of the	14	11
""	actress Bette Davis by her daughter.		
""			
9	MOUNTBATTEN, by Philip Ziegler. (Knopf, $24.95.) The authorized biography of	8	9
""	the British nobleman, diplomat and naval hero.		
""			
10	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	9	11
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
11	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	6	48
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
12	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	15	47
""	author of ''Jonathan Livingston Seagull'' tells of his search for a true love.		
""			
13	THE DANGEROUS SUMMER, by Ernest Hemingway. (Scribners, $17.95.) A	10	2
""	previously unpublished chronicle of the Spanish bullfight season of 1959.		
""			
14	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	12	22
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
15	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	--	139
""	and drawings by the author.		
