This	April 17, 1983	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LITTLE DRUMMER GIRL, by John le Carré. (Knopf, $15.95.) An English girl	1	5
""	caught between Israeli intelligence agents and P.L.O. terrorists.		
""			
2	WHITE GOLD WIELDER, by Stephen R. Donaldson. (Ballantine/Del Rey, $14.95.)	2	2
""	Book Three of ''The Second Chronicles of Thomas Covenant,'' a fantasy saga.		
""			
3	CHRISTINE, by Stephen King. (Viking, $16.95.) A car that kills at large among a	3	2
""	Pennsylvania town's high-school set.		
""			
4	THE LONESOME GODS, by Louis L'Amour. (Bantam, $14.95.) A rugged	4	3
""	adventurer stakes his claim in 19th-century southern California.		
""			
5	VOICE OF THE HEART, by Barbara Taylor Bradford. (Doubleday, $17.95.) The	6	3
""	friendship of two women survives the strains of 25 years in the worlds of show		
""	business, politics and big business.		
""			
6	BANKER, by Dick Francis. (Putnam, $14.95.) London bankers gamble on the	8	3
""	ability of a horse breeder to produce a star race horse.		
""			
7	THE DELTA STAR, by Joseph Wambaugh. (Morrow, $15.45.) Los Angeles cops	5	6
""	contend with their own city's underworld, some would-be Nobel Prize scientists		
""	and an elusive Soviet sub.		
""			
8	SPACE, by James A. Michener. (Random House, $17.95.) The story of the	9	29
""	American space program told through fiction.		
""			
9	THE VALLEY OF HORSES, by Jean M. Auel. (Crown, $15.95.) A continuation of	11	33
""	the saga of human survival at the dawn of civilization begun in ''The Clan of the		
""	Cave Bear.''		
""			
10	ICEBREAKER, by John Gardner. (Putnam, $10.95.) James Bond's mission is to	--	1
""	break a neo-Nazi group headquartered in Arctic Finland or Russia.		
""			
11	MASTER OF THE GAME, by Sidney Sheldon. (Morrow, $15.95.) The hidden truth	10	33
""	behind a woman business tycoon's rise to power.		
""			
12	2010: ODYSSEY TWO, by Arthur C. Clarke. (Ballantine/Del Rey, $14.95.) A	7	23
""	continuation of the tale begun in ''2001: A Space Odyssey.''		
""			
13	ELLIS ISLAND, by Fred Mustard Stewart. (Morrow, $15.95.) Five young	12	9
""	immigrants and the fortunes that await them in America at the turn of the century.		
""			
14	THE MISTS OF AVALON, by Marion Zimmer Bradley. (Knopf, $16.95.) The	13	9
""	Arthurian legend seen through the eyes of four women who played leading roles.		
""			
15	MISTRAL'S DAUGHTER, by Judith Krantz. (Crown, $15.95.) The art world of the	14	23
""	20's and the fashion industry of the 80's.		
This	April 17, 1983	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MEGATRENDS, by John Naisbitt. (Warner, $15.50.) Predictions about America in	1	23
""	the next decade based on an analysis of conditions today.		
""			
2	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	2	14
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
3	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $19.95.)	4	65
""	An exercise book for women, seasoned with the film star's philosophy of physical		
""	well-being.		
""			
4	THE ONE MINUTE MANAGER, by Kenneth Blanchard and Spencer Johnson.	3	29
""	(Morrow, $15.) How to increase the productivity of those with whom you work as		
""	well as your own.		
""			
5	LIVING, LOVING & LEARNING, by Leo Buscaglia. (Holt/Slack, $13.50.)	5	52
""	Inspirational talks by a University of Southern California professor.		
""			
6	BLUE HIGHWAYS, by William Least Heat Moon. (Atlantic/Little, Brown, $17.50.) A	6	9
""	report on a trip through the back roads of America.		
""			
7	MARY ELLEN'S HELP YOURSELF DIET PLAN, by Mary Ellen Pinkham. (St.	7	9
""	Martin’s/Marek, $10.95.) Advice from a veteran dispenser of housekeeping hints.		
""			
8	SALVADOR, by Joan Didion. (Simon & Schuster, $12.95.) A report on the current	12	2
""	dilemma of a Central American nation.		
""			
9	ONE TO ONE, by Theodore Isaac Rubin. (Viking, $15.75.) A psychiatrist's	--	1
""	analysis of the nature of human relationships.		
""			
10	THE YOUNGEST SCIENCE, by Lewis Thomas. (Viking, $14.75.) The	8	6
""	observations of a physician on the changes that have transformed his profession		
""	in the last 30 years.		
""			
11	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Humor in	--	70
""	cartoons and verse.		
""			
12	THE FALL OF FREDDIE THE LEAF, by Leo Buscaglia. (Holt/Slack, $7.95.) The	9	22
""	seasons of life as experienced by a leaf and its companions: a parable.		
""			
13	THE F-PLAN DIET, by Audrey Eyton. (Crown, $12.95.) Americanized version of a	14	3
""	popular English fiber-based regimen.		
""			
14	AND MORE BY ANDY ROONEY, by Andrew A. Rooney. (Atheneum, $12.95.) A	10	26
""	new collection of essays by the journalist and television commentator.		
""			
15	GROWING UP, by Russell Baker. (Congdon & Weed, $15.) The New York Times	15	23
