This	April 26, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	FINE THINGS, by Danielle Steel. (Delacorte,  $18.95.) The vicissitudes of a son of	1	6
""	the 60's on his way to the 80's.		
""			
2	WINDMILLS OF THE GODS, by Sidney Sheldon. (Morrow, $18.95.) The	2	12
""	nightmarish experiences that befall a woman and her family after her  appointment		
""	as Ambassador to Rumania.		
""			
3	THE EYES OF THE DRAGON, by Stephen King. (Viking, $18.95.) A fairy tale,	5	13
""	complete with an aged king, two princes, an evil wizard and a mouse.		
""			
4	BOLT, by Dick Francis. (Putnam, $17.95.) The jockey-hero of ''Break In'' has to	3	7
""	contend with a romantic crisis, a family feud and an international arms-selling		
""	intrigue.		
""			
5	DESTINY, by Sally Beauman. (Bantam, $19.95.) The 30-year romance of a couple	4	5
""	with diverse backgrounds and ambitions.		
""			
6	TEXASVILLE, by Larry McMurtry. (Simon & Schuster, $18.95.) From the 50's to	7	3
""	the 80's in Thalia, Tex. - a sequel to ''The Last Picture Show.''		
""			
7	THE LADIES OF MISSALONGHI, by Colleen McCullough. (Harper & Row,	8	3
""	$12.95.) Men may dominate but women rule in an Australian town at the turn of		
""	the century.		
""			
8	RED STORM RISING, by Tom Clancy. (Putnam, $19.95.) The West tries to stave	6	39
""	off the Russians in World War III.		
""			
9	THE THANATOS SYNDROME, by Walker Percy. (Farrar, Straus & Giroux,	9	3
""	$17.95.) The continuing battle between good and evil seen through a psychiatrist's		
""	adventures in 1996.		
""			
10	FLIGHT OF THE INTRUDER, by Stephen Coonts. (Naval Institute, $15.95.) Navy	12	26
""	aviators at war over Vietnam.		
""			
11	NO DEALS, MR. BOND, by John Gardner.  (Putnam, $13.95.) James Bond	--	1
""	returns to solve a case of ritual killings of amazing similarity.		
""			
12	THE PRINCE OF TIDES, by Pat Conroy.  (Houghton Mifflin, $19.95.) Complex	10	30
""	family  relationships in South Carolina's low country and  New York City.		
""			
13	IT, by Stephen King. (Viking, $22.95.) Childhood horrors haunt six men and a	15	33
""	woman who grew up in a small Maine town.		
""			
14	SANTORINI, by Alistair MacLean. (Doubleday, $16.95.) Espionage, treachery and	--	2
""	retrieval of a  sunken atom bomb in the Aegean.		
""			
15	THE ENIGMA OF ARRIVAL, by V. S. Naipaul.  (Knopf, $17.95.) An Indian writer	--	1
This	April 26, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A SEASON ON THE BRINK, by John Feinstein. (Macmillan, $16.95.) A chronicle	1	17
""	of one season spent with the Indiana University basketball team.		
""			
2	COMMUNION, by Whitley Strieber. (Beech Tree/ Morrow, $17.95.) A professional	2	9
""	writer tells of the visits of ''intelligent nonhumans'' to his home.		
""			
3	THE FITZGERALDS AND THE KENNEDYS, by Doris Kearns Goodwin. (Simon &	4	10
""	Schuster, $22.95.) Three generations of the Kennedy family.		
""			
4	THE FATAL SHORE, by Robert Hughes. (Knopf, $24.95.) Australia from penal	3	11
""	colony to its gradual emergence as a flourishing nation.		
""			
5	THIS 'N THAT, by Bette Davis with Michael Herskowitz. (Putnam, $17.95.) The	8	2
""	actress's memories and opinions.		
""			
6	HOLD ON, MR. PRESIDENT! by Sam Donaldson. (Random House, $17.95.) A	11	3
""	White House television correspondent comments on his assignment.		
""			
7	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	6	21
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
8	BOONE, by T. Boone Pickens Jr. (Houghton Mifflin, $18.95.) The autobiography of	5	6
""	an oilman and corporation-takeover entrepreneur.		
""			
9	INTIMATE PARTNERS, by Maggie Scarf. (Random House, $18.95.) Changing	10	8
""	patterns in love and marriage.		
""			
10	FATHERHOOD, by Bill Cosby. (Dolphin/ Doubleday, $14.95.) Anecdotes and	7	51
""	ruminations from the television star and father of five.		
""			
11	ECHOES IN THE DARKNESS, by Joseph Wambaugh. (Perigord/Morrow,	9	11
""	$18.95.) A case involving the murder of a high school teacher.		
""			
12	LOVE, MEDICINE & MIRACLES, by Bernie S. Siegel. (Harper & Row, $15.95.) A	14	3
""	surgeon stresses the importance of the patient's mind and emotions in treating		
""	serious illness.		
""			
13	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	13	59
""	the Golden Years Clinic in pictures and rhyme.		
""			
14	BETTY: A Glad Awakening, by Betty Ford with Chris Chase. (Doubleday, $16.95.)	12	6
""	A former First Lady's recovery from alcoholism and drug abuse.		
""			
15	THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UNIVERSE, by Jane	15	15
""	Wagner. (Harper & Row, $15.95.) Acerb observations on life today; script of the		
""	show starring Lily Tomlin.		
