This	October 16, 1983	Last	Weeks
Week	Fiction	Week	On List
""			
1	POLAND, by James A. Michener. (Random House, $17.95.) Seven centuries of	1	7
""	history in fictional form.		
""			
2	CHANGES, by Danielle Steel. (Delacorte, $15.95.) The crises that arise when a	2	6
""	television anchorwoman and a glamorous physician fall in love.		
""			
3	THE NAME OF THE ROSE, by Umberto Eco. (Helen & Kurt Wolff/Harcourt Brace	3	17
""	Jovanovich, $15.95.) Unraveling the mystery of a murder in a 14th-century Italian		
""	monastery.		
""			
4	HOLLYWOOD WIVES, by Jackie Collins. (Simon & Schuster, $16.95.) The	4	11
""	struggle for money and power in Tinsel Town.		
""			
5	AUGUST, by Judith Rossner. (Houghton Mifflin, $15.95.) The five-year	5	10
""	relationship of two women, a teen-age patient and her analyst.		
""			
6	WINTER'S TALE, by Mark Helprin. (Harcourt Brace Jovanovich, $14.95.) Heroic	8	4
""	lives in Manhattan between the late 19th century and the year 2000.		
""			
7	WHO KILLED THE ROBINS FAMILY?, created by Bill Adler and written by	6	7
""	Thomas Chastain. (Morrow, $9.95.) The publisher offers a $10,000 prize to the		
""	reader who submits the best answer.		
""			
8	THE AUERBACH WILL, by Stephen Birmingham. (Little, Brown, $16.95.) Three	10	4
""	generations of a German-Jewish family in New York.		
""			
9	MONIMBO, by Robert Moss and Arnaud de Borchgrave. (Simon & Schuster,	9	5
""	$16.95.) What happens after Castro unveils a plan to stir racial tension in the		
""	United States.		
""			
10	RETURN OF THE JEDI, adapted by Joan D. Vinge. (Random House, $6.95.)	7	19
""	Illustrated storybook based on the latest ''Star Wars'' film.		
""			
11	EVERYTHING AND MORE, by Jacqueline Briskin. (Putnam, $15.95.) Life after	14	4
""	Beverly Hills High School: the careers of four women.		
""			
12	CHRISTINE, by Stephen King. (Viking, $16.95.) A car that kills is at large among a	11	28
""	Pennsylvania town's high school set.		
""			
13	THE SEDUCTION OF PETER S., by Lawrence Sanders. (Putnam, $15.95.) The	13	13
""	sudden danger-filled success of a long out-of-work actor.		
""			
14	HEARTBURN, by Nora Ephron. (Knopf, $11.95.) A roman a clef about a marriage	15	25
""	breaking up.		
""			
15	THE LITTLE DRUMMER GIRL, by John le Carré. (Knopf, $15.95.) A British	12	31
""	actress caught between agents of Israeli intelligence and of the Palestine		
This	October 16, 1983	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	1	40
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
2	MOTHERHOOD: The Second Oldest Profession, by Erma Bombeck. (McGraw-	7	4
""	Hill, $12.95.) A humorous look at the biggest on-the-job training program ever.		
""			
3	ON WINGS OF EAGLES, by Ken Follett. (Morrow, $17.95.) The rescue of two	3	7
""	Americans from an Iranian prison.		
""			
4	MEGATRENDS, by John Naisbitt. (Warner, $17.50.) Predictions about America in	2	49
""	the next decade based on an analysis of conditions today.		
""			
5	THE MARY KAY GUIDE TO BEAUTY. (Addison-Wesley, $19.95.) An illustrated	--	1
""	guide for women prepared by the staff of a cosmetic firm.		
""			
6	THE BODY PRINCIPAL, by Victoria Principal. (Simon & Schuster, $16.95.)	9	2
""	Exercises for women by a television personality.		
""			
7	FATAL VISION, by Joe McGinniss. (Putnam, $17.95.) The case of Jeffrey	6	3
""	MacDonald, Ivy League graduate, respected physician and convicted killer of his		
""	wife and daughters.		
""			
8	THE ONE MINUTE MANAGER, by Kenneth Blanchard and Spencer Johnson.	4	55
""	(Morrow, $15.) How to increase the productivity of those with whom you work, as		
""	well as your own.		
""			
9	THE BEST OF JAMES HERRIOT. (St. Martin's Press, $19.95.) Selections from	10	5
""	the writings of the Yorkshire veterinarian.		
""			
10	CREATING WEALTH, by Robert G. Allen. (Simon & Schuster, $15.95.) Making	5	21
""	money in real estate.		
""			
11	THE PETER PAN SYNDROME, by Dan Kiley. (Dodd, Mead, $14.95.) A	--	3
""	psychologist's analysis of the plight of men who have never grown up.		
""			
12	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $16.95.) How to buy	8	55
""	real estate with little or no money: a 1980 book.		
""			
13	OUTRAGEOUS ACTS AND EVERYDAY REBELLIONS, by Gloria Steinem. (Holt,	13	3
""	Rinehart & Winston, $14.95.) Essays by a leading feminist writer.		
""			
14	OUT ON A LIMB, by Shirley MacLaine. (Bantam, $15.95.) The actress tells of her	11	14
""	mid-life ''journey to find her true self.''		
""			
15	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $19.95.)	12	91
""	Exercises for women by the film actress.		
