This	February 26, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	STAR, by Danielle Steel. (Delacorte, $19.95.) The crossed paths of a man and a	--	1
""	woman, both destined for stardom, one in Washington and the other in Hollywood.		
""			
2	MIDNIGHT, by Dean R. Koontz. (Putnam, $19.95.) Inexplicable deaths and	1	5
""	strange horrors take over a once idyllic California town.		
""			
3	THE SANDS OF TIME, by Sidney Sheldon. (Morrow, $19.95.) Four nuns become	2	15
""	pawns in a struggle between the Spanish Army and Basque separatists.		
""			
4	RIVALS, by Janet Dailey. (Little, Brown, $18.95.) Feuding families compete in	3	6
""	business and romance.		
""			
5	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	5	30
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
6	CAT'S EYE, by Margaret Atwood. (Doubleday, $18.95.) A woman's visit to her	9	2
""	native Toronto leads her to reflect on the changes time has wrought on the city		
""	and herself.		
""			
7	A SEASON IN HELL, by Jack Higgins. (Simon & Schuster, $18.95.) A young	4	6
""	widow's quest for her stepson's killers leads to horrendous adventures.		
""			
8	MUTATION, by Robin Cook. (Putnam, $18.95.) A physician's attempt to create a	6	5
""	superior child results in a prodigy that turns into a terror.		
""			
9	THE EDGE, by Dick Francis. (Putnam, $18.95.) Murder and mayhem on a luxury	--	1
""	trans-Canadian train trip.		
""			
10	THE LYRE OF ORPHEUS, by Robertson Davies. (Viking, $19.95.) The staging of	8	7
""	an unfinished Hoffmann opera causes its participants to relive the legend of King		
""	Arthur.		
""			
11	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	7	23
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
12	ANYTHING FOR BILLY, by Larry McMurtry. (Simon & Schuster, $18.95.) The	--	18
""	exploits of Billy the Kid, as shared by a dime-novel writer.		
""			
13	THE FORTUNE, by Michael Korda. (Summit, $19.95.) A young woman's ill-fated	--	1
""	romance with the head of America's richest family.		
""			
14	FRENCH KISS, by Eric Van Lustbader. (Fawcett Columbine, $19.95.) Three	11	2
""	people whose lives are menaced by the disappearance of a dagger, a Buddhist		
""	symbol of mystic power.		
""			
15	SPY HOOK, by Len Deighton. (Knopf, $18.95.) The agent Bernard Samson on the	12	10
""	trail of a financial scam within the British secret service.		
This	February 26, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	2	17
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	1	5
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
3	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	3	45
""	scientist reviews efforts to create a unified theory of the universe.		
""			
4	GRACIE, by George Burns. (Putnam, $16.95.) The life of the comedian Gracie	4	15
""	Allen, recalled by her widower and show business partner.		
""			
5	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	13	20
""	of the American Revolution.		
""			
6	THE BLOODING, by Joseph Wambaugh. (Morrow, $18.95.) The murder of two	8	2
""	teen-age girls in an English village is solved through genetic clues.		
""			
7	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) The second	5	19
""	volume of a biography of Winston Churchill, covering the years 1932-40.		
""			
8	PARTING THE WATERS, by Taylor Branch. (Simon & Schuster, $24.95.) The rise	7	7
""	of the American civil rights movement.		
""			
9	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	6	10
""	Feynman with Ralph Leighton. (Norton, $17.95.) Memoirs of the Nobel Prize-		
""	winning physicist.		
""			
10	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	10	4
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales that have become		
""	part of our national heritage.		
""			
11	CHILD STAR, by Shirley Temple Black. (McGraw- Hill, $19.95.) The former	9	16
""	actress's autobiography.		
""			
12	THE BOY WHO COULDN'T STOP WASHING, by Judith L. Rapoport. (Dutton,	14	2
""	$17.95.) A psychiatrist's account of the symptoms and treatment of an obsessive-		
""	compulsive disorder.		
""			
13	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	11	18
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
14	DON'T BEND OVER IN THE GARDEN, GRANNY, YOU KNOW THEM TATERS	12	15
""	GOT EYES, by Lewis Grizzard. (Villard, $15.95.) Humor with a Southern accent.		
""			
15	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	--	1
