This	September 20, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	PRESUMED INNOCENT, by Scott Turow. (Farrar, Straus & Giroux, $18.95.) A	1	13
""	brutal murder creates a crisis among a big city's politicians.		
""			
2	PATRIOT GAMES, by Tom Clancy. (Putnam,  $19.95.) The C.I.A.'s Jack Ryan	2	8
""	battles terrorists in England Ireland and America.		
""			
3	SARUM, by Edward Rutherfurd. (Crown, $19.95)Ten thousands years of English	5	5
""	history.		
""			
4	LEGACY, by James A. Michener. (Random House, $16.95.) The ordeal of a	6	3
""	military officer charged with high crimes.		
""			
5	MISERY, by Stephen King. (Viking, $18.95.) Injured and drugged, an author is	3	16
""	held captive by a psychotic fan.		
""			
6	WEEP NO MORE, MY LADY, by Mary Higgins Clark. (Simon & Schuster, $17.95.)	4	12
""	Love and murder at a swank California health spa.		
""			
7	FREEDOM, by William Safire. (Doubleday, $24.95.) The early years of the Civil	13	2
""	War and Lincoln's developing commitment to emancipation.		
""			
8	THE HAUNTED MESA, by Louis L'Amour. (Bantam, $18.95.) Unraveling the	8	19
""	mystery of Indian cliff dwellers who vanished centuries ago.		
""			
9	THE PRINCE OF TIDES, by Pat Conroy. (Houghton Mifflin, $19.95.) Complex	7	44
""	family relationships in South Carolina and New York City.		
""			
10	DIRK GENTLY'S HOLISTIC DETECTIVE AGENCY, by Douglas Adams. (Simon &	9	13
""	Schuster, $14.95.) A private eye's trip through time.		
""			
11	THE SONGLINES, by Bruce Chatwin. (Sifton/ Viking, $18.95.) Meditations,	14	4
""	anecdotes, adventures set in an Arcadian Australia.		
""			
12	BELOVED, by Toni Morrison. (Knopf, $18.95.) Memories of her past haunt an	--	1
""	escaped slave in post-Civil War Ohio.		
""			
13	HOT FLASHES, by Barbara Raskin. (St. Martin's,  $18.95.) At a friend's funeral,	--	1
""	three women who had it made in the 60's reflect on their past and future.		
""			
14	THE FIVE BELLS AND BLADEBONE, by Martha Grimes. (Little, Brown, $15.95.)	12	3
""	Scotland Yard's Superintendent Jury and his cronies at a London pub investigate		
""	two deaths.		
""			
15	TEAM YANKEE, by Harold Coyle. (Presidio,  $17.95.) American tank soldiers fight	--	1
""	World War III.		
""			
16	POSTCARDS FROM THE EDGE, by Carrie Fisher. (Simon & Schuster, $15.95.)	--	1
This	September 20, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SPYCATCHER, by Peter Wright with Paul Greengrass. (Viking, $19.95.) The	1	8
""	autobiography of a former member of the British secret service.		
""			
2	THE CLOSING OF THE AMERICAN MIND, by Allan Bloom. (Simon & Schuster,	2	21
""	$18.95.) A critique of liberal arts education during the past 25 years.		
""			
3	THE GREAT DEPRESSION OF 1990, by Ravi Batra. (Simon & Schuster, $17.95.)	3	11
""	An economist's dire predictions about the coming decade.		
""			
4	IT'S ALL IN THE PLAYING, by Shirley MacLaine. (Bantam, $18.95.) Behind the	4	2
""	"scenes during the filming of the television series ""Out on a Limb."""		
""			
5	CULTURAL LITERACY, by E. D. Hirsch Jr. (Houghton Mifflin, $16.95.) Information	6	16
""	-- history, literature, politics -- that you need to read with.		
""			
6	STRAIGHT ON TILL MORNING, by Mary S. Lovell. (St. Martin's, $16.95.) The life	7	2
""	"of Beryl Markham, pioneer aviator and author of ""West With the Night."""		
""			
7	CALL ME ANNA, by Patty Duke and Kenneth Turan. (Bantam, $17.95.) The	8	7
""	autobiography of the actress and show business personality.		
""			
8	LOVE, MEDICINE & MIRACLES, by Bernie S. Siegel. (Harper & Row, $17.95.) A	5	24
""	surgeon stresses the importance of the patient's mind and emotions.		
""			
9	MAN OF THE HOUSE: The Life and Political Memoirs of Speaker Tip O'Neill, with	15	2
""	William Novak. (Random House, $19.95.) Memories of the former Massachusetts		
""	Congressman and Speaker of the House.		
""			
10	FAMILY: The Ties That Bind . . . and Gag! by Erma Bombeck. (McGraw-Hill,	11	2
""	$15.95.) Anecdotes about a reunion of the humorist's grown children.		
""			
11	"THE MAKING OF ""THE AFRICAN QUEEN,"" by Katharine Hepburn. (Knopf,"	--	1
""	$15.95.) The actress's experiences with Humphrey Bogart, Lauren Bacall and		
""	John Huston while filming the classic movie.		
""			
12	THE SPY WORE RED, by Aline, Countess of Romanones. (Random House,	14	12
""	$18.95.) Recollections of a woman who served as an undercover agent in Europe		
""	during World War II.		
""			
13	A WOMAN OF EGYPT, by Jehan Sadat. (Simon & Schuster, $19.95.) The widow	--	1
""	of Anwar el-Sadat tells of her life as an activist in a tradition-bound land.		
""			
14	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	13	42
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
15	COMMUNION, by Whitley Strieber. (Beech Tree/ Morrow, $17.95.) A professional	16	30
""	"writer tells of the visits of ""intelligent nonhumans"" to his home."		
