This	December 6, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TOMMYKNOCKERS, by Stephen King. (Putnam, $19.95.) Two writers'	1	2
""	zealous attempt to unearth mysterious artifacts creates nightmares in a Maine		
""	village.		
""			
2	KALEIDOSCOPE, by Danielle Steel. (Delacorte, $18.95.) Three sisters, separated	2	7
""	by fate, and the lawyer whose mission is to find and reunite them.		
""			
3	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	3	5
""	$19.95.) An investment banker in the jungles of New York.		
""			
4	LEAVING HOME, by Garrison Keillor. (Viking, $18.95.) A collection of Lake	4	10
""	Wobegon monologues.		
""			
5	PRESUMED INNOCENT, by Scott Turow. (Farrar, Straus & Giroux, $18.95.) A	7	24
""	brutal murder creates a crisis among a big city's politicians.		
""			
6	PATRIOT GAMES, by Tom Clancy. (Putnam, $19.95.) The C.I.A.'s Jack Ryan	6	19
""	battles terrorists in England, Ireland and America.		
""			
7	HEAVEN AND HELL, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) A tale	5	10
""	of two families in the aftermath of the Civil War.		
""			
8	BELOVED, by Toni Morrison. (Knopf, $18.95.) Memories of her past haunt an	8	12
""	escaped slave in post-Civil War Ohio.		
""			
9	SARUM, by Edward Rutherfurd. (Crown, $19.95.) Ten thousand years of English	9	16
""	history, seen through the experiences of five families.		
""			
10	BLUEBEARD, by Kurt Vonnegut. (Delacorte, $17.95.) A painter's life in the artists-	11	6
""	and-writers world of Long Island's Hamptons.		
""			
11	LEGACY, by James A. Michener. (Random House, $16.95.) The ordeal of a	--	13
""	military officer charged with high crimes.		
""			
12	A MAN RIDES THROUGH, by Stephen R. Donaldson. (Del Rey/Ballantine,	--	1
""	$19.95.) Second and concluding novel about Mordant, a strange land where		
""	reality is intertwined with fantasy.		
""			
13	2061: Odyssey Three, by Arthur C. Clarke. (Del Rey/Ballantine, $17.95.)	--	1
""	Continuing the space saga begun in ''2001'' and ''2010.''		
""			
14	RUBBER LEGS AND WHITE TAIL-HAIRS, by Patrick F. McManus. (Holt, $14.95.)	15	5
""	Humorous tales about an outdoorsman's life.		
""			
15	HOT FLASHES, by Barbara Raskin. (St. Martin's, $18.95.) At a friend's funeral,	12	11
""	three women who had it made in the 60's reflect on their past and future.		
This	December 6, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	TIME FLIES, by Bill Cosby. (Dolphin/Doubleday, $15.95.) Counting his blessings	2	10
""	and his losses, the television star muses on life at 50.		
""			
2	FREE TO BE . . . A FAMILY, edited by Marlo Thomas with Christopher Cerf and	1	3
""	Letty Cottin Pogrebin. (Bantam, $19.95.) Stories, poems and drawings about		
""	family relationships.		
""			
3	THE CAT WHO CAME FOR CHRISTMAS, by Cleveland Amory. (Little, Brown,	8	2
""	$15.95.) A self- styled curmudgeon's memoir of a cat that adopted and soon		
""	owned him.		
""			
4	FAMILY: The Ties That Bind . . . and Gag! by Erma Bombeck. (McGraw-Hill,	7	13
""	$15.95.) Anecdotes about a reunion of the humorist's grown children.		
""			
5	SPYCATCHER, by Peter Wright with Paul Greengrass. (Viking, $19.95.) The	4	19
""	autobiography of a former member of the British secret service.		
""			
6	THE GREAT DEPRESSION OF 1990, by Ravi Batra. (Simon & Schuster, $17.95.)	3	22
""	An economist's dire predictions about the coming decade.		
""			
7	VEIL, by Bob Woodward. (Simon & Schuster, $21.95.) The inside story of William	6	8
""	Casey's years at the helm of the C.I.A., 1981 to 1987.		
""			
8	LOVE, MEDICINE & MIRACLES, by Bernie S. Siegel. (Harper & Row, $17.95.) A	5	35
""	surgeon stresses the importance of the patient's mind and emotions.		
""			
9	MAN OF THE HOUSE: The Life and Political Memoirs of Speaker Tip O'Neill, with	9	13
""	William Novak. (Random House, $19.95.) The former Speaker of the House tells		
""	his story.		
""			
10	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	10	7
""	how companies can survive in today's and tomorrow's turbulent world.		
""			
11	SEVEN STORIES OF CHRISTMAS LOVE, by Leo Buscaglia. (Slack, $12.95.)	15	2
""	The advocate of caring and love recalls experiences during holidays past.		
""			
12	THE DISCOVERY OF THE TITANIC, by Robert D. Ballard with Rick Archbold.	11	6
""	(Madison Press/ Warner, $29.95.) Recent findings about the sinking of the		
""	legendary ship 75 years ago.		
""			
13	A DAY IN THE LIFE OF THE SOVIET UNION. (Collins Publishers, $39.95.) The	13	4
""	vast country on May 5, 1987, as recorded in pictures by 100 of the world's leading		
""	photojournalists.		
""			
14	AND THE BAND PLAYED ON, by Randy Shilts. (St. Martin's, $24.95.) The	12	4
""	medical mysteries and the political activity surrounding the AIDS epidemic.		
