This	June 16, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CIDER HOUSE RULES, by John Irving. (Morrow, $18.95.) Life in a Maine	2	4
""	orphanage earlier in this century.		
""			
2	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	1	5
""	the family saga begun in ''A Woman of Substance.''		
""			
3	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	4	13
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
4	JUBAL SACKETT, by Louis L'Amour. (Bantam, $16.95.) In this forerunner to the	3	4
""	17-volume Sackett saga, a restless explorer scouts the 17th-century American		
""	wilderness.		
""			
5	CHAPTERHOUSE: DUNE, by Frank Herbert. (Putnam, $17.95.) A new world rises	5	9
""	from the Old Empire's ashes in this volume of the ''Dune'' series.		
""			
6	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	6	21
""	destroys the crime lords who got her an undeserved prison term.		
""			
7	THINNER, by Richard Bachman. (NAL Books,  $12.95.) In this pseudonymous	7	16
""	novel by Stephen King, a lawyer's body mysteriously wastes away.		
""			
8	INSIDE, OUTSIDE, by Herman Wouk. (Little, Brown, $19.95.) A traditionalist Jew's	9	13
""	quest for identity in glittery contemporary America.		
""			
9	THE CLASS, by Erich Segal. (Bantam, $17.95.)  What happened to five members	8	8
""	of the class of 1958 after they left Harvard Yard.		
""			
10	A CREED FOR THE THIRD MILLENNIUM, by Colleen McCullough. (Harper &	12	6
""	Row, $17.95.) A man and a woman set out to salvage a spiritually exhausted		
""	America in the not-too-distant future.		
""			
11	QUEENIE, by Michael Korda. (Linden Press/ Simon & Schuster, $17.95.) The	10	9
""	career of Dawn Avalon, whose life resembles that of Merle Oberon.		
""			
12	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	13	15
""	children cope with the crises of contemporary America.		
""			
13	THE LONELY SILVER RAIN, by John D. MacDonald.$15.95.) A yacht's	11	11
""	disappearance, a debutante's murder and other puzzles Travis McGee must solve		
""	to save his life.		
""			
14	A CATSKILL EAGLE, by Robert B. Parker. (Delacorte, $14.95.) In his 12th case,	--	1
""	the private eye Spenser joins hands with Federal agents.		
""			
15	THE HOUSE OF THE SPIRITS, by Isabel Allende.  (Knopf, $17.95.) A Chilean	--	1
This	June 16, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca  with William Novak. (Bantam,	2	33
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin (Random	1	6
""	House, $19.95.) Ways to achieve distinction in management.		
""			
3	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	3	11
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of modern women in looking for acceptable men.		
""			
4	MY MOTHER'S KEEPER, by B. D. Hyman. (Morrow, $16.95.) A portrait of the	4	5
""	actress Bette Davis, by her daughter.		
""			
5	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	5	42
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
6	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	8	5
""	$17.95.) Memories of more than 50 years of golfing, by the comedian.		
""			
7	MOUNTBATTEN, by Philip Ziegler. (Knopf, $24.95.) The authorized biography of	6	3
""	the British diplomat, naval hero and royal counselor.		
""			
8	BREAKING WITH MOSCOW, by Arkady  N. Shevchenko. (Knopf, $18.95.) The	7	16
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
9	THE HEART OF THE DRAGON, by Alasdair Clayre. (Houghton Mifflin, $29.95.)	15	2
""	Companion volume to the PBS television series on China.		
""			
10	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	12	18
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
11	ONCE UPON A TIME, by Gloria Vanderbilt. (Knopf, $16.95.) Memories of the first	10	7
""	17 years of a ''poor little rich girl.''		
""			
12	THE SOONG DYNASTY, by Sterling Seagrave. (Harper & Row, $22.50.) The	9	9
""	tangled lives of Charlie Soong and his six children, who shaped much of China's		
""	modern history.		
""			
13	''SURELY YOU'RE JOKING, MR. FEYNMAN,''  by Richard P. Feynman. (Norton,	--	13
""	$15.95.) A Nobel laureate in physics recounts his curious misadventures inside		
""	and outside his profession.		
""			
14	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	13	41
""	author of ''Jonathan Livingston Seagull'' tells of his search for love.		
