This	November 27, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SANDS OF TIME, by Sidney Sheldon. (Morrow, $19.95.) Four nuns become	1	2
""	pawns in a struggle between the Spanish Army and Basque separatists.		
""			
2	THE QUEEN OF THE DAMNED, by Anne Rice. (Knopf, $18.95.) Continuing the	2	6
""	chronicle of 6,000 years of vampirism begun in ''Interview With the Vampire'' and		
""	''The Vampire Lestat.''		
""			
3	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	3	17
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
4	ONE, by Richard Bach. (Silver Arrow/Morrow, $17.95.) A man and his wife find	4	4
""	themselves in a fantasy world.		
""			
5	DEAR MILI, by Wilhelm Grimm. (di Capua/ Farrar, Straus & Giroux, $16.95.) A	11	2
""	recently discovered tale by the 19th-century folklorist, illustrated by Maurice		
""	Sendak.		
""			
6	MITLA PASS, by Leon Uris. (Doubleday, $19.95.) A writer's struggles with his	6	4
""	heritage and two loves reach a climax during the 1956 Sinai War.		
""			
7	ANYTHING FOR BILLY, by Larry McMurtry. (Simon & Schuster, $18.95.) The	5	6
""	exploits of Billy the Kid, as shared by a dime-novel writer.		
""			
8	FINAL FLIGHT, by Stephen Coonts. (Doubleday, $18.95.) Colonel Qazi, an	7	7
""	''international terrorist,'' plots to steal American nuclear weapons.		
""			
9	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	9	22
""	49th state told in fictional form.		
""			
10	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	8	10
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
11	DRAGONSDAWN, by Anne McCaffrey. (Del Rey/ Ballantine, $18.95.) The	10	4
""	colonists who settle on a paradisiacal planet make plans to defend it.		
""			
12	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	12	41
""	and a painting tie together three generations of an English family.		
""			
13	TILL WE MEET AGAIN, by Judith Krantz. (Crown, $19.95.) The exploits of a	13	16
""	woman and her two daughters from pre-World War I Paris to present-day Los		
""	Angeles.		
""			
14	PEACHTREE ROAD, by Anne Rivers Siddons. (Harper & Row, $18.95.) The	--	2
""	stormy relationship of two well-born cousins matures amid Atlanta's evolution from		
""	quiet town to world metropolis.		
""			
15	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	15	56
This	November 27, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) The second	1	6
""	volume of a biography of Winston Churchill, covering the years 1932-40.		
""			
2	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	2	32
""	scientist's review of efforts to create a unified theory of the universe.		
""			
3	CHILD STAR, by Shirley Temple Black. (McGraw- Hill, $19.95.) The	4	3
""	autobiography of the No. 1 film actress of the mid-1930's.		
""			
4	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	3	4
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
5	GRACIE, by George Burns. (Putnam, $16.95.) The life of the comedian Gracie	10	2
""	Allen, recalled by her widower and show business partner.		
""			
6	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	5	7
""	of the American Revolution.		
""			
7	SENATORIAL PRIVILEGE, by Leo Damore. (Regnery Gateway, $19.95.) A	12	16
""	reporter's reassessment of the 1969 accident on Chappaquiddick Island.		
""			
8	GOLDWATER, by Barry M. Goldwater with Jack Casserly. (Doubleday, $21.95.)	6	5
""	The memoirs of the longtime Senator from Arizona.		
""			
9	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	7	5
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
10	DON'T BEND OVER IN THE GARDEN, GRANNY, YOU KNOW THEM TATERS	9	2
""	GOT EYES, by Lewis Grizzard. (Villard, $15.95.) Humor with a Southern accent.		
""			
11	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	8	21
""	More experiences and opinions of the Chrysler chairman.		
""			
12	THE RAGMAN'S SON, by Kirk Douglas. (Simon & Schuster, $21.95.) The actor	11	14
""	recalls his life as poor immigrant's son, waiter, steel mill worker, haberdashery		
""	salesman, film star, father and man.		
""			
13	THE SACKETT COMPANION, by Louis L'Amour. (Bantam, $19.95.) The author's	14	2
""	commentaries on his 17 novels about a family of Western pioneers.		
""			
14	SURVIVING THE GREAT DEPRESSION OF 1990, by Ravi Batra. (Simon &	15	7
""	Schuster, $18.95.) What Americans and their Government should do in the face of		
""	economic disaster.		
""			
15	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	13	19
""	life of the woman who married King Edward VIII.		
