This	March 29, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE COVENANT, by James A. Michener. (Random House, $17.95.) Fifteen	1	23
""	thousand years of South African history.		
""			
2	BRAIN, by Robin Cook. (Putnam's, $11.95.) A young physician copes with a	2	7
""	conspiracy of medical researchers who steal young women's brains to create an		
""	artificial intelligence.		
""			
3	CENTURY, by Fred Mustard Stewart. (Morrow, $13.95.) Saga of an Italian-	5	6
""	American family.		
""			
4	MASQUERADE, by Kit Williams. (Schocken Books, $9.95.) A fantastic tale about	3	11
""	the Sun, the Moon and a lost treasure.		
""			
5	THE COMPANY OF WOMEN, by Mary Gordon. (Random House, $12.95.) One	11	3
""	modern young woman's experience with the manners and mores of Roman		
""	Catholicism.		
""			
6	ANSWER AS A MAN, by Taylor Caldwell. (Putnam's, $12.95.) A man who has	4	14
""	made it big in early 20th-century America struggles against the corruption that		
""	engulfs his life.		
""			
7	THE KEY TO REBECCA, by Ken Follett. (Morrow, $12.95.) German espionage in	6	27
""	Cairo during the desert campaigns of 1942.		
""			
8	COME POUR THE WINE, by Cynthia Freeman. (Arbor House, $12.95.) A	7	24
""	woman's long journey to self-discovery.		
""			
9	THE DELTA DECISION, by Wilbur Smith. (Doubleday, $12.95.) A plot to unite	--	1
""	international terrorist groups into one global organization.		
""			
10	THE AVIATOR, by Ernest K. Gann. (Arbor House, $10.95.) Romance and	--	1
""	adventure in the early days of the U.S. airmail service.		
""			
11	FIRESTARTER, by Stephen King. (Viking, $13.95.) Eight year old Charlie can look	8	32
""	at anything and turn it into flames.		
""			
12	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	9	40
""	woman lawyer triumphs over two vengeful men.		
""			
13	CONGO, by Michael Crichton. (Knopf, $10.95.) Three intrepid Americans search	10	11
""	for lost diamonds in the jungles of modern Africa.		
""			
14	UNFINISHED TALES, by J.R.R. Tolkien. (Houghton Mifflin, $15.) Hitherto	12	19
""	unpublished fragments of writing about Middle-earth.		
""			
15	THE COLLECTED STORIES OF EUDORA WELTY. (Harcourt Brace Jovanovich,	15	6
""	$17.50.) Five decades of storytelling by a Southern writer who is a magnificent		
This	March 29, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	1	20
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
2	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) Regimen for	2	8
""	exercise, diet and life style.		
""			
3	WILLIAM E. DONOGHUE'S COMPLETE MONEY MARKET GUIDE, by William E.	--	1
""	Donoghue with Thomas Tilling. (Harper & Row, $12.95.) ''How to profit from		
""	inflation and fluctuating interest rates.''		
""			
4	NICE GIRLS DO, by Irene Kassorla. (Stratford Press, $9.95.) ''How women may	4	9
""	solve their own sexual problems.''		
""			
5	BEST EVIDENCE, by David S. Lifton. (Macmillan, $16.95.) An account of the	6	7
""	author's effort to prove that J.F.K.'s death was part of a plot by high-level		
""	Government conspirators.		
""			
6	THE LAST MAFIOSO, by Ovid Demaris. (Times Books, $15.) The story of Jimmy	3	7
""	Fratianno, professional hit man who turned Government witness.		
""			
7	ALL YOU NEED TO KNOW ABOUT THE IRS, 1981 Edition, by Paul N. Strassels	--	1
""	and Robert Wool. (Random House, $11.95.) A taxpayer's guide.		
""			
8	BETTY CROCKER'S INTERNATIONAL COOKBOOK. (Random House, $13.95.)	5	19
""	A completely new collection of recipes under a long-established name.		
""			
9	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $11.95.) How to buy	12	43
""	real estate with little or no cash.		
""			
10	THE SKY'S THE LIMIT, by Wayne Dyer. (Simon & Schuster, $10.95.) Prescription	8	26
""	for ''achieving perfection of body and mind.''		
""			
11	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) ''How to	10	5
""	get an edge on life.''		
""			
12	CRISIS INVESTING, by Douglas R. Casey. (Stratford Press, $12.50.)	7	30
""	''Opportunities for investing in the coming Great Depression.''		
""			
13	CRAIG CLAIBORNE'S GOURMET DIET, by Craig Claiborne with Pierre Franey.	9	33
""	(Times Books, $10.95.) Recipes for eating well, losing weight and maintaining		
""	good health.		
""			
14	PAPER MONEY, by Adam Smith. (Summit, $13.95.) An economist throws light on	13	2
""	that mysterious thing, money.		
""			
15	MONEY DYNAMICS FOR THE 1980s, by Venita VanCaspel. (Reston Publishing	14	6
""	Co., $15.) A money management guide for individuals.		
