This	May 19, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this pseudonymous	1	12
""	novel by Stephen King, a young lawyer finds his body mysteriously wasting away.		
""			
2	CHAPTERHOUSE: DUNE, by Frank Herbert. (Putnam, $17.95.) A new world rises	2	5
""	from the Old Empire's ashes in this volume of the ''Dune'' series.		
""			
3	THE HUNT FOR RED OCTOBER, by Tom Clancy. (Naval Institute Press,	5	9
""	$14.95.) A Lithuanian submarine driver defects to the United States with the		
""	Soviet Union's most advanced nuclear secrets.		
""			
4	THE CLASS, by Erich Segal. (Bantam, $17.95.) What happened to five members	7	4
""	of the class of 1958 after they left Harvard Yard.		
""			
5	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	4	17
""	destroys the crime lords who got her an undeserved prison term.		
""			
6	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	6	11
""	children cope with the crises of contemporary America.		
""			
7	INSIDE, OUTSIDE, by Herman Wouk. (Little, Brown, $19.95.) A traditionalist Jew's	3	9
""	quest for identity in glittery contemporary America.		
""			
8	HOLD THE DREAM, by Barbara Taylor Bradford. (Doubleday, $17.95.) Continuing	--	1
""	the family saga begun in ''A Woman of Substance.''		
""			
9	THE LONELY SILVER RAIN, by John D. MacDonald. (Knopf, $15.95.) A yacht's	8	7
""	disappearance, a debutante's murder and other puzzles Travis McGee must solve		
""	to save his life.		
""			
10	QUEENIE, by Michael Korda. (Linden Press/ Simon & Schuster, $17.95.) The	9	5
""	glamorous career of Dawn Avalon, whose life was not unlike that of the late Merle		
""	Oberon.		
""			
11	PROOF, by Dick Francis. (Putnam, $16.95.) A young wine merchant gets caught	11	9
""	in a scam involving murder and vengeance.		
""			
12	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	10	15
""	melodramatic, of a cop who needs a rest after being shot in Miami.		
""			
13	A CREED FOR THE THIRD MILLENNIUM, by Colleen McCullough. (Harper &	13	2
""	Row, $17.95.) A man and a woman set out to salvage a spiritually exhausted		
""	America in the not-too-distant future.		
""			
14	HOTEL DU LAC, by Anita Brookner. (Pantheon, $13.95.) A successful novelist	--	9
""	learns that a solitary life is still worth living.		
""			
15	MEN AND ANGELS, by Mary Gordon. (Random House, $16.95.) The nature of	12	3
This	May 19, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	29
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	2	7
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze the successes		
""	and failures of women in looking for acceptable men.		
""			
3	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	10	2
""	House, $19.95.) Ways to achieve distinction in management.		
""			
4	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	3	12
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
5	ONCE UPON A TIME, by Gloria Vanderbilt. (Knopf, $16.95.) Memories of the first	5	3
""	17 years of a ''poor little rich girl.''		
""			
6	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, $13.95.) Suggestions for	4	38
""	''setting our priorities right in order to enjoy life to the fullest.''		
""			
7	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	6	14
""	Conversations with two dozen people about their problems with alcoholism.		
""			
8	THE SOONG DYNASTY, by Sterling Seagrave. (Harper & Row, $22.50.) The	7	5
""	tangled lives of Charlie Soong and his six children, who shaped much of China's		
""	modern history.		
""			
9	THE BLOOD OF ABRAHAM, by Jimmy Carter. (Houghton Mifflin, $15.95.) The	8	4
""	problems of the Middle East and what can be done about them, as seen by the		
""	former President.		
""			
10	MY MOTHER'S KEEPER, by B. D. Hyman. (Morrow, $16.95.) A portrait of the	--	1
""	actress Bette Davis, by her daughter.		
""			
11	''SURELY YOU'RE JOKING, MR. FEYNMAN,'' by Richard P. Feynman. (Norton,	11	10
""	$15.95.) The curious adventures of a Nobel laureate in physics.		
""			
12	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	9	37
""	author of ''Jonathan Livingston Seagull'' tells of his search for love.		
""			
13	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	12	130
""	and drawings.		
""			
14	METAMAGICAL THEMAS, by Douglas R. Hofstadter. (Basic Books, $24.95.)	--	2
""	Essays on many topics by the author of ''Godel, Escher, Bach.''		
""			
15	CONFESSIONS OF A HOOKER, by Bob Hope with Dwayne Netland. (Doubleday,	--	1
