This	December 24, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DARK HALF, by Stephen King. (Viking, $21.95.) After a writer of horror tales	2	8
""	kills off his pseudonym, the deceased goes on a murderous rampage.		
""			
2	DADDY, by Danielle Steel. (Delacorte, $19.95.) Unexpected crises wreck the safe	1	6
""	world an elderly man has built for himself and his two sons.		
""			
3	CARIBBEAN, by James A. Michener. (Random House, $22.95.) The history of the	3	6
""	sea islands told in fictional form.		
""			
4	CLEAR AND PRESENT DANGER, by Tom Clancy. (Putnam, $21.95.) The C.I.A.'s	4	17
""	Jack Ryan fights Colombian drug lords.		
""			
5	THE POLAR EXPRESS, written and illustrated by Chris Van Allsburg. (Houghton	5	22
""	Mifflin, $16.95.) A small boy's Christmas Eve train ride.		
""			
6	FOUCAULT'S PENDULUM, by Umberto Eco. (Wolff/Harcourt Brace Jovanovich,	7	10
""	$22.95.) Ancient documents and arcane codes produce astonishing results when		
""	thrown into a computer.		
""			
7	JIMMY STEWART AND HIS POEMS, by Jimmy Stewart. (Crown, $9.95.) Verses	9	14
""	by the venerable motion picture star.		
""			
8	TALES FROM MARGARITAVILLE, by Jimmy Buffett. (Harcourt Brace Jovanovich,	8	10
""	$16.95.) Short stories set on a mythical Caribbean island.		
""			
9	STRAIGHT, by Dick Francis. (Putnam, $18.95.) After the accidental death of his	6	5
""	brother, a steeplechase jockey inherits property and a mysterious enemy.		
""			
10	THE ELEVENTH HOUR, by Graeme Base. (Abrams, $14.95.) An illustrated	10	4
""	mystery story about a birthday party attended by 11 animals.		
""			
11	THE PILLARS OF THE EARTH, by Ken Follett. (Morrow, $22.95.) The lives of	14	15
""	men and women whose fortunes are linked by the construction of a cathedral in		
""	12th-century England.		
""			
12	CALIFORNIA GOLD, by John Jakes. (Random House, $19.95.) A young man	13	15
""	from Pennsylvania makes his fortune in 19th-century Los Angeles.		
""			
13	SWAN LAKE, by Mark Helprin. (Ariel/Houghton Mifflin, $19.95.) A new retelling of	12	4
""	the fable upon which the ballet is based, with illustrations by Chris Van Allsburg.		
""			
14	SORCERESS OF DARSHIVA, by David Eddings. (Del Rey/Ballantine, $19.95.)	11	4
""	The fourth volume in the ''Malloreon'' fantasy saga.		
""			
15	OLDEST LIVING CONFEDERATE WIDOW TELLS ALL, by Allan Gurganus.	--	13
""	(Knopf, $21.95.) A 99-year-old woman reflects on her past.		
This	December 24, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	3	30
""	Fulghum. (Villard, $17.95.) Inspirational essays about everyday matters.		
""			
2	IT WAS ON FIRE WHEN I LAY DOWN ON IT, by Robert Fulghum. (Villard,	4	14
""	$17.95.) A new collection of inspirational essays.		
""			
3	ROSEANNE, by Roseanne Barr. (Harper & Row, $18.95.) The autobiography of	2	11
""	the television comedian.		
""			
4	MY TURN, by Nancy Reagan with William Novak. (Random House, $21.95.) The	1	8
""	former First Lady's memoir of her White House years.		
""			
5	DRIVE, by Larry Bird with Bob Ryan. (Doubleday, $17.95.) The autobiography of	5	7
""	the Boston Celtics basketball star.		
""			
6	EDUCATION OF A WANDERING MAN, by Louis L'Amour. (Bantam, $16.95.) The	6	8
""	author recalls the places he visited and the books he read in his youth.		
""			
7	ALL MY BEST FRIENDS, by George Burns with David Fisher. (Putnam, $17.95.)	7	5
""	Reminiscences about show business acquaintances.		
""			
8	LIAR'S POKER, by Michael Lewis. (Norton, $18.95.) Wall Street's tumultuous	8	7
""	1980's, as witnessed by a young bond trader.		
""			
9	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	9	88
""	scientist reviews efforts to create a unified theory of the universe.		
""			
10	CHILI DAWGS ALWAYS BARK AT NIGHT, by Lewis Grizzard. (Villard, $17.95.)	11	7
""	Essays on politics, religion, sex, golf, etc., by the syndicated columnist.		
""			
11	AMONG SCHOOLCHILDREN, by Tracy Kidder. (Todd/Houghton Mifflin, $19.95.)	12	17
""	A year in the life of a fifth-grade teacher in Holyoke, Mass.		
""			
12	I WANT TO GROW HAIR, I WANT TO GROW UP, I WANT TO GO TO BOISE, by	10	10
""	Erma Bombeck. (Harper & Row, $16.95.) Fifteen stories of children surviving		
""	cancer.		
""			
13	THE TEMPTING OF AMERICA, by Robert H. Bork. (Free Press, $22.50.) A	13	2
""	critique of the relationship between politics and the law by Ronald Reagan's		
""	Supreme Court nominee.		
""			
14	WONDERFUL LIFE, by Stephen Jay Gould. (Norton, $19.95.) What the contents	14	5
""	of a small quarry in the Canadian Rockies have revealed about the past and about		
""	scientific methods.		
""			
15	CHRONICLE OF AMERICA, edited by Clifton Daniel. (ECAM/Prentice Hall,	--	1
""	$49.95.) A profusely illustrated history of what is now the United States, event by		
